,UKF243,UKF251,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916inf
IGFL3,,,,,-0.02543336798481263,,,,,,0.024684697263535584,
BMP1,0.09408077841663359,-0.045562299147701844,-0.04420596581363589,0.02821430856306413,-0.06676544384704082,0.017181060596437838,0.06344204911345416,0.017267325168394392,-0.034025890490131445,0.06895895638060648,0.0059208699981270025,0.0024930634775083985
NDP,0.019706773416585572,0.003452249316149542,0.0900982899973826,0.011845330054454008,-0.0064393585010328125,-0.05157301441290862,0.12950495384768265,0.0287265818966665,-0.03775608217801299,-0.04815817472067487,0.030973439753348944,0.05169687095252812
TNFSF18,-0.021544815490805065,-0.027734215979965348,,0.011161023325492488,-0.017860698428088313,,,,0.0004143651586091621,,-0.029717440293627873,
IL36G,,,,,,,,-0.009243024539460088,,,,
RTN4,0.007838529923981728,0.03306380819365297,0.10472786914595743,0.113659525467692,0.10435909035197312,-0.016866145247969214,0.009417671032798206,0.0016168900306362608,0.03958886768156345,0.020282718089658702,-0.02730220153216929,0.07453146886058439
HEBP1,0.02950190047230798,0.044654257985454915,0.005050583214393396,-0.001681664053117929,0.02992343438979927,0.010063722623794692,0.08202424999220759,-0.024276489631182497,-0.04229791210077353,-0.023514987544629586,0.05652395292532693,0.07252670283273373
WNT7B,0.1376090803925127,-0.01722763524054675,0.00010652496412287923,0.13699033169190683,0.10574274762232687,-0.021789202298510342,,-0.025692520311460087,,0.00957939926973907,0.009634768705273132,-0.00973385310432951
PTMA,-0.07544998209776746,-0.011557734990047336,-0.11504376153133951,-0.08286410788148114,0.07369355785368314,0.09505488179706749,0.07882381853041576,0.08601679184275084,0.054562996259361674,-0.007934428450487755,-0.039805152243417144,-0.044822250900088616
CEACAM1,,-0.013221173874632374,-0.018590622495166555,,-0.04970025781933358,,,,-0.010157974772738729,-0.030154036688312413,-0.018905880453805382,
PDAP1,-0.030493807159089427,-0.014169398786373227,-0.021513030051515957,-0.012340186489892366,-0.028054540970896682,0.05131909208802002,-0.012433544709228587,-0.030735628838279672,0.008093093650864592,-0.014063516463496585,-0.008459697829359401,0.04403828316078226
QDPR,0.03607862833592376,0.00637816062201152,0.060208635570034676,-0.019242789290971285,0.014436229885356077,0.09354898955399167,0.146792974926045,0.05790241149110399,0.1435987779307366,0.02031881815979976,-0.002270460666640791,0.056748700190839295
POMC,0.0498348326999224,-0.023491916634798785,0.06344635045985307,0.053956134367373024,0.0042490395042862365,-0.032268225166057436,0.033557232042597286,-0.007833059684009453,-0.03313611792269134,-0.048720469224896173,0.016537875483527108,0.02313942574449444
CCL18,-0.028893369078959858,,,,,,-0.01703915424248818,,,-0.02137970779193493,,
CCL17,,,,,,-0.02696892432296884,,-0.0213543092033171,,,0.016544740183442867,
VEGFD,-0.0325543818607177,-0.018936679019677098,-0.01778645503656357,,-0.04260771371693732,-0.01978203213757592,-0.005199020319129823,-0.022886074587405172,0.007913660752811354,,-0.026453432668704483,
TNFSF13,,,,0.06706103400410962,,,,,,,-0.027801559797201825,
WNT5A,0.04731669014156006,0.001962596037082638,-0.11389804817850195,0.006648481910807043,-0.09026768011396377,0.024870336290950604,-0.014480601788990003,0.043722936143058194,-0.08864655384647996,-0.004487221449944938,-0.008894365268043275,0.10428018076583156
CXCL8,-0.08469497560838721,-0.01773118382126436,-0.015810214720946514,0.019375428020270032,-0.06495233044913384,-0.018421888477864006,-0.0443421601320422,-0.01568713553188669,0.04565860759081081,0.03786353877786288,-0.0539407016767945,-0.07296503978234002
GRN,-0.02326604910854881,0.002451618854866483,-0.10912938695293674,-0.06091243527854897,-0.06964696968869533,0.011848062385162145,0.07510977478657248,-0.06714443418529563,-0.005207387607238591,-0.01488087930693275,-0.06071002316118705,-0.009712427593688618
MIA,0.15367875597745606,-0.01684095802466968,0.027293777309471,0.03648210386714482,0.007225830077499167,0.00284810730651414,,-0.008656641318780457,0.026191362680882496,0.0021481487230900916,-0.023906255200428186,
COL4A4,0.07351830552556216,-0.016289905747809842,-0.06363240292995789,-0.020366312400323654,-0.025062696353043465,0.034102087365898315,,0.0038695832376865694,0.028419883899860783,-0.0013298697640816372,0.10707648844220598,
