,UKF248,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,-0.021123090367722943
BMP1,0.004911362839115117,-0.02045118456543139,-0.022558396854712295,0.023177603552228927,0.0006327072416992118
NDP,-0.00017158835023867725,0.0015831289168213316,0.00641392724985809,-0.0037226899184687116,-0.017754763286584756
TNFSF18,0.022548960821042897,-0.013007999654198457,,,0.010948807113004829
RTN4,0.024561298877969547,-0.06057933232849459,0.05098862550043975,-0.08255896442714358,0.014964942553694072
HEBP1,-0.03110958524183009,0.021257677300630155,-0.020307882432823006,0.03592688392114852,0.012946378268583865
WNT7B,0.02001677178682557,0.041941589922616845,-0.03631637111900577,0.010347836975493357,-0.026908412854089868
PTMA,-0.12438889625321768,0.01755845422560245,-0.027121794772523362,-0.018657013445176802,-0.03175521326286157
FASLG,,,,,0.05025588759074787
CEACAM1,-0.022644562110370105,-0.0204584845077778,-0.02593600946065573,-0.01808102367201837,-0.025489657555022433
PDAP1,-0.02395573881671721,-0.002087181216923463,0.06940215541396762,0.01922349607889701,0.04909301136874189
QDPR,0.008966983648311869,-0.06391911560663524,0.02161907392419183,0.020779463043251716,0.05704045869718497
POMC,0.004111193627031724,-0.015093454150349756,0.007153716277087412,-0.004667784586861594,-0.003519336716755031
CCL18,-0.028258273964320246,,-0.03761597253924883,0.1225555733945162,
CCL17,,-0.016223508148527334,-0.01840034337419068,0.020766445538755632,-0.01660506678073451
VEGFD,0.047338083670040755,-0.01728477572905745,,-0.01808102367201837,
TNFSF13,-0.02132460710772782,,-0.03530749516109554,-0.028370995491485272,0.03294925704354506
WNT5A,-0.006668409860733137,-0.013880512705447542,0.010914123321114803,-0.030365482989649823,-0.006535059219301718
CXCL8,0.04611842218735129,0.06938929215777101,0.031294993300535694,0.04551347141464598,-0.03941843024956256
GRN,-0.05590475960326399,-0.02881199461993333,-0.022021460779758858,0.010468627658108716,-0.03089790693931417
MIA,-0.0027863566282334646,0.01946160693028802,-0.05717799025546101,0.05340895649678561,0.007100386841967792
COL4A4,-0.03393795743928493,0.09765238185703001,-0.038396307369319524,-0.028950546028102795,-0.006258136220443827
TAC1,0.07466139149994179,-0.027039296360533482,,,0.05340712069562014
RARRES2,0.006177645488249048,-0.027308443897293488,-0.045100692095500036,0.05969355661765616,0.04204468597727953
FGF7,,-0.03039764358506353,0.049326684224201875,-0.022729831754344204,0.04562820860344578
EFNA2,,,,-0.01718480296251081,
HBEGF,0.036035206646702504,0.042330283568260844,0.0170647282161094,0.026186121208872818,-0.007531053729171739
CSF3,,,-0.011443619100623994,0.021882259522939675,-0.017482573686215953
PI3,-0.017730783180457583,,-0.00446009596662997,0.044105775283078776,0.0054033880215216875
PCSK1N,-0.0716659855646238,0.024204791114194078,0.032659018581236925,-0.09160339872118622,0.017866247005300012
NTS,,0.008848700244559205,0.02069421425353005,-0.020936421362771445,0.08869056011776741
SFRP1,0.012340982039491752,-0.00518885435403276,0.013527670674592068,-0.04927604688638796,0.09031038701871269
CXCL13,,,-0.04133094381741366,0.05816673497856442,
MICA,0.027874274716358016,0.01471002318993243,-4.7378423146807374e-05,0.04502940809619626,-0.001834434787734198
TG,-0.04449992603412455,-0.016344570505418734,-0.024449455994801448,0.03624351371103149,-0.0221925479179209
ADA,0.02685179544857153,-0.04280535987453009,-0.007827527067241269,-0.02258499305280302,0.010114911834552126
LAMC3,0.0007681272050052801,-0.02389038291721018,-0.015398588928619082,-0.004593571581354498,0.006760245441379693
CCL7,-0.01797464943714127,,0.03415198973270613,,0.003839463401416805
NGF,-0.01922669843032217,,-0.03185023603286002,-0.016953810299231646,-0.03253976330560888
TNFSF15,,,-0.009868479061645924,,0.023398743076142054
HMGB1,-0.0811062571411859,-0.014394599262853013,0.05091202374973383,-0.054379409568734535,-0.043092441815868875
ITGB3BP,-0.043824037185465445,0.022368199865474694,-0.01761400750299823,0.03096764927022733,0.044024742606226255
AANAT,-0.026078481681307577,-0.014698767773490414,0.012876536464293459,-0.023126090358681507,-0.019383369009174884
RELN,-0.04366555584633913,0.04054201913573271,,,
IL15,-0.013989399904839805,0.06753654801800832,-0.03396052207487465,0.00977256080186394,0.06148845505699113
UTS2,,,-0.020602601063021777,,
BSG,0.011379439165686497,0.06252670492340212,-0.058879061663171285,0.10381720640870018,0.03898442468697902
ADAMTS3,-0.04423483369893463,0.0034523290226471668,-0.0037488420265470493,-0.040589410433930995,-0.06695081278943615
CD34,-0.017849756444499393,0.005974356381096205,0.001771205039806868,0.016438814948474895,-0.014317224065300818
