,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.016803103505249682,,,,,,-0.018219037951443154,0.09858292928179248,
BMP1,0.07727654479670529,0.01007557048762609,0.01968563074244526,0.07809553639925569,0.16120944574354631,0.053486782819042476,-0.016597731099528678,-0.07126449443299547,-0.01603589610858014,0.021156941805737565,-0.008192275669094185,0.03614884904989959,0.046278958861955426,0.06095651583200213
NDP,0.03334227744378423,0.02995225664746213,0.03217201102607303,-0.026284417629592695,0.024274623821658826,0.002126791240605221,0.0545169501590888,0.001343329249210545,-0.014457067147374112,0.013435296231196934,-0.03127273533208766,0.05712105018651864,0.0027636288320560956,0.022817285000934856
TNFSF18,-0.02127448892060171,0.05112649036084843,,,-0.015533976788685722,-0.02495210426230529,-0.010647509681371023,,-0.0003177640321598624,,,0.09031499744420858,0.02253479129641781,-0.023953089948428947
RTN4,-0.035192983106879884,0.015996741746495412,-0.0660375294235996,-0.04952074624669154,-0.1354703468363329,-0.13197554667480343,0.02901244081479192,0.04572242043627503,0.009048664090751684,-0.029315971774250948,-0.03693827043614476,-0.07841707761170406,0.013226882486330447,-0.06547895207345775
HEBP1,-0.013382633327845896,-0.01626582265777857,-0.009415562573236265,-0.0062762472651259026,0.06805453148040116,0.021833053611541597,0.034050194744469485,0.07989793668290625,-0.05028672433459783,0.02071613309078726,0.06260956976340291,0.0019295542532897117,0.012476085849233761,0.07563597899593971
WNT7B,0.02372221480436197,-0.029861867779962727,-0.008700951691126946,0.0233028217496267,0.08235969852632954,-0.06954752644839508,0.09149779958819929,0.14172586313534616,,-0.035408964801242976,-0.008775726448468808,-0.02680129395791888,-0.0052548086316473374,-0.030692828851570132
PTMA,0.059074828512460785,0.06513602393230407,-0.0232359990765503,-0.025848803166856407,0.18950519108521544,-0.02516672569969195,0.025352745925031964,0.04707933382179292,-0.0022685332590484057,-0.03420669863375957,0.00015757752941017813,-0.07145133953670728,0.0173615532640842,-0.07986582250358397
FASLG,,,,,,,,,,,,,-0.018320048300998728,
CEACAM1,,0.12008528998126371,0.020933832700896878,-0.016010996497621915,,0.1400877415676416,-0.016745996129576765,0.05091587775708973,-0.03014968014534597,0.016588990201670758,0.00833754331752338,0.08437549019939498,-0.025489656485515762,
PDAP1,0.020016673468784957,0.007482218993709676,-0.017421153894110405,-0.02546346062138558,0.0683584719612712,0.12928328246915996,0.020581091958104935,0.07286674290281522,0.00454152989393558,0.019704785151859344,-0.027999578713059657,-0.03609518866595702,0.008209357890876647,0.018930217460682356
QDPR,-0.027020489796603892,0.029404707212840085,0.018157729207087716,0.040292238230031786,-0.06658545234033911,-0.11130009798254006,-0.007571549857596947,-0.005730148390791152,-0.06844780090952236,0.019985030718529032,0.048230618294038345,-0.06187448431714,0.033332942827930215,0.009450538339120193
