,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.0011215126682145736,,,,,,,,0.016490512421917788,,-0.019010182507154066
BMP1,-0.0001860162405199494,0.15737464896735898,0.03632856539807106,-0.0312943779513813,0.0069354939332514345,0.020408871111375158,0.09067198416224431,0.06164842572448826,0.042852691574332635,0.010212280904431891,0.046791117507232076,0.11193299174471456,0.03572565992373096,-0.021625549315631355,-0.023589107170061,0.058227933723145386,-0.0340572589113715,-0.0350724780560962
NDP,0.013390868124192443,0.061188583633567536,-0.028676147246563234,-0.011426733113321359,0.009813039310094872,-0.05805229360737941,-0.004315187993266839,0.04596497826255376,-0.06509685135294979,0.03750806264206593,0.011031878232683872,0.07068339932284631,0.0017659170825509928,-0.008993884379769952,0.03546376543424347,0.04789704905100581,0.046926022349941074,0.04030585536285627
TNFSF18,-0.01871251853388907,0.017909631500649174,0.035277321131474845,-0.02528979701665318,,,0.010981544160935231,0.06125531421199982,-0.01720122586568753,,,,-0.01551312833150711,,,0.052934806841701196,,-0.018081347268182984
IL36G,,,,,,,,,,,0.07273839381161744,,,,,,,
RTN4,-0.06034850981460374,-0.027868316911405584,-0.07147779413167285,0.008470531116282697,0.0008525833806538859,-0.04674125614038925,-0.08698629886341212,-0.07962809466278772,-0.06913502295029346,0.02953974238884889,-0.05074293006378329,0.09142410019004947,-0.024095009314423894,0.02109526420839328,0.003205317785970783,-0.03408520260482143,0.1057989360466771,-0.027234370332433516
HEBP1,0.046589940410234745,-0.05052813362266645,0.014447770496337881,0.026052547559579566,-0.022163557914768477,-0.013095462980513013,0.03186893394699698,0.009482455345126392,0.017976705851430394,0.029406957449263582,-0.018862489978956083,0.004881437111803919,0.1063945486302421,0.010985570379400069,0.04482994862675232,0.05501309895781841,0.019270261766063324,0.04477875819863645
WNT7B,0.01179594837713302,-0.01082021628362474,-0.05240764896266636,-0.015709237954485446,-0.029897408131807714,0.09903069491923434,0.02492019276142629,-0.046194479046182714,-0.03741036028814761,-0.012626035860487972,0.01025652210201705,0.06880597468410136,,0.030088626400700258,0.06719055169557885,-0.05293104325727523,0.007381257475958992,-0.04057563211385139
PTMA,0.04670521081821575,-0.10657631149808987,-0.03510225391898374,-0.016861860149548265,0.01510789664834067,0.051144149833596365,0.0961369797294903,-0.038757982300380966,-0.10472872659558478,0.05494324018956483,0.06852908760813625,-0.08866069132616847,0.049057206350150775,-0.03599618664222779,-0.0020348043055976772,-0.022373223753465583,-0.0370066111516591,-0.06253289273944182
FASLG,-0.016485147396285392,,,,,,,,,,,,,,,,,-0.016487524803037244
CEACAM1,0.016739958802230007,,0.028542921581829656,-0.012055895283027524,0.06852779919399458,-0.015811711702499124,,0.1033097643503757,-0.027053430369239934,,,0.04211219658665008,0.014210142309920348,0.005458900394617191,-0.023942735534263328,-0.03637180329156829,-0.015698626636884344,-0.022939969186813198
PDAP1,0.06641660858057656,-0.008845590605507148,0.02822570619113365,-0.01614609370579914,0.04356235104673954,0.10900085283192064,0.07618288297750861,0.03378308320860496,-0.03254160080944884,0.01642209616261293,0.04879156354052943,0.01852539851401619,-0.08506037893821916,-0.02744926502201602,-0.07306813706212219,0.01607632948084925,0.06907929386233415,0.03243462078383371
