,MGH258,UKF248,UKF259,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.020973551861209458,,0.0753817901461351,
BMP1,-0.006476665680999349,0.04323784037351198,-0.0077391819420308695,0.010097120604869348,-0.007654632535878781,0.027189839589938886,0.10816355669668128,-0.008126440102772768,0.02141433501350494,0.09452481267458109,0.00600390803342588,0.008497069062531427,0.09953151311970014
NDP,0.04113425623400564,0.030010255587488724,-0.03587996233279829,-0.009798199178188628,0.04736994087248292,0.007824054421357592,0.0005020333580076572,0.050919081182808835,0.12285973422109304,0.11337835026687954,-0.024536494832096137,0.12798107118335666,0.11354471859993409
TNFSF18,0.05742402146504233,0.0035488152926155766,,-0.013007999581069097,,0.041261845963711435,,,,0.03215766221698215,,0.034279894457534515,0.053891639802401636
RTN4,-0.04969588326847651,0.045047985067359915,0.04608140070219892,-0.01922747777919079,-0.038139722676766755,0.11003223925026108,-0.051594653212760466,-0.010942210425267548,-0.05339358721324849,-0.1164922284602226,0.053073056126138204,0.0032241647008951053,-0.17721816729913523
HEBP1,-0.0575372346645153,0.0018960923320776725,0.041047785247410734,0.06796885353139934,0.019018886136903862,0.07062661958180631,0.024022065989040917,0.0724118907182141,0.07745216265122758,0.026535363821713714,0.004037149323948399,0.1112484610616474,0.001214452859521785
WNT7B,-0.02118886412917717,-0.03166962480509028,0.027455895440996133,-0.03728621991484175,-0.006908696463230477,,0.011774051561337984,-0.03214535166515452,0.03362784884681337,0.01275484647209145,0.01283653568487951,-0.004440671929879974,0.04613612219961711
PTMA,-0.06121978680610229,0.05294387940706612,-0.01224566870031044,-0.04276475496458028,-0.016666171433310128,-0.13223666772365816,-0.11304981259046874,-0.03688327452848912,-0.06298657678683918,-0.12381383962930406,0.1215214428099823,-0.12196525961663905,-0.007645963628229853
FASLG,0.067069178703772,,,,,,,,,,,-0.006664584899256567,
CEACAM1,0.03572223491561209,0.01396542178453399,0.018933196230236468,-0.02045848439276274,,0.06927402343419188,0.022083823898617273,-0.011487645252721723,-0.03250751081884189,0.04139577816080636,0.03016169033370941,0.02385154034998049,
