,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.012146788379502128,,,,,,-0.019296715881491493,,-0.016190502707939695,
BMP1,-0.0026740284596866947,-0.06183539588349965,0.08142906657420616,0.02830095596552218,-0.002954942091852018,-0.013048863316666675,0.09175471628384345,0.05191492321234008,-0.005451929703512729,-0.09347218548112894,-0.03864920653928728,-0.04654919678196826,-0.0013766621987999937,-0.010955531651152255,-0.1074246691430384,-0.07839212123748532
NDP,0.012916863237507362,-0.02201632093150623,0.013796390295655991,-0.0016144882184681156,0.002075274226409296,-0.046714699520683495,0.03080997012977402,-0.027590979405576938,0.07217272115345444,-0.07332872737335726,0.00163741665330389,0.02375857423647655,-0.03774261022007432,0.03827592305315009,-0.007089753093099973,0.023681837137138787
TNFSF18,-0.02207643504941167,0.005979998717341168,,,,-0.016689363154904855,0.028198641743508498,-0.01985719860754254,,,,0.1110400458319309,-0.019900362481544708,,-0.027310483503530478,-0.034929176137590404
IL36G,,,,,,,,,,,-0.002169996118746212,,,,,
RTN4,0.03274650085200223,-0.0710775428819483,-0.01682139068007613,-0.031316242080624314,0.025654017769307324,-0.01470321712146625,-0.0553549669244932,0.028060821286608584,-0.022057228564768053,0.11374691296149307,0.03087143033753833,-0.04086127205587248,-0.0343650877699649,0.03959588561816268,0.004900527069675273,0.09395300129069976
HEBP1,0.0206603507537662,-0.035673338304007506,0.02730298275015864,-0.02592113354684096,-0.05538215726832692,-0.014070501171212129,-0.015417187599025068,-0.01840856313976319,0.016064110555289772,-0.125892146060884,0.007581057008820565,-0.006720323527567594,-0.03899653226320699,-0.052980365720883306,0.0281765542332925,-0.053461560353185236
WNT7B,0.030785072077003144,0.007046237165659409,0.01707928007523571,0.01068237881319713,-0.035483569714649936,-0.007917998179549711,0.018238136160693356,-0.009945500330850527,0.029146259558083445,,-0.02134323904731635,,0.011630187942982505,-0.03537362691712255,0.07012386603986291,-0.04118032624295635
PTMA,0.04719196989331811,-0.052270154299617004,0.024493619474258755,0.003587345962684488,-0.02405138018917229,-0.005859795180423538,-0.09351663452312352,0.02123397112309692,-0.02998825784982157,-0.23174982255508106,-0.03595710516918376,-0.0263946341442335,-0.013861748638251866,0.059067536709959456,-0.03350816542877782,-0.0800200174226765
FASLG,,,,,,,,,,,,,,,-0.014042017475126284,
CEACAM1,,-0.015573935438508168,,0.011097570390384955,-0.02252171788888393,,-0.005158374441092608,-0.013150450002315161,,,,-0.030603808580405262,-0.028594743260016105,-0.023477990648327847,-0.01953740491967294,
PDAP1,-0.041037320454950975,-0.011814929335760041,0.008395130082604353,-0.011083737615122562,-0.00584173039855771,0.022693007931164688,0.04205301864675892,0.0138192738280312,-0.015539379628004439,-0.022550073712880283,-0.059856598550054194,-0.09131041443025346,-0.05033937135900846,0.06754462301580075,0.04419763751543337,-0.030078583301003606
QDPR,0.011389571546206838,0.030003048176391822,0.0101568573948638,-0.09421527109477214,0.05968089474978084,0.026285941672514777,-0.08802223494893918,-0.015916438703971837,-0.034969894801452905,-0.19761945630696442,0.0157430335498024,-0.049733692889432066,-0.03390004586847737,-0.046504362052884586,0.014648972261451768,0.09714323189627291
