,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.018417494350615488,,,,,,,,0.051985429421547075,
BMP1,0.025099234320585317,0.024747978624358798,-0.0023702541891483507,-0.030387131123114242,-0.051413101377526436,-0.0350055489782458,-0.15037898301585717,-0.027999098337020547,-0.009659478601021135,-0.002449252235267745,-0.12164443733825477,-0.008297929772612182,-0.03588602821718134,-0.060142579374174596,0.01935909466732519,0.02958662293545582
NDP,0.038717858809946576,0.017914978464214616,-0.06122954870195983,0.005527812471920096,0.11642127300742754,0.09511496831486974,-0.02090422086243715,-0.00937458207656534,0.00021664211089891057,-0.01791758760022261,0.011186182879222066,0.045733047750925966,0.042360260761599364,0.006846598869553687,0.011837214422447296,0.08744045596048569
TNFSF18,-0.007822512201315053,0.02557347894402956,,,,-0.025505610927864054,-0.02734942620233223,-0.02223238565369527,,,,,,,0.02572093865204709,-0.04795760859468516
IL36G,,,,,,,,,,,-0.010628645996521075,,,,,
RTN4,0.01997958893316604,0.05367589892441367,-0.02357403671437083,0.06795786071620993,0.17303231374508,0.15800140646603017,0.18502129526187594,0.07713590488264842,0.06591719400604855,0.1618195440794835,0.14075743707272995,-0.008368904206221533,0.11247971093356361,0.14491612194432882,-0.023400390478209073,0.058843297325737474
HEBP1,0.0030848603332582587,0.06885047223485616,0.04000823556124885,-0.006418141854370653,-0.06120697846343669,-0.027697764192158095,-0.0973763509493738,0.017177143163853745,-0.08953440603339236,-0.10883538383673266,-0.046706311036156585,0.020122521947782503,0.0382564594769777,-0.005919109568234048,0.001019057250905919,0.045660850071559705
WNT7B,0.04826074972650996,-0.018238660862889288,0.020455025280860822,-0.025213099904991973,0.029045683968725474,-0.016935133298470163,0.09801443968260998,0.00431611451116616,0.021552877241251333,,0.011709422740130041,-0.0028927543171058316,0.016030869116679104,0.04283184246782498,0.0750086198572996,0.11702953557071309
PTMA,0.03745660980168056,0.04231686893355946,0.07669551384981847,0.027060415630301277,-0.10036227920468284,-0.14903281245301617,-0.051221612139855134,0.09207020160437991,-0.07656671073735638,-0.26402665361858607,-0.203804445415019,-0.052138359958439316,0.05936279078181875,0.08445889172027392,0.005442620197326216,-0.07818915433082345
FASLG,,,,,,,,,,,,,,,0.012073963260939331,
CEACAM1,0.017087681238435803,-0.013997075230683775,,0.006242992453555146,-0.02447436010667913,,-0.035990287175426676,0.023860928512180257,,,,0.000930366116441038,-0.014708593625662299,0.007664160685831964,-0.021432401572980625,
PDAP1,0.05722549493485357,-0.027001071606864744,0.020746245886270786,-0.026903144950497,-0.02323535533787698,-0.09027156949653245,-0.0949262138469706,0.03940093995520092,-0.029241587481121507,-0.017539419097094094,-0.08060774283945364,-0.043899331889811606,-0.03967707729161393,0.0570114136619807,-0.00967272989995539,0.012593334955758628
QDPR,0.036102843820607695,-0.013403523876090426,0.0380920493379799,-0.0030708740222255932,0.1621824850847661,0.06452383160817217,0.055782899351075874,0.09702826972780446,-0.0014133650880684724,-0.22592588372196165,0.01969810519467441,0.0036661066910705013,0.022767038035173413,-0.01348409473002772,0.023641911310904432,0.10596812352938868
POMC,-0.05112748772535623,0.1070519120479418,,0.02988026778584648,0.09790518847863822,-0.014967177150000004,0.09317021513353489,-0.025796702216903646,-0.016353511194505444,-0.027555082550764613,0.09459106205901,0.025352680041038606,0.0666716891888096,-0.045490930827609244,0.03416519983666097,0.03727673215397855
CCL18,0.002867684591764983,,,,,,,,,-0.07147140791120361,,0.03250636089827376,0.003777276261914737,-0.05986447408981938,,
CCL17,,,,-0.0011000365529656242,,,,-0.007795090701048677,0.04604906340826975,,-0.022337113676427295,0.015937840333698314,-0.013784447719335634,,-0.013961994531414937,
VEGFD,0.04100130721142246,0.011556305521840091,,0.000497728724637953,0.07002493502670679,,-0.030854243415301102,0.05732666453886897,0.014308513891716666,0.028388780970145785,-0.023939376581971292,,-0.04907229383382111,,,
TNFSF13,-0.027463126139589785,,,-0.021245065559140325,,-0.02320560892432839,,,,,,0.08937352280079576,0.03553148588374707,0.03937719773212221,0.051272497182347374,0.0023919818131920415
WNT5A,0.04606008312009589,-0.0367472244394426,0.11351075859881883,-0.04873878158499009,-0.14013611275595783,-0.11473532796114332,-0.11323659920775458,-0.0017935907113671855,-0.014460965620702815,0.05021054066936077,-0.04931379910992288,0.03012159949952174,0.03571835974870691,0.03377934531960581,0.053812012472543115,-0.09279653008842309
