,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,-0.03350339396213539,,,,,,,
BMP1,-0.044524010175638236,-0.005960908513070002,-0.04050520198243142,-0.021508658573462035,-0.2309123986955886,-0.06728949580572362,-0.03446808877000468,-0.12627776482377137,-0.1660824744074217,-0.0739945501109698,-0.04444839847371905,-0.024467996743848527
NDP,0.024848770852400438,-0.04082736503118836,0.0939775978142662,0.07541828317543964,-0.04056751129747323,-0.010556314245992788,0.025843249952167646,-0.05614207907656795,0.023898900783749875,-0.02416033971335939,0.09994158475573732,-0.08253068374997993
TNFSF18,0.013306186461561878,,,0.015236590148037998,-0.04975153423432235,-0.019422374773395555,,,,0.08572572342988397,-0.01855702963388427,
IL36G,,,,,,,,,-0.020126427010739276,,,
RTN4,0.03041087671975474,0.06236632169390737,0.18056173777675472,0.11715819669538313,0.2928643332576349,0.0920881947696286,0.0889522904494915,0.27917727223183986,0.2180408213065591,-0.11322580829938168,0.04752003352954545,0.11736942629960974
HEBP1,0.0374367980497817,0.046580185380305415,0.018366404307025182,-0.025307158666195352,-0.08992195509538223,-0.009942555372219313,-0.03235293827758262,-0.17147808844635676,0.017379980744095316,0.060912556160407694,-0.018679413771340244,-0.08637900151571347
WNT7B,-0.025879506174528333,-0.02403262020707372,0.016522174822573073,0.05546046904163581,0.16670218487752955,0.007919438994015208,0.048470138283443154,,0.0535903111322471,-0.033140043300190755,-0.017026338946944195,0.007918211912578972
PTMA,0.03666514451287022,0.003450616147547109,-0.10169067331042543,-0.15622132523423707,0.05987637885387375,0.06120470615374081,-0.047042416405267726,-0.35723817444852213,-0.23049141053772404,-0.09634956550001529,-0.12487063999604867,-0.1177851057334778
CEACAM1,-0.022807282123941702,-0.027750786292789386,0.05253088644711032,,-0.04741975215564207,-0.020887922826664608,,,,,,
PDAP1,0.04201531724496103,0.013689972471238744,-0.03554324470706224,-0.03795901429456524,-0.18884894397156746,-0.017386150652221505,-0.02274658826067604,0.0022339326214354995,-0.05946981399704419,0.03275333767562954,-0.029916978197801983,-0.06174321835885864
QDPR,0.05883943069652762,0.008514620948407402,0.1272126848440519,0.03796583497387054,0.06466665493615156,0.09980008580623216,-0.014643477872874663,-0.2862599671022324,0.024881385593979823,0.028852496402179476,0.12004443241929051,-0.054929071529879074
POMC,-0.05405580624744114,-0.0025714820184284007,0.01324838009744363,-0.06368058146386953,0.015539429533935825,0.0021039478061092116,-0.02466676572011164,-0.058118816099089136,0.014261924116842791,,0.04676757642598304,0.08265597412774824
CCL18,0.022526474922381173,,,,,,,-0.07516775125384811,,,,
CCL17,,0.01903449010528549,,,,-0.024223482762642388,0.037040494002385835,,-0.018386062463379434,,,
VEGFD,-0.015539656318986626,-0.017920130879965936,-0.01937053218148627,,-0.05612717196310198,0.08317184127903152,0.0009328486182111044,0.11829201444224159,-0.019704912619708116,,,
TNFSF13,-0.02147784214672155,-0.01109486536243085,,0.02510473018928141,,,,,,,0.1239696692863491,
WNT5A,-0.02973404285864605,0.019620087315572587,-0.09346585616490169,-0.08063970361793,-0.1892783151630417,-0.02158399111915888,0.030847045856253412,0.021401285536011932,-0.04588009717351467,-0.057058131516385086,-0.11328399787803581,0.003471395270939528
CXCL8,-0.034250123041903245,-0.011232493262409033,-0.08114856294137773,-0.014638326928287456,-0.11160244727193394,-0.0335644188690987,-0.0225779803804973,-0.10587621515348261,-0.04740334990537151,-0.0740881870056529,-0.08805548448534499,0.025169867530090456
GRN,-0.11741450468063917,0.03154658091799772,-0.052984022478957664,-0.09947223602604707,-0.23550694989346546,-0.02120679643414092,-0.022981345231770867,-0.2191913413107422,0.028323719483638515,0.1296660428909003,0.04038703111005381,-0.03275104351583053
MIA,-0.01530095391613088,-0.005084692241197469,-0.02700752653116691,0.017386843414557335,-0.09027479738885136,0.004022044738018894,0.02811081267523739,,-0.026986780860760593,,0.06155342806095226,
COL4A4,0.01754705930155731,-0.030847546179839317,-0.04517276243286896,-0.03686505468600525,-0.008955436026061817,-0.025290065446574368,0.037156674397094656,,-0.026178178620176632,,-0.03383145605932072,
TAC1,0.08485542802751604,0.07293377610862724,0.20417273461118257,0.16992963700909106,0.3259670544597235,0.1283687303084749,0.007779605206540264,0.2280357906446998,0.26643921928771214,0.08518874586761598,0.05352238029511782,0.06833691784549627
RARRES2,-0.011341363705413153,0.02385948612465546,-0.13169890205500356,-0.12529846583966922,-0.2625096090749,0.06506416460855571,-0.013082648244714806,-0.11073685068769802,-0.09146931039029679,0.0798706434394319,-0.1543383400469599,0.0646678131473721
FGF7,,-0.02851162130634367,0.025411555137876025,-7.428265445592419e-05,-0.05549866857445452,0.0022885773712439583,-0.019023689893044614,-0.027607835021976765,0.02497256734197594,-0.01572062863518345,0.012923147264989195,-0.060240641357881465
HBEGF,-0.09229350822658364,-0.057447414911669395,-0.0523441468252139,-0.044931294113834015,-0.1604098640454764,-0.07375186002769758,-0.03437206026897298,-0.15534601737071335,-0.07033022714048111,0.019584904250580213,-0.06652911030486756,0.08569353570249334
