,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.014688237520113402,,,,,,,,,,,-0.02082637395177225,
BMP1,0.07289113985534078,0.017719022725804046,0.05757181278833741,-0.013584559629619254,-0.0017897926660196148,0.05682144227072945,-0.05369560143020742,0.05458369374727486,-0.04288518013606674,-0.008786743704537563,-0.02211946696876118,-0.02035929663743936,0.03660408759199123,0.013773315617812459,0.0074481555778321195,0.03171012691294541,0.037931247193032015,0.01862064639378968,0.1015609537714091
NDP,0.02725914984826581,-0.013831915152982615,0.010844205650164708,0.06263385927735367,0.08961944150252502,0.017766186622045408,0.004864311785717926,-0.01512448570389312,0.022366346248656736,0.00040915268779005367,0.0753157339836726,-0.04995754259799439,-0.02587734683404452,0.061402240449880664,0.027597796745820014,0.051016511305310604,-0.007837586477469818,0.09293705304077196,-0.05376950265992481
TNFSF18,-0.026872417544697914,-0.030940066191487533,,,,-0.017775836186047937,-0.021811591764394598,-0.013506325325882383,,,,,0.10617049844356931,,,,,0.0291336303419078,-0.0338976714674585
IL36G,,,,,,,,,,,-0.01579519969366638,,,,,,,,
RTN4,0.0418290705628084,0.0151834090435724,-0.026512882685302355,0.07318886901249898,0.0289766416753888,0.035468934312129274,0.07397539155041093,0.0398194230378407,0.02877694039068012,-0.025517260182817414,0.06949508083723953,0.1486785901748743,-0.0464829992817124,-0.017108946615158705,0.0009889054433755745,-0.06882686424080965,-0.052189802755517656,0.006339767234493004,-0.06044797847439823
HEBP1,0.027208248146760837,-0.0552090535980379,-0.04379765235086585,-0.06101217694005879,-0.029204360134630753,0.0015381998289980313,-0.01718392304705306,-0.010195209152866135,-0.00993433127089318,-0.022881295130743103,-0.03501230613313737,-0.08632622106376589,-0.026022308238406674,-0.029533121583705718,0.00934025857636129,0.003698017433120599,-0.03346882234967954,0.011428575176231356,-0.022163382938825263
WNT7B,0.06594780461910792,-0.011657763135314705,-0.0015866155187798355,0.018106687855740884,-0.005605056630369813,0.07673730745301217,0.027438775523928156,0.008512624200405577,-0.013333401287482479,0.07950507173128982,0.04198542976020016,0.04503239753363763,,-0.030250689026660494,0.020578343608326142,-0.017697767681193258,-0.032987642527688515,0.05887927928098324,-0.01742064627513856
PTMA,-0.10031790151974594,0.011976018621869205,0.02043944147561501,-4.536253495362882e-05,-0.08014200535808545,-0.0035638596066580237,0.008069993886012225,-0.09284776789698819,-0.032727128451419375,-0.005195651375760276,-0.0758438461423544,-0.0017710753677602712,-0.01895543105880783,-0.062154095977161365,-0.031894346060558285,0.0013280143445889815,0.043481089785291145,-0.06063811504976742,-0.0065286441854406855
FASLG,,,,,,,,,,,,,,,,,,0.0004205753571396374,
CEACAM1,,-0.019692504196801026,,-0.010095717550457408,0.000622775718189729,,-0.028702812466566172,0.004754256353968889,,,,-0.05527973803778842,0.1303481141289577,-0.042369831211044956,-0.008606691149699459,0.05060127530500493,-0.021894378108018246,0.034020937339174995,
PDAP1,0.002058423126541825,0.02876711264258,0.023520117698492403,-0.006704357948296807,-0.03907623518295472,-0.025896692477219735,-0.04594213651541786,0.029283333403676847,-0.0455219727117353,-0.007676879276758035,-0.03999612005679322,-0.02015654859173012,0.06572964531110785,0.03834402686226734,-0.0013626126134596525,0.04129552053396207,-0.04440998221208479,-0.010332369284911058,0.05012653319753175
QDPR,0.056715444032883394,-0.01739722865506952,0.0032012979955716473,0.03610876177664637,0.1075648102096348,0.017961480341289,0.0234367606496253,-0.0298829873472162,0.010360446289364035,0.008054287827190917,0.019891679729947456,0.0190165276815027,0.0049266507053335375,-0.06849406605811142,0.06730239751360763,-0.028502623035496926,-0.08187175415937481,0.0745340582631111,-0.01274959542536296
POMC,0.0820047910897583,0.024072875749062028,,-0.017717784842498766,0.020478140973314317,0.006070730652278439,0.007595968986166267,0.05452717009919504,0.04748211695054728,-0.005327416003415058,-0.03384138463873793,0.05386940319810079,0.01375941243803973,0.010145710227397395,0.04033737686045049,-0.016996258423869245,-0.03581632641591076,0.033099043919941375,0.012829947424245336
