,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,0.05706784341370399,,,,,,,,,,-0.019085630528415054,-0.02914230071170417,
BMP1,0.10984663382541249,0.025864446269251426,-0.014474300277411173,-0.023941470889763557,0.12363887148264069,-0.02371697371477231,-0.02777822022686535,0.08251203315658416,-0.03023346127594197,0.02691735262706653,0.08033792317470617,0.06750131016349863,-0.03422994385691389,-0.0003514253647769815,0.022456136871143194,0.03328735704125215,0.06174744086771809
NDP,0.004102940823349441,0.013248593237395776,-0.01066695925090999,-0.013844077468349158,-0.0020163203792349597,-0.020286140101344344,0.031886240818120026,0.04078118906078544,0.08289393570374563,0.10170018445761354,0.032053237915104685,0.09618521668709139,0.03873132961040503,0.08700037239092133,0.07512545738056797,0.0323153860309871,0.021257953126677078
TNFSF18,-0.009342885719579523,0.027103254934013006,,,0.25804573223071053,-0.011674764661574738,,,0.18807394120447743,,0.02071167551244499,,,,-0.01968267388279226,0.012640002084014255,-0.026018896164224325
RTN4,0.04467206965596894,-0.045846869457253886,0.00924167663737939,0.005506704148338781,-0.09573162506633554,-0.005211109323290573,-0.011332483346761051,-0.02701378991909889,-0.01913838496433819,-0.0011793627564458667,0.13350082531236457,-0.06692309557613037,-0.004009934028591496,-0.04620912450231168,-0.07795085043101817,0.0250998863537563,-0.03340125910574562
HEBP1,0.014329778884521865,-0.015991873711086988,-0.001406314802177722,0.007957519146264289,0.08311847867878716,0.06883346388919359,0.011939854905220733,0.03729903685693261,-0.08341271902823416,-0.09765159517528002,0.042619706938897356,-0.03279166036125307,0.0062411513777078384,0.053647297894940965,-0.005287192045787381,0.020058751018992703,0.05652416863085945
WNT7B,-0.0035725032460789375,-0.0010798598946289346,0.009222638208041421,-0.007070543246813057,0.0025922064264034803,-0.014152674884506068,-0.01233231221151386,0.06617142661867376,0.04752365739878723,0.11221103335288896,,0.09472220942825574,0.005110642197386205,0.06896155527103102,0.006856756793110693,0.10925127441511737,0.03361517963008368
PTMA,0.0033018182510434115,0.013017029998322792,0.007377601275232832,-0.029596807531229393,-0.07119153627855485,-0.032143694214088074,0.01770011630263587,0.09511930858538724,-0.06853111875119577,-0.20741593538343983,-0.01784336915932109,-0.11989375819040318,0.013237934708009852,-0.03730908831285854,-0.08641606833815126,-0.09370942873285454,0.05597269579543028
FASLG,,,,,,,,,,,,,,,,-0.025275107465221477,
CEACAM1,0.00557112998532459,-0.020051749119169914,0.027680588312426268,-0.03177519744932495,0.026569910383324114,-0.01836162348633581,,,,-0.0725853907464829,0.05203232544169192,-0.03750546468100832,-0.03096422959225333,-0.024532499806624846,0.006907603766471458,-0.02211137835251318,
PDAP1,0.005784867711709725,0.018683380751483975,-0.021416654724391054,-0.011194754869413645,0.06389817771885774,0.03553646313496848,0.045193964746979225,0.028173391998067128,-0.01080172802859743,-0.07971923679221615,0.001750490081450562,0.04627106341639684,-0.017354141070277468,-0.07145706105175906,0.06298648571379589,-0.009499398369211367,-0.04224030501804566
QDPR,-0.029769628402309078,-0.07789543908096631,-0.04119220960712944,0.013739193961360356,-0.1173374098537312,0.017890645838025042,0.020075276868349298,0.09363515499428285,-0.019188869571149465,-0.07141099461068287,-0.01608210075926074,-0.10190694075462851,0.02985874665934102,0.07632426197256521,-0.03352102889485468,0.03444154674252927,-0.06854841923776266
POMC,0.03489118132053407,-0.03562875907662454,-0.00010906513920207154,0.026692775710510704,0.008411301387843375,-0.013546473694648937,0.06601094205884582,-0.01578044202072386,0.002783691130143725,-0.0807982591301066,0.0737149127269766,0.006589769683123624,0.10839935205996044,0.008913117548319173,0.10545443837803323,0.026292385818106168,-0.006995072127093584
CCL18,0.022971378115151556,,,,,,,0.046888486179481825,,0.13228117458694805,,-0.02659199110782704,-0.023654250612780557,0.02156232807313461,,,
CCL17,,,0.08927330942843163,,,0.06038574611426855,-0.015263945425954387,,,,,,-0.02196762218486377,-0.02337764074990695,0.014154817549512193,0.10815847673554575,
VEGFD,-0.02580414089978774,0.017578873433113158,-0.02766780719052411,0.018143641757302778,0.011118010647703095,0.12535733219752665,-0.011196288563325045,0.03710708564569855,,-0.00014114411201472454,0.005879259640751759,,,0.07401702100791374,-0.026539516309421265,,
TNFSF13,0.03354570674035393,,-0.008837207285641713,,,,,,,,,,0.06212589893570615,0.026716495171649455,-0.026984386522821348,0.0231514612118782,0.05994273133009695
WNT5A,0.01756958677179504,0.0440128162454384,-0.044868957244768776,-0.0002614314130060663,0.05846820456607477,-0.043700689797227674,0.018851285912926244,0.020941958974953406,-0.003209967097301818,-0.04786268081448598,0.02728107866806479,0.07650829335629304,0.0005745230431437994,0.002924787556471145,-0.030733052720295882,0.056760568561468265,-0.0006210267097696946
CXCL8,0.008094309031315342,-0.02689180650229997,0.002434747858137646,-0.08134536514647893,0.01175671382620338,0.033498540119761874,-0.01042647074097984,-0.05099424246106397,,0.05307070707874689,-0.07334536768381401,0.03392554108289713,-0.08823911262828686,-0.1066347896504126,-0.021991431537576774,-0.06038997990180988,-0.0025343133852638636
GRN,0.039258019341982635,-0.007315847800120297,0.021308119919959866,0.06810412514421406,0.08569179329152157,0.014861816117567548,-0.008871735306360165,0.03408414092671699,0.02665188788322246,-0.08582852492738409,0.02073546584254692,-0.008070399063942545,-0.0007847555750220518,-0.026441074963053694,0.025244569001039243,0.022907296181821957,-0.03657001048287912
MIA,0.01761855802194252,-0.025541655259906898,0.0055813038804486195,-0.043679962830425405,0.15398315318482866,-0.008401570539409585,-0.012733420324366005,0.04722634190514778,-0.007947348958513888,-0.018198459643361416,-0.06918108697564812,0.07893388976896565,0.07084030201864494,0.11831410998384516,-0.004324821751724667,0.07553097083753496,-0.010001256595958541
COL4A4,0.09695843029405442,0.005661971446102323,0.0017929372424770396,0.0015582651894464063,0.1337322693275175,-0.015201826028453276,0.005548124746464018,,,,-0.01632948314652269,0.04743608283719484,0.07079633679434683,0.045601838407262354,-0.011303874133774733,0.018086614746606687,-0.01599069930755664
TAC1,0.035993212820579976,0.0018102941380255559,0.02770196488778939,0.06529175319339946,-0.0820523162486995,0.037087793045073404,0.006449449038770157,,,,,,,,,-0.030116270492056733,0.01649696248026975
RARRES2,-0.013430277522843745,0.0009761583153749587,-0.0038485202089451665,0.018255169543794608,0.11121177114937712,0.07031913049732424,0.0241684070301107,-0.07995474489306897,0.05981372703986616,-0.007197804213999063,-0.09521581798653701,0.13570158615508915,-0.06952798209206185,-0.011035871973472817,-0.007482493959960321,0.049236839375082435,0.061809808366970996
FGF7,,-0.03241595205139977,0.0038102963442970816,0.00653255263798391,0.020840774396291943,0.05383698055249106,0.023741129423187537,0.024611214276458043,0.10266786810923868,-0.006011801679736174,0.04991776634964841,0.17924944053520114,0.02647916909627952,0.010450417505912366,0.07590121345650107,0.059677067129944625,0.09566421110761666
EFNA2,,,,,,,,,,,,,,-0.023316499275819004,,,
HBEGF,0.002143149004829387,0.022707483808263998,-0.003633105565647768,-0.011588366715589072,0.08608209863736391,0.07007354618729558,-0.0066451388286552105,0.08408223424317723,-0.017072876428463633,-0.06938839209615248,-0.016362796090209304,0.015447935530114748,0.025699877341730588,0.007552458764483675,0.013507968978395509,0.0340063833059354,0.06559872029951719
CSF3,,,0.058373437268482216,-0.04114308438360039,-0.00323574798770943,,,0.024463279767020712,,,,,-0.061519695147209084,-0.08739570408183082,,0.08481584361164361,-0.003026656825224331
PI3,-0.005703024679721462,,-0.02309063403346937,-0.014548805127238124,-0.02413715632941227,,,,,-0.05479058354802121,,,-0.0680718215719587,-0.15305745206026747,0.024578735335361552,-0.0524040762754204,-0.03967210131739537
PCSK1N,0.017036068943812453,0.014226658272645744,-0.041293181109330356,-0.003101352933728989,0.024225553324669344,0.07564324464772522,-0.016256901087582747,-0.01652994920482956,0.03636999381827272,-0.11732217257799268,0.08732219713825654,0.057480009249544814,0.006927760101190436,-0.011942164871461144,-0.024601664022297885,0.09518487449533054,-0.04804481814958857
NTS,,,,-0.014356088991974025,-0.012094146859550379,-0.0010116477535822847,-0.04231783154939149,,,,,,-0.03470001606994387,-0.028406729748851188,,-0.03571797386736607,
SFRP1,-0.01846023334240955,0.03903677761013511,-0.02825134154267775,0.01791499272557324,0.055097767793720664,0.011566680539468114,-0.015263945579674854,0.11780049971212644,0.07726384638834044,0.06719112356347802,0.05732523887545271,-0.002404496738955167,0.014401234099034009,0.029107470022352293,-0.0811338711322474,0.04213043958796378,0.007664557607912503
CXCL13,,0.06000856656942333,,0.08517081238536775,,,,-0.003715394103375965,,,,,-0.04934378342081942,-0.04487739573741603,,,0.047014088650235035
MICA,-0.015323706416113131,0.021699573321451712,-0.0014592277332025737,0.021647987712592673,0.12293816589798337,0.055093432353673887,0.04508988189221687,-0.018339914486274863,0.03995109720382276,0.050072559214746765,0.06150735979282845,0.05540622814277597,0.01655881486035227,0.02580907745417002,0.0028387899492917823,0.04274058977174515,0.0780232886176394
TG,0.042518007150828104,-0.027266338689331975,0.010029900835050452,0.04021914389917639,-0.011278436161217029,0.003837502793416987,0.03932081861773852,-0.020619367388238132,0.011972083233489791,-0.09834161132020988,-0.05070909814713815,-0.009866849755911072,-0.02918947766336858,0.01150778725707612,,0.027069155970809097,0.13255149692868967
ADA,-0.02936165837027121,-0.005271286348608485,0.005260842061868477,0.013027433327772661,0.02806257745874114,0.029634055496521296,-0.01794032481141384,0.0294242911146711,-0.006009253936045966,0.07889467126732386,-0.06667486319510052,0.05882618795438363,0.09134821106100068,0.03295772830565007,0.055833985962296356,-0.014224769391495903,0.029004089888530392
LAMC3,0.0880874204369258,0.0534880092128359,-0.0222932815781589,0.01405368716747901,0.13340783039356613,0.05920627459196693,-0.01786797775608438,0.026883697728454743,0.004514896242622156,0.08490112839871727,-0.05075416575649093,-0.0327786077930729,0.10104872616734037,0.054294386009300755,0.0009290186940140551,-0.01356119746124925,0.0065302387393378295
CCL7,-0.027388753018126048,,-0.022042539232686724,-0.04556860669566427,,,,,,,,,-0.03292440210453637,,,0.12150556886468768,0.019012329087584184
NGF,0.028148769227012208,,0.044008033538028304,0.013270928342324113,,,,0.0024488562646380616,,,0.04738497209883387,0.01670839236425272,0.0463061578749044,0.04778485686201852,,-0.028777672158742194,0.017928409781660114
TNFSF15,,,0.05651384622250049,0.056072479965193274,,,,0.041839773659998275,0.05406436187612439,,0.08268843178470657,0.10260979139481363,-0.018122515296548874,,,-0.027726554291057696,0.03414820398446427
HMGB1,-0.01939389105915293,-0.013138869678584322,-0.007520919913316629,0.0591180422753158,0.10277110413629846,-0.05218389538722944,-0.019698105377492135,0.09682265852464358,-0.03838838902409916,-0.14871174352160063,-0.02684664790560229,-0.06993549203662841,-0.0015474609951799468,-0.09784302539682074,-0.012669461863961604,-0.03160434628817988,0.06419775763740045
