,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.018872391508117592,,0.07657372893303419,,
BMP1,0.053118850339866075,0.0011510660141941,-0.01792183178956548,0.04865520299777539,-0.06628976249606638,0.09816295216762148,0.06886440072971034,-0.06376655900619219
NDP,-0.010408636717578246,-0.05148631650653843,0.06877655397686158,-0.0007173237732370896,0.03284478350000378,-0.015446845221554381,0.012986255169312743,0.025875826189429275
TNFSF18,-0.00480803295744576,,,-0.019462764245049228,,0.017741143043685646,-0.015068664099301689,
RTN4,-0.048137498752536784,-0.039048339647614935,-0.051383506263556956,0.021209845929425482,0.11585066209177429,-0.03729219028186165,0.058742513695861455,-0.002180419520328256
HEBP1,0.016671569417957405,0.014335252316232824,0.031237595324278545,0.08900839405484602,-0.02718169263066764,0.028435895847686184,0.016980120411266852,-0.06266672295272971
WNT7B,,-0.03868181737833636,0.02491196391941561,0.03372542717002212,-0.014488383779962543,0.2546205686540052,-0.01609238420055084,0.062258773352942394
PTMA,-0.04161948603163984,-0.05919726279145669,0.0003270684117646002,-0.021465232746001664,0.02915350472167491,-0.00048600190950405243,0.029988788690457492,-0.0693760011989879
FASLG,,,,,,0.10849829134199952,,
CEACAM1,0.08606651963253674,-0.025595070683222036,0.003822013502365043,0.16931941902352182,0.004561424042463034,0.02795937320381848,,
PDAP1,0.04243976505211443,-0.055751297986084206,-0.06421873764096088,0.054560875411582145,0.03459067301661393,-0.034534055780362685,-0.03732879097921892,-0.13675995665469545
QDPR,0.019820941491389535,0.060034288957175656,0.14061229906389616,-0.04910334382049672,-0.06080158167742134,-0.022159638888068666,0.0002318887637425541,-0.04852845437723055
POMC,-0.007164783748607465,-0.03754354362048732,0.02912241104415644,-0.044371538485537335,0.021780796788334108,-0.023093561697933505,-0.06611883901867592,-0.011064335030316997
CCL18,,-0.012121216720894647,-0.04331528019057483,,-0.10842849648201568,,,
CCL17,,-0.02649536356449492,-0.03981485739187156,0.05409291442602623,,0.12607274996480378,,
VEGFD,0.11175967723122347,,0.05977705512879232,-0.02624299687043475,,,,
TNFSF13,,0.029076349979391573,0.00566679156267462,0.010485282415482937,-0.008206055364861901,0.03278068731717955,-0.033622222199184995,
WNT5A,0.061451662457163145,-0.024349114417509567,0.0512179322284557,-0.03990351976667753,0.038754618538591315,0.007227780938307751,-0.009687736181879623,-0.027132589030205625
CXCL8,-0.017878452354481485,-0.03794936479935487,-0.1759230624062274,-0.006924747757524345,-0.024960700598201466,-0.022277794995505616,-0.07971386846102436,0.07386796362277674
GRN,-0.08574399308387799,0.011348674648191316,-0.09838690452148799,0.0637216402504204,-0.09071380461883317,0.06378591667073237,0.053687126834262584,-0.041287862605334194
MIA,-0.12256357058250293,0.11052479805126987,0.15034652744078233,0.0015786278413071292,-0.040721097299948154,0.05504733063796534,0.05760125350815175,
COL4A4,-0.03580120034771669,0.015373216380479272,0.032749387000785946,-0.0383289531098016,-0.01657316478038987,-0.04357606376012878,0.04515524544251741,
TAC1,,,,,-0.006410323069391107,-0.025854703496340406,0.03479459053564509,0.15572331614556464
RARRES2,0.020043486944570706,0.054139039692004814,-0.11045285977800173,0.0607967585339932,-0.02528067210463505,-0.0421705846111477,-0.04036073742108142,0.02806196630643664
FGF7,0.0941471395219865,0.003294388215416612,0.09100457668045785,-0.011270247033538775,0.005213225305942614,0.012959857330935081,0.07054231808331168,0.04754134047598067
EFNA2,,,0.03947359731922858,,,,,
HBEGF,-0.029545074469046348,0.019446760407677316,0.025063131124894895,-0.04929359127858072,-0.01668315380857115,0.04434873416796175,0.006320639355970971,0.004092246033321148
CSF3,,-0.07608453489211893,-0.08790058421832561,,-0.05516434314823832,-0.020706663127225664,-0.039527676864836644,
PI3,,-0.0673168927670244,-0.20879005668650785,-0.02114145144276165,-0.06993355245467422,-0.044988699861025556,-0.027436357772694476,
PCSK1N,-0.0562708832239629,0.012599208363827864,-0.01489383147360794,-0.02246998492636788,0.04866361737766685,0.021647010488481652,0.018301636693856566,-0.05524134050856963
NTS,,-0.061810925130265815,0.006879688854806031,,-0.017218337332335465,0.04007330382148737,,
SFRP1,-0.05373930941840987,0.051832758533750446,0.03991895491381601,0.07241651832892006,0.06038964562743542,-0.0020175523594405725,-0.04931395948723964,-0.03369688096887392
CXCL13,,-0.05203065357894027,-0.06735088769968926,,-0.04728036640868553,,-0.015915272865991113,
MICA,-0.0029185572341659345,0.09773407990244315,0.031429313232249345,-0.002781993710942889,0.057840566805599486,0.013686354211567268,-0.0067328627549549285,-0.03134026019902
TG,-0.04550041352086538,0.016749733362270803,0.011661758714495133,,-0.008812163478729134,-0.04038194273628636,0.020965605625198433,
ADA,-0.05952987204016102,0.00788508639825115,0.06091548145491858,-0.02805812455115536,-0.030789232167400413,0.1208327436532666,0.0717747390502459,0.047872523151335965
LAMC3,-0.07710159949895636,0.05094539545636578,0.06015891942654179,-0.004436901093282452,0.012214492357894357,0.0582490415181961,0.09002970838009627,-0.048972208547961714
CCL7,,-0.02874476716111237,,,,0.05393137003999333,-0.01986531037102449,
NGF,-0.024592879469210332,-0.0268470402362961,0.08236379603933702,,-0.004684913603677454,-0.029070129148379465,0.028306211945794604,
TNFSF15,-0.05144854465418001,-0.027359734397615843,,,0.022710094560735316,0.0701839890009979,-0.04374709352055486,
HMGB1,0.07917676703755755,-0.02382223665219259,-0.12643975745154853,-0.028277731488692247,0.06944228002641466,-0.006419041886510849,0.021073586468691098,-0.014694391211735115
ITGB3BP,0.0733996914345026,-0.03585342693912958,-0.07850706116208836,-0.008086669786057566,-0.04846706818691574,0.03793320341294905,0.11688739670978376,-0.002936699061403128
AANAT,,-0.021332037917959554,-0.012428383025261086,-0.014636215307370101,,0.01283694775001356,-0.02413555080945902,
RELN,-0.01085756012873819,,,-0.011907927934551255,0.04136553005227626,,-0.012914821100614147,-0.06937934416412186
IL15,-0.05222645448364883,0.005606725913548788,-0.03743967453348447,-0.03832894825251194,-0.058759700158060355,0.07024029812909477,0.014597755260013829,
UTS2,,-0.02966647928454874,,,,,,
BSG,-0.03076036595350207,0.0709290328379065,-0.0463238346154184,-0.0015910406342610416,-0.029529909195479244,0.019067494925122518,0.04166448551768317,-0.05546686432288048
ADAMTS3,,0.018789572118902715,0.046383094152139696,0.07857604265209542,0.11262022029998102,0.03804546508753702,-0.03012385265204055,
CD34,-0.0659753135583093,0.0744472489741867,0.04687462116333815,0.02764810703401703,-0.01827047758234489,0.05640502988565875,0.004475170391986614,-0.015666147134539118
PLAT,-0.039153384950299096,0.035727326596670134,0.12393005348552152,0.009722797037359811,0.053313604236431285,0.08717156381685179,0.07527271217342774,-0.06573906593619247
NTF3,,0.026616440830810505,0.14347513334164075,,0.08563943724112788,,,
LTA,,,,,,0.037537311839312894,,
CKLF,0.04293767037127115,0.0077095848687939155,0.11106065315297341,0.040104043171059776,0.0055717761915177865,-0.009510568768469745,-0.03552577061745157,0.0203559943745473
CD24,0.04186708827486688,-0.0029247799133327096,0.08545440491482066,-0.021075062571257335,0.04030784309559977,0.013240571530437279,0.031996498836647715,0.022586854583235796
HSP90AA1,0.012679639377969362,-0.024606315977474102,-0.2358029652904603,-0.03922518475223201,-0.03091060497523523,-0.041832722629245034,-0.0257901117451866,-0.01875050284654603
