,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.004556971032763173,,,,,,,,,-0.016113801855969282,,0.06643926984621959,
BMP1,-0.050461952916906076,0.13393783657107822,-0.04458861674510748,0.09135886975036528,0.06255788523232599,0.09236236822597493,0.05584541254394037,0.19324137424102475,0.0029522645616158936,-0.01615137734730341,0.028823616639584108,0.06728676752511836,0.10092632340003294,-0.05738610006117923,-0.008315145502970052,-0.008554031637309107,0.09900016024452969,-0.01626612431396816,0.05776935401674912,0.0758830951805702
NDP,0.057587404047182635,0.026424863112820655,-0.0063998091059498585,0.03216799447227713,-0.05030896571975067,-0.003185099303648118,0.02896964348001024,0.007322815282993175,-0.03371593623341841,-0.019498107332001028,-0.004648360801453475,0.06865104306707986,0.01675000099692997,-0.12513463778715903,0.04487737962282453,0.05014061858583182,0.12700881693708937,0.004392676723829819,0.05770290550721519,-0.005378586232078139
TNFSF18,-0.02310633152046193,0.06333279203331216,-0.0063737880032070865,,,,-0.01710413810876482,-0.010664207693053167,0.047143503287214936,,,,0.1933670449018847,-0.05292242842955302,,,-0.016617879428755474,,-0.021127383141003674,-0.034929173972968706
IL36G,,,,,,,,,,,,0.11303981592456012,,,,,,,,
RTN4,-0.06411805387691409,-0.0016386499498294098,-0.03152968583233983,0.0006933567312172071,-0.053131145241361366,-0.009587405262721175,-0.08391835102149643,-0.17725542306614706,9.680881782061308e-05,-0.0561608120038086,-0.034878994204193214,-0.06068990162844395,-0.04224867359519965,-0.05274246834912959,-0.03833507911097524,-0.007204439629233829,-0.07973213433170319,0.09247342425561735,-0.04201447421969429,-0.12382498270402728
HEBP1,-0.055261833036634844,0.01572630567046945,0.06048546988215151,-0.015001042525111951,0.0019748175653134035,-0.012344239894238527,0.07571721424662858,0.07330436822568577,0.02008224143773639,0.011713716181228127,-0.010590665253236485,-0.034720972880786495,0.005146280588709798,0.02504324057567137,-0.028522449255351936,0.056495209916504925,-0.0012285353280788623,0.05689485875768383,0.09431845804869586,0.050025590977736054
WNT7B,-0.029500920369626354,0.05036068558035476,-0.018434580336984127,-0.05324077451135286,0.019340257671382553,0.03490352728677303,-0.024070946380817467,-0.09463064000462884,-0.002416459396731305,-0.013333401732465127,-0.001688758288610207,0.039163533233498866,-0.029779765184973276,,-0.00801572453158563,0.03583118356932476,0.08810718780589981,0.062371082924308124,-0.0034530464994684696,0.04239794834268414
PTMA,-0.03829841756931003,0.08748460247231704,-0.062082493878813524,0.14554630058464607,0.002997124429376076,0.018652403879658594,0.09155330140433977,-0.06149229548729553,-0.03527102642079462,0.008358760484444554,0.11844111755239141,0.09079365245602249,0.08691767075866488,0.03811126197271121,-0.05055601496959858,-0.028763058193535643,-0.08324683614458103,-0.05560492325100015,-0.01144195590990029,-0.032874940169605064
FASLG,,,,,,,,,,,,,,,,,,,-0.02965161685005284,
CEACAM1,,0.01671043319877857,0.031608725715120065,,0.07953912700205211,-0.00804698185774566,,0.1327296914502034,-0.017164511624385224,,,,,0.013879094279150697,0.021298215272025155,-0.010833886022328102,0.05837090296859337,-0.03100986326563372,0.052975599330519325,
PDAP1,-0.06326812157008045,0.03931725433828975,0.0074421403561506705,0.0680637951251501,0.018470451844887308,0.0035580984870421306,0.05947841744714057,0.16534663613108017,-0.017670210897402904,-0.03520002273722302,0.057929421628627194,0.002112270534851918,-0.050326351762408975,-0.010368459131551563,0.0013407647991855068,-0.025416245516017295,0.03497557841713673,0.012591478587269233,0.05193959339773789,-0.009108051846337244
QDPR,0.0318907680138414,-0.024679046358561225,0.06631477484129679,0.020175292070293442,0.03597591934974272,0.02704257435109725,0.005516176879967261,-0.1514777758111479,0.03189443102522364,-0.04732852944939817,0.06046121087947327,0.00584734160216666,-0.0010721640387504326,0.0025939617489747976,0.0468790236579428,0.07427621273524726,-0.07454466672639497,-0.03417996168786351,0.011988348420384756,-0.05130351629642673
POMC,0.028049526152747147,0.035207896712972184,-0.011621405418378729,,-0.015478291191587737,0.0006542718409880963,0.0858426705575424,0.007298257633985223,-0.006218100658018815,0.06461352238281777,-0.0001582430260439056,-0.01288359867040197,0.0012388254830670309,0.08555139634074958,-0.04087689983058334,0.07439002963827768,0.08504767091599959,0.028980445794103922,-0.007580386979697746,0.01867800745133182
CCL18,0.043923556197689416,-0.043762827254037275,,,,,,,,,0.13413223859951942,,,,0.010016331121392347,0.046860803303170016,,0.04508502954324764,,
CCL17,,,,,-0.02702946449982073,,,,-0.021575049545022262,-0.016503013619510867,,-0.010762356950416175,,,-0.02305010815122182,-0.02740231160655089,0.025005071350755928,,0.0035944718589391326,
VEGFD,-0.03491384458773787,0.07251254996499033,-0.020263357438768264,,-0.010892991827800487,0.05885574216654518,,0.0053647142768141615,-0.022986390447423913,-0.012105160067877664,0.1152224873653384,0.010794519953324476,,-0.0294671748951061,,-0.02677887237390889,0.070749084155372,,,
TNFSF13,,0.0126177230340701,,,-0.018644319674697988,,0.07083608181090258,,,,,,,,-0.03410574507840076,-0.0008097960090271619,0.09306039535557958,-0.0348219980876528,-0.013817545894974843,0.02789923970703112
WNT5A,-0.022629514413092463,0.03495465299737001,-0.028324132906297213,0.10851353183078735,0.03498996606848909,0.03141057176468644,0.0830506913296496,0.1780202150012268,0.05617530501567882,0.03993312900568945,0.06147334929884556,0.028280129717443054,0.007841566500335606,0.004632446695406745,0.042082132907955046,-0.0583296868845647,0.08926665503272317,0.028509128678154125,0.009282066991435977,0.0711225933512526
