,UKF243,UKF251,UKF259,UKF266,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916inf
IGFL3,,,,,,,,,,,,0.06979081821856357,
BMP1,-0.023877128688091855,-0.021422836969011483,-0.0023018437613835864,0.022905589925620362,0.011301691904071917,0.012810088454323612,-0.01083156238705818,-0.022572796838589745,0.007932649612074369,-0.003509366677112229,-0.07167223860033181,-0.007647119162105627,-0.03090399623776657
NDP,0.0021962465325240693,0.030624422484281322,0.02353298615484448,-0.026424165899153074,0.008253546507191595,0.062061536666402024,0.038683604673646434,0.038451766284467906,0.03615457547911067,0.03205431528903062,0.03639064292336482,-0.03192066412992175,-0.04304506594437926
TNFSF18,0.003024554158629911,-0.024050067577780956,,-0.012582394503632188,,,,0.06808231034171718,,,,0.02255305269670604,
IL36G,,,,,,,0.026056073106093095,,,,,,
RTN4,-0.07340990306314289,0.028231163934269436,0.024167018969375138,0.040036256764371336,-0.07321787230634587,-0.05889966607154115,-0.02233438482589471,-0.032034548213914125,-0.06712942547971322,-0.011592574749321993,-0.07149148610767714,0.049670940592663894,-0.03700248348881149
HEBP1,0.05003553857602588,0.04309438692353582,0.04247725587460454,-0.01613714488846657,-0.008376395302724842,0.03655017219536441,0.002975131988601622,-0.04356352772309389,0.008839774500586022,0.019057917340660806,0.04153391222274766,0.021998415107604048,0.07788895311003434
WNT7B,-0.0404661551915747,0.013116613166123331,0.03910505596586944,-0.008168156796185863,-0.010917753265758104,,-0.01792677370009995,,0.030203316690170512,-0.006749162493450527,0.05098198621074103,-0.0372964218492519,-0.06367675240969936
PTMA,0.023694535964256663,0.026056787620773195,0.01750118750439911,-0.02781445118739825,-0.03175076317668204,0.1286736269858458,0.015331407268605206,0.06506202995397586,-0.06487173607436356,-0.07402116410957234,0.013304544998577984,0.0503770778866216,-0.035010949072900845
CEACAM1,,-0.019389730152847683,0.024789003895523572,,,,,-0.020800188482695846,0.0052088579787554585,0.05623371488582906,0.031844662405291484,-0.03296377495593518,
PDAP1,0.020781454494918746,0.01685871917865906,0.005332662051874866,0.019337020490864224,0.06262531794039933,-0.05993651105484161,0.013208804165565663,-0.013257426160827944,0.017888371602613754,-0.00789914273309031,-0.027925963485394115,0.008649441171316347,0.023099475336666606
QDPR,0.021166149478063532,-0.033768096978506176,0.01271965076963349,0.0055424044691923515,0.00827759501545007,0.09163016233760056,-0.00893316827424363,0.005603271120800371,-0.0055948679632578215,-0.014339528549247409,0.07579812124609489,0.031046577976153872,-0.023207690392802766
POMC,-0.042666309741822235,0.09585987981089625,-0.023568944727947263,-0.00929986867757442,0.021471024112283844,-0.03342916590193651,-0.013773257289596679,-0.006175008912228996,-0.08543201696237278,-0.012661796438632562,-0.023213114654077133,-0.022006115965225108,0.007157560465161648
CCL18,-0.030304010716190745,,,,,0.09315055876764522,,,-0.02543531653481804,0.09399919929698582,-0.012633955174967631,,
CCL17,,,0.008038660367603387,,-0.013513117991529508,,0.07343015035644024,,,-0.015961327677063434,0.05335192512081546,-0.02932886444145878,
VEGFD,-0.03414376267683316,-0.027771898294684582,0.00389832080555266,,-0.009912035466673179,-0.04543383594430637,0.02639604957046708,0.05830892161765122,,,0.1325749649591801,0.0038548978349635227,
TNFSF13,,,-0.013918908445196047,-0.012202297832962759,,,,,,0.01400189180224119,0.212659985290932,0.032301798466740285,
WNT5A,0.030058701094893066,0.02659130418400062,-0.00845513683388932,-0.041851097115578835,0.004834418447936107,0.009196023635746337,0.031025059807655672,0.05495842505763677,0.023732218462129435,0.04469147902447961,0.007329584396753428,-0.004384345106230153,0.09499340093436998
CXCL8,-0.038960983385194624,-0.00047034149396241024,0.007093484003621101,0.003514437303063522,-0.009230518416196523,-0.012005863344075279,-0.048011458355368256,-0.05478094002856396,-0.04478287937802048,-0.02472999262758711,-0.09920168126629449,-0.016889843311323517,-0.004133976769110924
