,MGH258,UKF259,UKF260,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk
IGFL3,,,,,,,,,0.0903097411098285
BMP1,0.017004143497513318,-0.0388451701351518,0.032897373428933084,-0.05558999923435632,-0.004417699622210035,0.02609125257079959,0.12717734460206714,0.02239566903554762,-0.015753029950663133
NDP,-0.03239313839994495,0.028762569539225753,-0.008060526370228355,0.018741820828795528,-0.013329895313592811,-0.0027944239325665295,0.09020324084205583,0.09618971399884915,-0.011860203560507978
TNFSF18,-0.02603226342478228,,,-0.004128165667059565,,,0.07257478490882,,0.11183813887718433
IL36G,,,,,,-0.015082912256850173,,,
RTN4,0.010471025895633397,-0.03705223496690121,0.014478676195806488,0.037662853957448776,-0.05028153305546847,-0.00895613861432325,0.0257952870240573,-0.0093520132987737,-0.063105494478211
HEBP1,-0.009043656284561724,0.03150738785891497,-0.03071577443368855,-0.0040058568911181015,0.023241479005667563,0.03625197550007345,0.043710365206461974,0.016784631222031922,-0.005225026012694483
WNT7B,0.06077454163336303,0.012573048689757973,0.04252532130414186,0.038878019538573796,0.025252661222697127,-0.016577858746195134,,-0.01754467109340329,-0.05717783814583359
PTMA,0.014053883119368242,0.02229516072322947,0.01771978123340661,0.043395784154607375,0.002866307090784352,0.04576354484418849,-0.030701307287882455,-0.13307435866182196,-0.01048045079476626
FASLG,-0.022933615207341874,,,,,,,,
CEACAM1,-0.01656840680590446,0.0064519649961437215,-0.014777318353850414,0.036619087564199335,,,0.008908653716014734,0.05547988489804051,-0.03929000740773319
PDAP1,0.0028153224389481342,0.0380025913234913,0.02164376079913681,0.004808711477972483,-0.017758561309141423,0.04753442403792603,0.07742491375776697,0.10563645899667512,-0.027713471564559222
QDPR,-0.025708392615179525,-0.01406363941814497,-0.006590823619758566,0.027170000573248178,0.05306320467527081,0.000907746303056838,0.057954325733862944,-0.08281151595402701,0.03556896551310437
POMC,0.024909994579712234,0.033563212652101465,0.06191357113987385,0.0024834481399970275,0.009337626366287696,0.07041488424057477,0.03496287313817335,-0.01254236131198209,0.012913200125614253
CCL18,,,,,,,,-0.08395672272632596,
CCL17,,-0.022419330415867238,,-0.02389290832929187,0.019642928789427257,-0.01377866855036642,,,-0.03495750419075831
VEGFD,,0.022994791499395338,-0.014138101536410722,-0.014362439526316932,0.04736413424224728,0.008033515995468147,-0.047839666096932965,,0.20589514858647046
TNFSF13,,-0.015464352361434347,,,,,,,-0.03748740243141619
WNT5A,0.0054258074517531734,0.006525861802604076,0.06587464594990775,0.03157914229107291,0.07447825048685472,0.0182089935094922,0.003256863153025013,0.026266616896417332,-0.08988161610653143
CXCL8,,-0.0614822266478162,-0.0191954668262608,-0.026406806038999666,0.04947462230909251,-0.027547892679797188,0.07477437817367456,-0.07552967596567285,-0.0029579680724957772
GRN,0.041875704077823685,-0.07859353019503235,-0.06704052638449752,-0.02600033567394262,-0.011912473972951395,0.002971402926506823,0.11519526254670391,0.037993796204564285,-0.01291093391238867
MIA,-0.03001812423271423,-0.020909181447039692,-0.04289988519237493,0.00267703098660227,0.0705264707896417,0.013448775612947578,-0.02346393687337468,0.08997833821762734,-0.016034699525031264
COL4A4,-0.026559920856229942,0.022709979111173548,0.023143112650250888,-0.024944935510622625,-0.041040470593020725,-0.019618145384751626,0.0423632099241675,-0.05611856094393502,-0.03403157063870645
TAC1,-0.02293360273010547,0.029146732847294993,-0.01570426071581903,0.07932779362103873,-0.02782382074567455,-0.034767459351475495,,,
RARRES2,0.014506422810851375,0.02552500832645558,-0.07579184887172923,0.09656027570370838,0.04880788899648364,0.04180955316896265,-0.10239555724893691,0.10648071471689982,-0.043312499753547375
FGF7,-0.00999825254044971,0.03884521746970287,-0.027070352686813053,-0.012725436420156904,-0.028006316190389874,0.026411696485136877,-0.0299471913572687,0.011319072895723977,0.07096629329552831
HBEGF,-0.04533974807583062,0.04828155749039191,-0.06177737427706769,-0.0775211235305286,0.03338224572407752,-0.03185401492106313,0.03535757121075549,-0.03633246148294796,0.0011153007673826425
CSF3,,0.01791475436092302,-0.04710442874578632,,,,,,
PI3,,-0.018282932452808213,-0.02547462423027966,,,,,,0.042280211252676704
PCSK1N,0.00763786751524029,0.03678443930229493,0.05807464673653898,-0.039050710541146234,-0.005786396997698922,-0.006437465555716518,-0.027268996220630802,0.07437488110405008,0.023710309002532685
NTS,,,-0.039170699905605746,-0.008809310336568413,0.02245651946124108,,,,
SFRP1,0.024223351702564507,-0.005065707570087515,-0.016129125461467674,0.005503858580776273,-0.02928500773464899,0.03914781880652348,-0.012154502829239666,0.04361658427958026,0.03164264414088624
CXCL13,,,-0.015984169310655837,,,,,,
