,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
DCN,0.11117223128937795,0.07624361566862037,-0.014222582838892323,-0.0031738811295704953,-0.004689793380463584,0.02708485860840819,-0.08171641384431474,0.06562470812412668,0.004774079167585077,-0.016923494469631515,-0.01645046242826096
RARRES2,0.04901185810978526,0.004554625754221008,-0.02559398883870588,0.01861120892203146,0.048215110287416416,0.03666066086663832,0.08439805544741195,-0.09032721337463355,-0.07375014534853254,-0.035774675351800844,0.03682380020409319
SEMA4A,0.005240419689589331,0.013086267705866341,-0.012818253622436859,0.0005211487073206219,-0.025534292429218147,0.003292084295977634,-0.05368486713639151,0.03332858411731008,0.05777832618144552,0.0668506358129941,0.016976371320662577
GDF11,0.08854313058523754,0.0009706311088068378,0.053355986148894974,-0.021307420126526536,0.0017830278127882076,0.03630476304742448,0.07101037928480304,0.04666428921148896,0.01919396656754365,0.005267560292390084,0.006387317499384071
GPC3,-0.034126473253717406,-0.019208840405796308,0.00010805895008456266,-0.011375849326744316,-0.009043101101874843,-0.012602376656625674,,0.05039343336720416,0.11606023935126807,0.05031742634465058,0.0472247558483768
OSTN,,,,-0.008018449407857843,-0.030088745569852526,-0.02052619395298246,,,,,
GRN,0.03471622370337186,0.0443283827830952,-0.02094614323555427,-0.0010196904598378772,0.05405897228979373,0.02584302565773754,-0.048062169975054386,-0.015350805880425306,0.0317763179827581,-0.05650290531374748,-0.008439003979725749
CALM1,0.025401460414053733,-0.003054299142780965,-0.0353253566025364,0.0660245841325721,-0.03491915155336922,-0.03254863236468384,-0.12840822424000725,0.031550340761041386,0.0428556960951812,0.12667217732130703,0.058897571466202926
ANGPTL4,-0.05309255363444255,-0.07635727611077821,-0.005396361235350451,-0.07939478861216495,-0.037129827153607,0.028471276805781355,0.09468209975425598,-0.19344238122805607,-0.15079237220286393,-0.058316070975146586,-0.05948056406065898
BMP8B,-0.005050971520347001,0.014288102764911992,0.007789245785424337,0.05897592128413259,0.05420038579165788,-0.012373971681270041,0.05775959038913495,0.09022338585648673,-0.06478593725528545,0.0037558340585632415,-0.0048995174881433555
TNFSF4,-0.03075819704294939,0.045448201036853056,-0.014405564492619111,-0.04737007726751933,-0.0008466807193955048,-0.01901711411231487,0.024765720052466477,-0.008021867991524344,0.01469019270770344,-0.005204039444322481,-0.0028734379457581874
RBP4,,-0.05168710367173081,-0.030729240408032633,-0.03931132718144397,-0.042235647237308487,-0.054912399475807186,-0.0704714368661696,0.16218579200294897,0.1559987879820414,0.10159501701421163,0.039654019832551284
DKK3,0.00446720133636722,-0.02643779477049784,-0.05255502418878816,-0.0023574572330105088,-0.04559943895509687,-0.006286896446507767,-0.1204860211135179,0.043963918921775084,0.12227192076288275,-0.009567080458656698,0.07843753074259886
COL11A1,-0.0351929510651652,-0.0070020765633772636,0.10083442668065211,-0.005410221344338265,0.11900875096859746,0.05435375516365836,-0.028227763648279582,-0.023092805209241354,-0.00027355890948089595,-0.04000740664158432,-0.031549639309626634
COL5A1,0.07695923163495358,0.007975130526717679,0.011733159000703309,-0.0010848224777087882,0.015857072366003304,-0.025885633507703554,-0.0008561483520550885,-0.10786781914423735,-0.14381953528085198,-0.08901729897092604,-0.06991793543253638
KISS1,,,-0.002424399293470472,-0.0033621212344325502,,,-0.023728658623217345,-0.023146960596144038,-0.005522327896524789,0.009231031402273772,
MEGF10,0.001930930580366296,0.04228501554245611,-0.00343634390997091,0.005132314045081631,0.04047816591836724,0.027494717749066196,0.010083722306377945,0.11227668079909572,0.13210750848803113,-0.03362806426688305,0.09636193870479412
