,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH8812bulk,ZH916T1
IGFL3,,,,,0.12053140167313536,,,,,-0.024544934804926647,0.008475826208256347
BMP1,-0.0681043525393018,-0.01904356440414033,-0.010429827341586843,0.024218845512691992,0.07642040959729272,0.035000007801780246,-0.002333283508555383,0.027878093078022928,-0.001399572538435732,-0.02229614521993699,-6.330728152362579e-05
NDP,-0.06226439323080421,-0.06302556677067776,-0.013274794768825824,0.09589329184154254,0.027204314768094713,-0.014548566321850108,-0.027961092959516713,0.0070824401285155825,-0.032689364974862925,0.009717877555868844,0.02427013606992892
TNFSF18,0.06568589835881215,-0.0233530484898869,,,-0.02540330643804135,-0.017588837606944966,,,-0.0256115519664372,-0.0044066130430248564,0.01989783509209289
IL36G,,,,,,,,-0.01631018646863789,,,
RTN4,-0.025438541668802543,0.020512435885683127,0.007476932322998865,0.003918368184499667,-0.10740498330986116,-0.006787202436108632,-0.04577586867541974,0.018967551505265377,0.04388062562480331,-0.054395568147015336,-0.028810567189728808
HEBP1,0.022840689694662523,0.009504369653064315,0.025909296725063216,-0.013668278330995091,0.006601991328247319,-0.05896547507802923,-0.011334252428368987,0.006900470764701946,-0.0965395253129908,-0.05189256668078385,0.03293659145458119
WNT7B,-0.021564354734497814,-0.01470842898688773,-0.009547015968038015,0.04265065640087676,-0.04187936496654364,-0.050416765696504474,0.023631663572531665,-0.017926774537747554,,-0.032680146625160354,-0.023236071499590928
PTMA,0.10812947374608554,-0.1053895437857064,0.02120467686726556,-0.02382658476676117,-0.025646950692013497,0.02546934394120272,0.06530985972291019,0.08455060856958511,0.032541592593211335,0.006434466894963987,-0.007369780321731496
FASLG,,,,,,,,,,,-0.01424406991777501
CEACAM1,,0.07549668895795338,-0.03280719027636064,-0.015610030530099045,-0.03342930440831365,-0.02766305129592781,,,-0.042282449948713455,-0.02219112538835141,0.02211974851822032
PDAP1,-0.030210693218807275,-0.017826419797629403,0.02141829391519916,0.0065729492928561515,0.07301111910836666,0.030270825696343758,-0.038944334792472834,0.003858746842926731,-0.07436990702746557,-0.009661937296429586,0.009180983292194692
QDPR,0.00762513739400665,-0.018384399064200897,-0.004180231224550948,0.020971873054516543,-0.03423121334035888,-0.029658318143787058,-0.035561592667459875,0.027479140234505796,-0.05027778755655072,0.014850688432401392,0.011238335594383142
POMC,0.09666315315567942,-0.024891291977268686,-0.003467752524460941,-0.008194816832813423,-0.04309222669440842,0.03511501775438311,0.031506185211700295,-0.03494474932381136,-0.05838188230796397,-0.010901456843039227,-0.02531683320244238
CCL18,-0.035441527432925155,0.09517875858054047,,,,,,,,,
CCL17,,,-0.02245434398299059,,,-0.021936704937357176,-0.0009859199586290067,0.07343015378754227,,0.06390993007888285,-0.012910649491957986
VEGFD,0.03823626295556253,-0.01854834356534471,0.06437908198385493,-0.014934793400015396,0.11032371049979793,0.03512520386854568,-0.0020624620413504393,-0.015968596860444436,0.013972944904750501,0.023679074959819902,
TNFSF13,,-0.013997175267262716,0.006157338290302648,,,,,,,0.06604232558762438,0.05789195716968358
WNT5A,0.029511086144708185,-0.031542090067122504,0.017324907713725062,-0.028846111945821207,0.03666163958740658,-0.003958628458360526,0.04216024139266497,0.02631805303317819,0.01910739347037253,-0.04279812257840724,0.007316339458958178
