,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,,0.018202439873854944,,,,,,,,,,0.05568289206556995,
BMP1,0.010932599306915938,-0.003271571607779782,0.04201122467201508,-0.015408184589619886,0.04992684316514634,-0.00993841236149493,0.016001152498736942,0.07129413942464456,0.0377656058280445,-0.07046663463034507,0.02363390421956213,-0.07824190595003791,0.009575251760120179,0.003946203229528789,0.07269165178928803,-0.037612179813106314,0.0009990994458941949,-0.0012717237515347858,0.07898480695480165,-0.06217501968752112
NDP,-0.0011655395006651046,0.020474920597396782,-0.0029207134193208416,0.010973702714769745,0.06597431479939182,-0.00457522605591631,0.03133906434255329,-0.025338310192636593,0.05129625353987499,-0.05761063967624822,0.0347444015788686,-0.013511276028784443,0.023608395614639618,0.08671124074445323,-0.13003372841882152,0.021758850347662385,0.005785627008966952,0.0660610049889456,0.049781921951904215,-0.04564983208704531
TNFSF18,0.01079196037227837,-0.019285637596192114,0.002442946909998574,0.03660676425013446,,,,-0.016828659295471934,0.02300100006945114,-0.0230782997782842,,,0.05493156381838707,,0.040575274322575336,,,,-0.03280424660193009,
RTN4,0.03285485861833684,0.02498798137706823,0.027922087597314352,0.04091089413959435,-0.014699676079430145,0.010711280343532968,-0.01825326228079151,-0.05177514129826183,0.03504337844448469,-0.037485760753179755,-0.006993215100949288,0.009614678422679572,-0.08854503929108928,-0.08779644844811886,-0.049037371653940696,-0.0719912662769701,-0.04139039293428025,-0.04917229048918447,-0.08536565217513532,0.025846846266699725
HEBP1,-0.017848295834834195,-0.09091979745257169,0.015109320192955005,0.0006300291851720841,-0.03574674717888739,0.004334626524152174,-0.032417848936286846,0.02476650935806958,-0.0008285932252736807,-0.01999286298668434,0.03340863882176138,-0.046580146723981204,0.03043536154133223,-0.08718471031539188,0.010970195782962721,-0.04119814521573702,0.010065743481656347,0.05693766477609404,0.04845290815248415,0.038156190700060065
WNT7B,0.05285309807908374,0.039431008327781396,-0.016327700203160014,-0.01403525907282979,0.03051063027287107,-0.021402241720592945,0.0408533560141203,0.00662422393858103,0.006256479666372148,-0.0023125190664465317,-0.017965789318105784,,0.060373912224611255,-0.02430018910135937,,-0.044600605648094115,0.056557695308310334,0.008599563575227632,0.006535368939246624,0.015776100818854458
PTMA,-0.04182298782766567,0.013863503241113873,0.032808323611168026,0.026881923957880742,0.16316091537077015,-0.07443220513258024,0.0402998564791039,0.05462701387996797,-0.030158547820334804,-0.05157326382415007,0.02266409838675509,-0.058417936220150374,-0.015189178733957014,-0.029996981362999744,0.08846971618988012,-0.07137400271986079,-0.032897831619593844,-0.02902162329156425,-0.040375693491956556,0.042809761034385094
FASLG,-0.01139650979129535,,,,,,,,,,,,,,,,,,,
CEACAM1,0.018224193242377857,,-0.01580393568753256,-0.010771217174406874,,-0.024713453258832743,-0.01581171504208369,,-0.024709832866100723,-0.02800450478222833,,,,-0.08396342714357094,0.11116028805891787,-0.039998537528642755,0.06563430096837025,0.055312642037386936,-0.005541502625605559,0.11249004065985241
PDAP1,-0.06738900158923009,-0.002115543686775766,-0.03178510009431117,0.021977783544922684,-0.01217887267196591,0.023619999850077456,0.008037345092066875,0.0928436308153169,-0.012463378782574901,-0.011476144980722683,-0.001929642677928338,0.0875498418805114,-0.0028283630658045606,-0.043303761813651205,0.07997985864874334,0.040904434589954575,-0.022546976710257727,-0.030313607721906107,-0.06587378440014739,0.05608449880585358
QDPR,0.0070542952573827014,-0.0407094491666679,-0.03167846832303831,-0.021424611210366932,0.055967764433653235,0.037570121286243346,0.05236464055770414,0.006568697312789729,-0.010584076046462318,-0.009972880307733694,-0.03414865550775163,-0.05336933928105585,-0.022296343632040284,0.03132576768733348,-0.059095978014387505,-0.12090004121278616,0.06894268993400592,0.0595401612344299,0.01192644869777036,-0.02655033799112925
POMC,0.0026137050785473084,0.011490120834057415,0.05093767170256378,0.04821983796757534,,0.08647383356956408,-0.03181690969468158,0.04255444926688141,-0.03185234447122229,-0.026778234073763386,-0.006842211421682663,0.05789776968654928,-0.03341966005710971,-0.062030138828296846,0.020786595076507177,0.035999699534496984,0.06171228199587039,0.052241568739335054,-0.0013588717421431265,0.09621789554782417
CCL18,,-0.025863625763128825,-0.019721818518551773,,,,,,,,,0.0022070480854279187,,-0.051403602006737166,,-0.028359620746849487,0.035719554136386326,-0.024106220371754184,,-0.0030388253769440023
CCL17,,,,,,-0.014324223175224506,,,,0.029617016085717353,-0.022236610862781413,,,,,,-0.012524204618723986,-0.0546341054896177,-0.04193856730912253,
VEGFD,,-0.029140746691555516,-0.0028590288645377157,0.027475224889328107,,0.05884665554870496,0.03316038791021068,,-0.021183581956040354,0.02654147139508352,0.0011171819898911637,-0.022142129731080692,,0.009811357672069393,0.007576712411649047,,,0.030304567694704382,0.037029927847968304,
TNFSF13,,,0.007889607628002837,,,-0.009880528560688816,,0.005844648568884206,,,,,,,,,0.01826682119730463,0.0019913649791810607,0.024323879683158803,0.043582654998218374
WNT5A,0.0019990020414539064,0.10572443048017673,0.08544104208890133,-0.007169267529948387,0.07364922809283175,-0.0428094037977101,0.057826904832761844,0.020274404413252626,0.0026462194055648113,0.0055640582544244765,-0.002863860314727037,-0.06293069544586476,0.0808385340515878,-0.08692641921909244,0.007464307600534303,-0.00393068621261722,0.02442568504095101,0.04303949956261635,0.06474152759943197,0.015267349594027486
CXCL8,,0.05854604622252099,-0.0335965729376209,-0.014445497314320621,-0.11214130877149919,-0.05001499610432092,-0.051267775720354965,0.15014054738783758,-0.042121124325199766,-0.050080207218558506,-0.015189347581465708,-0.05045450998725336,,-0.07932756720484167,-0.014468039842469903,-0.049931577355211906,-0.05496797415563435,-0.1794041181293808,-0.025770008122877587,-0.05610060813507021
