,UKF251,UKF255,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,0.04766671075093086,,,,,0.037758570708222645,,,
BMP1,0.019209075762823668,0.08450791328933913,0.06304924471194387,-0.018743020815200715,0.08818357824381233,0.039049782486939424,-0.0934710853336145,-0.05658422141284595,-0.03217188339984341,0.14842710833944528,-0.019211032437989925,0.01240224990544878
NDP,-0.006153623145414167,0.03003123946894947,0.004683921894908803,0.07178113508937621,0.012862963170831687,0.08128052965520069,-0.03183175122670687,-0.05102865319093046,-0.02502381776476041,0.02370557930386401,-0.008207950475749199,-0.03908201393049
TNFSF18,0.03729936658679136,,-0.017907435857593922,-0.018777278684939235,-0.010647509681371023,,,-0.027738280885680158,-0.03308635336191447,-0.04113947939809159,-0.03033500488236029,
IL36G,,,,,,,-0.018834868181906755,,,,,
RTN4,-0.046542898296919655,0.055941969692589986,-0.06067791877980725,-0.004351507570889505,-0.0356993919971274,-0.044330179046143135,0.03654895448717091,0.04667668376210759,0.055302278969529155,-0.1726124779974417,0.006245945611858787,0.055242147797625214
HEBP1,0.027072846195952956,0.00678682100305794,0.045026768824326574,0.02104190957692693,0.04463274762005757,0.05514383945778025,-0.008899114696956856,0.05973381362615903,0.026346790884625992,0.12224282121027498,0.024187192851680934,0.0244301193520966
WNT7B,0.03504147156553336,0.08747236535879513,-0.001195345761296769,-0.052336799824234365,0.038212668377619684,,-0.004308345637466797,0.0660949462395521,0.045772978839908995,-0.04113943673954185,-0.02735234888557385,0.10835461296509617
PTMA,0.00442846399364062,0.10295572871973284,0.11333489926270296,0.07358784028321794,0.015328754318092368,0.16379356281515783,-0.032225307614255905,0.09473676517309806,0.05462264905713676,0.023352090850697563,-0.004147685308558899,0.068606682240108
CEACAM1,-0.017268972960484623,,,-0.024709829275553583,-0.016745996129576765,,,,-0.04754163551902684,,,
PDAP1,-0.013252355757495528,0.029517244891163256,0.015373360993849994,0.005288606009267228,0.006019043129803089,-0.033298481181703164,-0.0517764774358736,0.005743749089678382,0.02734951536526133,0.020423430622973825,-0.02170940169326102,-0.05239423109117082
QDPR,0.020857807752632553,0.0014148877859205232,-0.08640370664698988,0.08094361055497636,0.0307545547773554,0.1536389873802579,0.04021348371771514,-0.06003477082304052,0.11323821370626999,-0.04234055749962016,0.10353385298179697,0.06716928661451611
POMC,0.012813989489194716,,-0.03126743444275601,-0.03185233984280796,0.009990773743753142,0.011669882815451263,-0.005063010468569525,0.011324005146651177,-0.01441880489013052,,-0.011133905826809454,-0.050291819216668865
CCL18,,,,,,0.06434123903152904,,,,,,
CCL17,,,,,-0.013279517579130084,,-0.017206186805898204,,-0.029594077019599378,,,
VEGFD,0.0020520599873453376,,,-0.021183578877887216,-0.014148202783512946,-0.03511710389987844,9.020992288127439e-05,,-0.04461262833986629,,,
TNFSF13,,,-0.017366477080015225,,,,,,-0.020825153553251242,,0.15670208271432884,
WNT5A,0.002637899617811715,0.026525667290650225,0.063446131274975,-0.04159729464538425,-0.022575526721195664,0.0007341664153656646,0.02413117274480736,-0.005126030489177728,0.04719792207157832,0.03075024173309777,-0.003247169776301815,0.11133657406169568
CXCL8,0.0738204265964849,-0.11295457991674379,-0.02470268727128261,-0.04212111820464512,0.027927502847484725,0.09205087503175118,-0.00544832361590237,,0.07435683810394204,0.010544862312288265,-0.026559933623208746,0.11015225126762142
GRN,0.03880876958988924,0.10816164007795327,0.01748477225309517,0.01440459795597056,0.021907343745623486,0.09517443409087609,0.006870087116040379,-0.009022995937784675,-0.01438013505463221,0.0012469343591291174,-0.024690414234464206,-0.05985115120238785
MIA,-0.02199699145585617,-0.010497333721632836,0.06686304355122373,-0.023930296003012302,-0.004014675106164187,,-0.01122479036930293,0.014180680925375862,-0.019407418237995525,,-0.044303232359247345,
COL4A4,0.008692502992517415,-0.01947647111524212,-0.016523435683455136,-0.012460598299508931,-0.013864227203243833,,-0.024498265056700965,,-0.016231987656453888,,0.046814732228253074,
TAC1,0.009261267440910121,0.04427974828728048,-0.04824774260578958,-0.0028639038457545776,-0.011872236498610916,-0.021237332966208514,0.0399280988699774,,,-0.015888370023124265,-0.0789869414403109,0.020910798148437
RARRES2,0.05396099329053343,-0.08669345670914341,-0.013781649881993117,0.008346329714357559,-0.03244200358719404,-0.02231388471060778,-0.046000824836571814,-0.01452597921403098,-0.007810762779003566,0.024178859041278363,-0.03563783351764714,-0.005656812322420082
FGF7,-0.0032869064989042695,-0.03114344171541907,0.07719394127352684,-0.02332568202285989,0.04657838432982081,-0.052420916488239946,0.014894606621519075,0.001322703281786805,-0.025780930198121544,-0.033494133432692086,-0.02763605102291878,0.01847228474000652
