,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.015739461524626467,,,,,,,,,0.05307901845373763,,
BMP1,0.07858699914962612,-0.02101465484420403,0.05151523268699068,0.09215879197318842,0.0018405076656912074,0.03680550749301517,0.06950760989363539,0.025474221415804753,-0.01067276702163146,-0.04771087828058668,0.06246358936765436,0.04933228381959746,0.0735672433396861,0.130288963305042,0.05523986745130446,0.0006397251105112244,0.040994036393265806,0.16769380789646102,-0.009408978888660812
NDP,0.012832935584240708,-0.02453467370770093,0.059927409557459656,0.03421926172537943,0.036521252494519686,0.08974888802128173,0.012808714957519214,-0.016094633080723432,-0.010263746799391692,-0.039555881190214255,-0.02655347750025973,0.013690529679752539,0.18230649739723867,0.10504602231652577,0.0861314711511812,-0.026692965811950332,0.06011734369870268,-0.05014451402573904,0.010476398614330262
TNFSF18,0.10285753165112586,-0.029826109575609,0.0332386371613376,,,,0.003912421434860402,-0.015237946951118918,-0.007670660608212106,,,0.06547835468670973,,,,,-0.02464698700912088,0.05840371427917655,
RTN4,-0.017793822088098234,-0.016349231590679126,0.021266035296457958,0.0650465766781073,0.04107102698763749,0.10931481787303271,-0.008766303156332957,0.04306547396488453,0.00360269403071598,-0.01887710555343175,-0.07960910150456618,-0.00666387746645734,-0.08674529046940525,-0.009287296089906019,-0.044351775790142905,0.014328726939003424,0.039246121393079085,-0.19707401598296473,0.05738307421391247
HEBP1,-0.0048837440603641865,0.06280347814452442,0.02337121416203428,-0.053775710021209316,-0.02763189453019988,-0.04260238783314677,-0.005016814034089555,0.015705957696628532,-0.023584767909245435,0.021030803795950723,-0.028845973398991413,-0.0009285842330854894,-0.007964803446909165,0.09132930511261729,0.08039605715929753,-0.04740214617476081,0.05617418064012563,0.03086692927870563,-0.11370747778214414
WNT7B,0.1222008599763933,-0.061173657393760045,-0.047136658151301976,-0.006841987513456744,-0.01787709152178207,-0.020053236738718304,0.061304967583415866,0.09835887443378438,-0.005222409779402302,-0.015025369286471316,,-0.00021049160132742184,-0.05908372059485748,-0.019489818337550383,0.07906537680618696,0.018485727041884524,0.1206969661266823,0.01674420764496179,0.18554796071267216
PTMA,0.037152349314514076,-0.05835650465525072,0.11427527675690906,0.11291092369763255,0.01513588705006187,0.003982901276024246,0.07389852502830233,-0.09045204956398713,-0.012179550917129531,-0.03818648864007462,0.07312412313146772,-0.01820375184844547,-0.0967926168525736,-0.1770054538321967,0.041763825761538864,0.05904195674226961,-0.0696979192503803,0.015611366027066425,-0.10437589695745104
FASLG,0.0991119022237288,,,,,,,,,,,,,,,,0.014700188820419298,,
CEACAM1,-0.02288976884243848,,0.03150654291719926,,0.044011112546094106,0.11065262547777713,,0.018642060920325543,-0.0329503996746258,,,,0.022629483563315757,0.005467937473321388,0.036145715562325,-0.004977259297523207,0.0009641930547020769,,
