,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.02678915352098289,,,,,,,-0.019712708366953387,,,0.02976939787732481,,
BMP1,-0.05492427877719627,0.01587207538285051,-0.025231850384132132,0.061059649157271606,0.03399087342344962,-0.03883965686227599,-0.007805153342086246,0.0548106699989814,-0.0033252373275610694,-0.07462226928274705,-0.010499291691554438,-0.0007307290872875155,0.03214740323857816,-0.09263634867927252,-0.0226957445821499,-0.054368768427174,0.06799552393083219,-0.03374240540109426
NDP,0.011435031642097896,0.080723713049415,0.026192431675527598,0.011676449313605088,0.022887421028549564,-0.024086330462284325,0.00034004227389641936,-0.0031475015709687124,-0.03677359271731854,-0.0039012496100384276,0.055592067273093446,0.11027720752483285,0.034217332799892294,0.03004609093380596,0.0596963118361652,0.1153570465772017,0.0730631115630388,0.040048728610054804
TNFSF18,0.09602836374693598,0.012666820037144828,0.02860608374656562,,-0.024870232615346894,-0.03978108874623249,-0.013259369982904992,,,,,,-0.020329368189102987,,0.0845705012483499,-0.07208550314623254,-0.06428811041607928,
IL36G,,,,,,,,,,0.004817367144477714,,,,,,,,
RTN4,-0.007077008066849806,0.06502664085387712,0.06950167110725047,0.049225927265666616,0.030033262338662017,0.0461293129077384,-0.004144238824929824,0.0851272842178062,0.10927567987031749,0.08092997046577542,0.04147340002264832,-0.037778384414382624,0.009957503292990244,0.07251327812753854,0.02311906209198436,-0.010588876078799563,-0.03624229652009248,0.039530069388232364
HEBP1,-0.08559858335195059,0.03142494414718087,-0.008982713942733506,0.012944335641347568,-0.033079272441468306,-0.0656569615944065,0.04712403390829472,-0.05735623731037328,-0.07758487160270412,-0.020992584168827502,0.10947034973836273,0.05912861558993113,-0.004703558269369514,0.02093255699928203,-0.047109604710183814,0.068476560417291,0.09318939515347728,-0.050972348072421174
WNT7B,0.049142949120776304,-0.02757528819739626,0.005197727661574658,-0.0271352346680324,0.03060142932197981,0.02032141711821759,0.013604980758387107,0.025541482260022733,,0.09573011900347127,0.02793208981067258,-0.017309875275834084,-0.04251035348650772,-0.0230319932429307,-0.03410682840031242,0.023567840809268145,0.021331131210796057,0.17109596480822076
PTMA,0.0011867507386066982,0.05555429624049047,-0.021401849050631295,0.008825334350234483,-0.011935854121380056,-0.059374504473373835,0.020525097920073097,-0.015624881576267728,-0.1985326952031536,-0.10310145448049204,0.006729253846159479,-0.01017857811145455,-0.01110341380833401,-0.03348280282672487,0.028755004261478038,-0.17065992303332325,-0.007700934610317305,-0.09711086507487957
FASLG,,,,,,,,,,,,,,,,-0.04267204914566491,,
