,MGH258,UKF243,UKF248,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.020814936065600968,,,,,,,,-0.026140334227842364,,,-0.022022211420009957,,
BMP1,0.017278048783398357,-0.033204042850400226,0.006239965764306032,-0.0010725600755837972,0.10778268894368176,0.005349863242375501,-0.11033335435103594,-0.04288001191752603,0.11369330648254317,-0.008726021838708561,0.018236048465686938,-0.010888288387603804,0.05557760006956768,-0.010382762236614834,0.03841157113726766,0.00329839558725098,0.043978221556199994,0.006468381598677565,-0.04029412489066957
NDP,0.00657180452395955,0.010785231986956658,-0.015331191087779672,-0.003299194296109313,-0.011836379947788587,-0.016863124293266637,-0.003570292734285482,0.010260639391973992,0.012513986272868328,0.025902377544539244,-0.03778123624905812,0.041370152192664315,0.054148889926636405,0.03641863089263721,-0.023908562552239925,0.0024012330991455655,0.01026673839717923,0.014298598317057022,0.046356002810298176
TNFSF18,-0.019279987219288242,-0.02154481482406008,-0.003144866487320755,0.028260480860961983,-0.015167098410847598,0.09580556670297437,-0.016091834212834773,,,,,-0.029396004107394513,,-0.04061811324700903,,-0.0017694527096151855,0.031035019948117512,-0.025685307337971874,
IL36G,,,,,,,,,,,-0.02026531222533808,,,,,,,,
RTN4,-0.05188006812619245,0.10304098759141857,-0.04460014744119917,0.020108536544231125,-0.14269415402987393,0.007973304756807546,0.017767150376554335,-0.07086299618775657,0.005894366779607441,-0.08537422418210358,0.019345420887076078,0.013572417297160995,-0.05335770046936206,0.0775757387405,0.019795537294708884,-0.03331688993076885,0.0010852805252768844,0.08675651392876513,0.06754540035159759
HEBP1,0.033761347214030374,-0.06295343072363864,-0.023853307603396046,-0.017235132121756102,0.023890848423135873,0.05953328421265829,-0.007173986410838828,0.05582034788210864,0.07577895784102007,-0.05517488189612157,-0.02247407354877002,0.03323953985444415,0.01781608543407179,0.011823100591361421,0.019862360813517197,0.009483631411795956,0.026782590979177165,0.0015598294271267532,0.04170851800759157
WNT7B,-0.01698506487420097,-0.011928678210346794,0.010336251511666094,-0.015480751163246166,-0.008600903154999999,-0.029677206701769227,-0.026433480878151117,-0.030755150122524215,,-0.005634331838521951,0.038902137850362145,-0.03236213131321211,-0.016551900155168713,0.053460165610273405,-0.019769039522968733,-0.03264738133354166,0.016815516121920667,0.05922499057482699,-0.04381238740583931
PTMA,-0.026050731775005987,0.07426498999480832,0.02173130318280132,0.029528315951933216,0.18310600826331136,0.02160655072310022,0.04425350195029632,0.06361181373258674,0.07515350579596129,0.01771020281782019,-0.0008475795772414513,0.007429147326925342,-0.013103623376535927,0.10355968748675115,0.005659385728165531,0.00816976461478396,0.010768902270629885,-0.051037657331170896,0.05549263661165829
FASLG,-0.0169850696758353,,,,,,,,,,,,,,,,-0.01909985645158865,,
