,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk
BMP1,0.007442739455817547,0.006536577039011283,-0.017868208153124593,0.029748834025101874
NDP,0.03404258992070332,0.07995832578567956,-0.007254508474568664,0.0841590533455801
TNFSF18,-0.026346371462544878,,,
RTN4,0.010645115595754677,0.027318710586000466,0.015506564768926657,-0.07851795854618147
HEBP1,-0.0815165895107446,-0.03500948845626337,-0.02170216438847567,0.03657940004902651
WNT7B,-0.02900478343187689,0.04516940216208884,-0.03299707881723878,-0.00591014230056883
PTMA,-0.02067132765413193,-0.08093732962353158,0.01597856949495507,0.0184258681254717
CEACAM1,,0.16722042173315455,-0.018489890738827293,-0.015399749879281405
PDAP1,-0.018605913844361055,-0.02248680507292679,0.00578731117377226,0.04217315357453456
QDPR,-0.0018647392446885344,-0.016863819902734653,0.027258114985191432,0.0210326340375472
POMC,-0.003568834105635967,-0.04948837408653458,0.007086729444770165,0.03816792056723762
CCL18,,0.014657836757125757,-0.02126729755139134,-0.01521861680057894
CCL17,,,-0.013117682543330192,-0.022230505738322217
VEGFD,,-0.07055367284412557,,0.037127016035492046
TNFSF13,,,0.07780099485347923,0.04239958808142701
WNT5A,-0.048502523340242513,-0.04847790583367764,-0.02783864707507431,-0.039303749018433067
CXCL8,,-0.007239424789965619,0.044062542728744415,-0.027838983363196814
GRN,0.015263434504569125,-0.09739344404198605,-0.05496479138231116,0.007517080522548948
MIA,0.009022918698989066,0.06244149897161333,0.031549735737818926,0.07829384306951724
COL4A4,,,0.02856361243133702,-0.008467557124788246
RARRES2,0.04556217809526235,0.0498252491169092,0.021075660022354205,0.02432423921919923
FGF7,0.013277791239436891,0.015482402556008199,0.017211495236923773,7.641579967730084e-05
EFNA2,,,,-0.014636431661607292
HBEGF,-0.06522924552841335,0.025069904354060778,0.005460226502941388,0.02182903409855192
CSF3,,,0.007551323742938866,-0.05770905997414985
PI3,,-0.05250406569296315,0.040817241877068755,-0.062064434864782664
PCSK1N,-0.03351282337925785,-0.00732824508872493,-0.02859196995021412,-0.039061992681267095
NTS,,,-0.03060218787316097,-0.017831714520283756
SFRP1,-0.02500858087143475,-0.05535814304975938,0.04982812062708213,-0.0259867740732386
CXCL13,,,0.0005745449190759588,0.005778933393795241
MICA,0.029385375943215202,0.08504269725318243,-0.008177334148208492,0.009804970327156578
TG,0.05458411878472527,-0.04002910129707992,0.03283133579213665,0.12908772694100024
ADA,0.09371325638789917,0.08447724433796669,-0.006448800410864441,0.05196574632591191
LAMC3,-0.04980697330234887,0.020366489003251963,-0.041360989912523585,0.08671260344378484
CCL7,,,-0.019660382498468344,
NGF,,,-0.022706167853107834,0.014016597888247318
TNFSF15,0.13299879840352508,,0.09722940655327099,
HMGB1,-0.012182093341036726,-0.10099768947176456,0.03391945051348211,0.05992874771485307
ITGB3BP,0.03240389254514198,-0.013083214360247205,0.09462041049304029,0.02604491063596738
AANAT,,0.03955797380954888,-0.0172477029215538,0.0009186263366061528
IL15,0.015934006497104462,-0.07226776905386981,0.03596882713650509,0.04977413096230378
UTS2,0.04084928504628234,-0.05961540304789709,0.015034071490682173,
BSG,0.11438989357856202,0.1040831635920761,0.07550166557811736,0.006943438261824041
ADAMTS3,-0.035951306756067676,0.07152220348574376,-0.03455628847207819,0.1554339404682552
CD34,0.033391503530246364,0.03628716517608076,-0.008398101228399206,0.10158378978149103
CCL23,-0.029366975567577107,,,
PLAT,0.02342034663301271,0.0341387856855263,0.09196977174364217,-0.013721379961284847
NTF3,,,0.014463911970828684,0.023027651930252285
CKLF,0.03151479486530138,-0.05208784779736012,0.04223613861899936,0.07399510278686024
CD24,0.13234389895512585,0.07048410366068261,0.005036150130363693,0.0032458141088588773
HSP90AA1,-0.046278183902672826,-0.015382467794917446,-0.004089560814933509,-0.0776725314335686
