,UKF259,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.025775280886553717,
BMP1,0.012611722494747337,0.007902742582404875,0.07552517277879184,-0.040704172119236735,-0.0006409210793616446,0.11292439619364826,0.15877576115493366
NDP,0.005305429424815639,0.02967158172539755,0.08944429016580646,0.1652669112772796,0.02405829656304989,-0.028131548159383013,0.01738630298035341
TNFSF18,,0.0268744332484988,,,,0.0616776020501546,0.1657580356963228
RTN4,0.027064791100831487,-0.052142107520050364,-0.030397843169748022,-0.0824030658891203,0.10319940149156068,-0.012142858320856662,-0.21673217817133267
HEBP1,0.009772423988071528,-0.06559200781151434,0.008738591016902107,0.037897398883692764,0.021922179830719864,0.014294006023087289,0.0849374577208943
WNT7B,0.03574969289009988,-0.03127836133900674,-0.00992403048496713,0.06791808876808089,0.04266669721228731,-0.013038355733059772,-0.08822390694654689
PTMA,0.019320150413179655,-0.08425865873323106,0.03278843330487379,0.05886120138010051,0.09513047312275642,0.08113630947368339,0.02729476675498575
FASLG,,,,,,0.028776709864084215,
CEACAM1,0.05038568984857821,,-0.02649332919858256,-0.006401683142810371,-0.04277630226128128,0.012904549601512515,
PDAP1,0.032213862558881035,0.04024350632338783,0.03506816346520106,-0.06730979155248006,-0.027918045955625238,-0.03325064972992449,-0.025980776604898764
QDPR,-0.014213555691683753,0.04787711845712612,0.03887594807611052,0.09346773544105783,-0.013526183027413274,0.05785429012030907,-0.1494411766439805
POMC,-0.023832035729746886,0.021815982655570665,0.0717224557816015,0.10050222898522784,-0.027032272591660973,0.0816596108213606,0.061786051115567536
CCL18,,,0.049630176221397135,0.013479287749408774,-0.0005530250918616956,,
CCL17,-0.024611430690239258,,-0.07482892710863699,-0.0391366902632221,,-0.010709016974431398,
VEGFD,-0.027419851622338065,,,0.007567553196677777,,,
TNFSF13,6.302258324424846e-05,,0.047429077964610176,0.09654930294067501,0.08559151562329505,0.03558457098584926,0.031944412180593795
WNT5A,0.013047206972499623,0.08490295520493561,0.020104903174924964,-0.01672599205881367,0.008032675733732831,0.17780783480507556,0.1279835239624571
CXCL8,0.03469607157050539,,-0.10926161099894106,-0.2343776782647502,-0.08285649727556589,-0.007346050628625724,0.08836041760271367
GRN,-0.042430059149840216,0.07448753970050312,0.03307704071254876,-0.06949249561054453,0.009077138057246853,0.15189567530928522,0.09577499390128093
MIA,0.0744062681851327,0.020380967471555596,0.24268470425945413,0.2968965576936704,-0.08904787866081978,-0.037642444588688415,0.10759895258513777
COL4A4,0.017286006466494558,,0.09568901307222505,0.024816200782098456,0.0577771976429512,0.09638121138933095,0.14452458174052124
TAC1,0.06644433311084,,,,-0.00788897552090825,0.166404032063042,-0.12441001987307582
RARRES2,-0.014192643551251887,-0.03695686956488467,-0.012305479547360724,-0.11632256178482459,-0.031121790030010157,0.07177440797547768,-0.06598634392255737
FGF7,-0.017119233332034814,-0.043693535537945215,0.08201695671384275,0.05830045133217528,-0.02016623294901375,0.0029876397112047373,0.0768889006258966
EFNA2,,,,-0.005049720425712533,,,
HBEGF,0.04433840020239139,0.008277434197945974,0.04088282871179978,0.0315102755288474,-0.027712599682122193,0.05026337292202773,0.18981441655242
CSF3,0.05060767344657442,,-0.10714183059759787,-0.18772477073995653,-0.06132567247736717,0.011881413425681614,-0.0003785622131097647
PI3,0.002470532739070132,,-0.11833665237096797,-0.283465437511849,-0.0492061986050473,-0.07895329058085376,-0.11275912872115992
PCSK1N,-0.07023401199288891,-0.022733981360875618,-0.03577250585397752,0.009920904254879735,-8.971838217047789e-05,-0.006596885511002608,-0.1586564967747739
NTS,,,-0.09825934447011878,0.010806099684536287,-0.026474344741894324,-0.010170156194662494,
SFRP1,0.04775263110697828,0.01660135504373965,0.02205226103677391,0.05137438367642864,0.03808665286811984,-0.025464692293412177,-0.06902709179546826
CXCL13,,,0.004675626191732591,-0.04140812114521739,-0.0681230534047711,,0.10072295459084256
MICA,0.0008631233390857332,-0.019032581583370716,0.0910836765054687,0.11992347740832826,0.08709067412357292,0.03595620104854972,0.06327459480543905
TG,-0.010158411504478083,0.047045481699124564,0.049235685167885186,0.02220376113653678,0.040529819211808836,0.011168231065468772,0.032492889255596985
ADA,-0.0037140730361707977,0.05017074343046338,0.12941592445369848,0.053123463299069994,0.12147269626215566,0.15665661123232122,0.026426895267649214
LAMC3,-0.03245567445307865,0.00477097456621625,0.0731776655603776,0.10302498104969166,0.07025460154565977,0.1357653326580744,0.2098610963331871
CCL7,-0.016754986518867823,,-0.016249402217582497,,,0.03860553147949708,-0.04760759228409876
NGF,0.05118848735380137,,0.08723666348817066,0.07259144705957035,-0.026662394118306287,0.11189581661392732,-0.020644379656666406
TNFSF15,-0.0034590179423638944,-0.03356149330325025,0.019054763173544726,,0.001446219453291605,0.05779041944413126,-0.06123488504324326
HMGB1,-0.03911724797640542,0.0537253904251521,0.02078791450495309,-0.02557602876903723,0.06306154385052185,-0.12123840945964062,-0.03797424460004498
ITGB3BP,0.000892586900300045,0.01549156344275638,0.0672380524591189,-0.007145526694883135,-0.017775549949931264,-0.011336374490378266,-0.005287007527582176
AANAT,-0.016976415881903704,,0.012438328368914404,0.040459508264765465,,0.04593145485986651,0.02889714399386763
RELN,0.021201645925261227,,,,0.03289365709575877,,-0.022674859794805144
IL15,-0.01619700039673871,0.012831932582143277,0.026992312744532742,0.017423990804493923,-0.028027894574009882,0.06844645955783746,-0.007793397089719292
UTS2,,0.03327231174308431,0.011347014705221934,,,,
BSG,-0.03321668032499929,0.07475329014617582,0.13737463258283744,0.01875780890039564,-0.014990881188732501,0.03847911253472085,0.15594034485562994
ADAMTS3,0.0749790567847659,0.01082256716576642,0.04260695952567619,0.06509382796417942,0.01790478395305348,0.041077990341418874,0.012186068709627552
CD34,-0.026371364904332045,-0.015064894417870966,0.09691237661238149,0.12331039025344803,0.0857380063070489,0.10007061260986501,0.07826842007441882
CCL23,,-0.03166894437925545,,,,,
PLAT,0.014673723669948669,-0.015928808479592906,0.14049758708564014,0.20864415030426667,0.1948153102591116,0.10708431182902256,0.1527601886366718
NTF3,,,0.05902889063257744,0.10966940795989362,-0.0719864434645964,,
LTA,-0.021474423592789664,,,,,0.1142100343706401,
CKLF,0.020643559371856558,0.0592551867337878,0.14124508427004498,0.1623156108762528,0.07538139703364877,-0.018561693144046605,0.11729992669525376
CD24,0.033382704969881515,0.13809520120448388,0.031671454741615215,0.11971440971540485,0.02453648944217599,0.07891409759488356,-0.0950758764853879
HSP90AA1,0.0022115227920609082,0.008334828166085547,-0.18099874718389944,-0.3304174573516839,-0.06473818592112968,-0.05317242938309234,-0.20830331056158294
BMP4,0.08031178766321553,-0.011500416173599785,0.11800354955568355,0.08641656134269321,0.08214852565692128,0.08775004836181373,0.0337445830356617
SCGB3A1,,0.04238004544734813,0.07078167849922663,0.08627390246505678,0.0496001256927284,0.03842365010271887,0.04676340102650539
IGFBP4,-0.02514528346353913,0.04381977136493506,0.02773848030571422,-0.08772458980178076,-0.006340360984653174,0.18597437805592512,0.20840143430872912
RSPO4,-0.032870367636415605,,,,-0.03835966300131738,0.04543798175807604,0.09148451596870333
LEFTY2,0.010992516676180732,-0.011415976706907227,0.03238045582456598,0.033417816346308075,0.05072862947143573,0.046739224917650084,-0.0570631549920445
