,MGH258,UKF251,UKF260,UKF269,UKF275,UKF304,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.01664927031273161,,,,,-0.01821903246704037,-0.01665337021602365,
BMP1,0.0336609144892421,0.05673427271395687,0.03495870552741769,0.052833466004922655,0.041822361273426444,-0.004055006109740268,0.1313585095013022,0.10947522047570202,-0.015462404890252869,-0.014424721776903598,0.06886941072338958
NDP,0.022457197635307662,0.026076010589132597,0.024030663567386517,0.018477112689304322,-0.03503709311231541,-0.01759377359651104,-0.12945568516234396,-0.0021341270026514173,0.0158300392109224,0.0031729878081624544,0.044278334278888276
TNFSF18,-0.02115380653898456,0.03213214460137905,,0.03827184038680719,-0.013506324337715096,,0.11184847367465782,,0.08999307609072205,0.0017304549041630445,0.012457575069156932
RTN4,-0.009393226502700715,-0.009084410295652845,0.02415171494809109,-0.07863975892205413,-0.002972393708104965,-0.08531879251173362,-0.0190098563001441,0.026231049302810998,-0.05899529574307512,-0.005332102389108782,-0.001978008810879181
HEBP1,0.015073385788586005,0.019716528136822023,-0.020992235706079818,0.03782141648277547,0.007629483695579925,-0.0031968118123665806,0.03583433158705753,-0.0008926880701010747,0.07985487049611739,-0.03478335993789672,0.010964618409251194
WNT7B,0.15824133542925914,0.009059186776130627,0.009403687095621956,-0.056853833213371056,0.02055609126701788,,,-0.04460070047133554,-0.03928924914520744,-0.011960202036205337,0.038798510218457316
PTMA,0.04274732299754163,0.031483945293674764,0.011900544745540045,0.0011560991491097654,-0.029383663879055714,0.052329979341995535,-0.005389358125853024,-0.017010224246929072,-0.11412946499481685,0.03592555112524881,0.06509314778034886
FASLG,-0.018635846273504803,,,,,,,,,-0.014443462306977966,
CEACAM1,-0.007194365623997237,-0.01650750372285006,-0.014777319648623886,0.08797888025994259,-0.021242230517048176,,-0.039084431084518007,0.015216419648786002,0.009355260753283353,-0.02009595644168105,
PDAP1,-0.04845898652428419,-0.019225398865685424,0.0032035156906524086,0.08852203563620141,-0.0037016178652220936,-0.022711335262383493,-0.012803966142970153,-0.07894629608701337,0.04467500813499572,-0.004014430305774239,0.024684349476297156
