,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.021066337809354407,,,,,,-0.018872400290310915,,-0.018807317084936995,,
BMP1,0.005106493557920961,0.05064089340307076,0.009909341865256827,0.010585517022556662,0.010750337396211685,-0.08187051475686585,0.008481843604777599,-0.01267780089502341,0.034897262091377806,0.008555666374552417,0.07992404265266721,0.02744679165730857,-0.007602750260401172,-0.005105132064594328,-0.030411879908858897
NDP,0.003917516196577859,0.023538194267750872,0.07388304994373393,0.03561132366555309,0.067021354906413,0.06771130339364782,0.04272948301030596,-0.0016311892628249204,0.061016682001041773,0.06130099566482279,-0.0206472658818362,-0.04355528737433669,0.058606598055869326,-0.0064665153531477,-0.021946747152063108
TNFSF18,0.017862552361496545,,,-0.017240378274595843,-0.031282879218099795,-0.021838758984351017,,,,,0.0074093841813975105,,-0.004003103395855703,-0.02886113842361077,
RTN4,0.06329127373842122,0.041790118348192934,0.013599619794692028,0.03213694540198865,0.008965081413990272,0.0470521645551131,-0.009402717457811426,0.12040430968389158,0.015872748066523223,0.020866596875505,-0.01924307110656227,0.14398306863249138,-0.007089912443762489,0.05833185257148435,0.04185594921245255
HEBP1,-0.02819164459041747,0.010882362418276914,-0.02163961010027758,0.026874324288133227,-0.024215165422562468,0.049391607058920116,0.00042040123156053116,-0.04444462527337325,0.05348882482604548,0.06377946720247613,0.00102314700816329,0.012896809407163975,0.06772356973193862,0.008595933762815755,-0.040674340404965446
WNT7B,-0.009051648547115388,0.05385938458755253,-0.018912412241643303,0.06867069133820358,0.057106575421236094,0.02214643470037634,-0.00747220803882681,,0.03189500831129735,0.02808725573387517,-0.040698233471810834,0.03024799841723838,0.006368226603292284,-0.02484854452989947,0.13141813736849708
PTMA,0.08402584125569933,-0.010158863994368566,-0.0211817672657376,-0.01502070423143519,-0.06947828571393345,0.014119499201165803,0.01301969094723942,-0.09688052799621519,-0.03026636759516649,-0.01075278766657021,-0.014315477061461832,0.008957302822682764,-0.0492787067375344,-0.057868541081395636,-0.06939469695285085
FASLG,,,,,,,,,,,,,-0.016311579691556916,,
CEACAM1,0.017251811711020703,0.0666462279840865,0.07457284687461395,,-0.041166487311444545,-0.03434716514665907,,,-0.033636490918189835,-0.029129655663762393,-0.027965973293896208,-0.006941155729275541,-0.022695167405821455,,
PDAP1,0.03933202602045189,0.08284284882565547,-0.0024106704057618856,0.020411335660067496,0.04732321733986396,0.006369265612893069,0.01721353157078426,-0.017333831146661132,0.03256065825898923,0.005034554575539322,0.014197821280869462,0.058164974466377986,0.016770892784989423,-0.049684650115060354,-0.06890133356691949
QDPR,-0.009299294584923278,0.0384210172691188,0.04112268041175294,-0.024713301504568654,-0.022739255364496603,0.022117559779023372,-0.019960276810892734,-0.10367953393328508,0.02177410749527431,0.03389761611762415,-0.014911095341311824,-0.04784608762656948,0.015635066437771256,0.09270029159189376,0.03891297266918214
POMC,0.04075255128673215,0.014335617137119332,0.0238479396020484,0.040613956388187565,0.045474293070989595,0.01782095003701525,-0.03785431354106918,0.04351994122393733,0.0791366415392308,-0.016713271557646053,0.0015102624980801581,-0.02787002668217413,0.0548021529712838,0.001758120281104665,-0.0627737387305544
CCL18,-0.023389572646298724,,,,,,,-0.0362088112199802,0.03487634644083953,-0.0314736894040847,,-0.010062537336312101,,,
