,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.003931967135520537,,,,,,,,,0.06536365415261293,
BMP1,0.023011762254541778,0.01972872741066127,0.04677289528666863,-0.04514765058785499,-0.03527487386084567,-0.020564127145543266,-0.015233658217060346,0.11531354136732182,0.015024709621307628,-0.00571433008696786,0.05007998654558894,0.007931039390506385,-0.07989983277795172,0.06087132510768433,-0.008602244321323794,-0.00999140745041973,0.07946313209854308,0.026867124482912043
NDP,0.01668104499876252,0.040181031223512215,0.027059338787759867,0.04431832536890723,-0.05812367171033561,-0.03886166439407704,-0.03430821345990718,0.06608476994400576,0.0844435078201437,-0.004151685561453337,0.08661582995650802,0.0194949086879401,0.03304088405087839,-0.009730886016665692,0.07150530048688798,0.02396114118371702,0.00028548392326600185,0.008959712451128591
TNFSF18,-0.02115380653898456,0.09816936571683714,0.006843101716937287,-0.009477079915099723,,,-0.01221318953592428,0.03821227732333384,0.022291849630855842,,,,0.13308685439922752,,,,-0.0003616731280276557,0.09650728273842779
IL36G,,,,,,,,,,,-0.02212699332110227,,,,,,,
RTN4,-0.035492268865250094,0.0020726076727506262,-0.040722403741381495,0.021562043171268343,-0.04302331227229174,0.0037741301783022737,-0.10263399167644154,-0.1139825379225595,-0.02741883433319098,0.08759335517864723,-0.10410526178425092,0.05632421307500126,0.02393497869740948,-0.003097520958452551,-0.07446315027367655,0.015345100179455867,0.053868582831911316,-0.1337386855265667
HEBP1,0.045466910200378075,0.00373865848150639,0.009108292712315924,-0.009137734213625598,0.06289013173978861,0.009680246176653367,0.03208504773524586,0.09750682197497709,0.03865394404438151,0.06057984018330849,-0.033105714931513396,0.0005030086152273071,-0.010762308397961143,0.022460714472382994,0.025578213006372086,0.005926678183399189,0.06561735361326551,0.04095193652127767
WNT7B,-0.018635841005200295,-0.045702609325562533,0.007974713366170623,-0.019010945001059064,0.024973730616586677,0.04420968939005885,-0.0427666820810197,-0.04059611188122183,0.06522896038354131,-0.003143784998383919,-0.02432011560556812,0.06602739742632537,,-0.03573329915596466,0.003232786001023164,0.026439166338652835,0.051686006000430475,-0.011042782394540264
PTMA,-0.007902031621896404,-0.012343588006229618,0.010053995610410734,0.019662288768833677,0.01148680195130491,-0.016759419730962677,0.13725897709123752,-0.039435120913318966,-0.014674930193814543,-0.012465808716841099,0.024930692015604074,-0.0367872499652894,0.0754998922644318,0.018980925582349317,-0.031010377398161263,0.04148873070606191,-0.009891974306229833,0.008692142236195554
FASLG,-0.018635846273504803,,,,,,,,,,,,,,,,0.02744936045267969,
