,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.046139585588432196,,,,,,,,,,,-0.027608088851852185,,,0.052382358422441835,
BMP1,0.023185028000378874,0.09356574798787826,0.06745120637118578,-0.003927514073863122,0.0288147862845579,-0.0020351099122049936,0.05443843978646766,0.0808537646016092,0.09273126677344329,0.0051841685881035965,0.001611523772961342,0.10272833615213818,-0.22388750486351394,0.04562850607749715,0.016680324735297746,-0.025648508358430338,0.050473210159992024,-0.014852698741100524,-0.007937537224727587,0.10851438962726917,0.17421443177261747,0.019250372856658336,0.24139639021954054,0.15530230134687198
NDP,-0.022556306417929845,0.027415122948540108,-0.044459118983735675,-0.008693398551349497,-0.01657873603665235,-0.05517286971483003,0.015878007225887922,0.02111440853058834,-0.012646213155360218,-0.0528617554424824,-0.016165520467341918,0.014175991078657331,-0.02473272457377347,0.001177472560251488,0.01138730912113314,0.03334518907787928,0.01903054675891472,0.06013352976650567,0.08432803559397214,0.057928522941621534,-0.1044808023517317,0.029605987094097723,0.03624953299599615,-0.006731071819977246
TNFSF18,-0.031440754863876486,-0.010680813125889522,-0.017939175693186715,-0.015222048278878566,,,,0.05415093564843332,0.00034661184599241727,0.0688479326509341,,,,,0.03648531340574087,-0.032180632462727364,,,,-0.028471734721529546,,-0.001534791217288861,0.09652373001867574,0.030483962456310475
IL36G,,,,,,,,,,,,,,-0.029220586329423596,,,,,,,,,,
RTN4,-0.12658357720135255,0.03332403704104373,-0.06831268286594862,-0.020796877798867,-0.001962591745509152,-0.026301692437823054,0.009953110546920314,-0.025459403551043775,-0.11117554669105871,0.02648981817567497,-0.05494081766672513,-0.08516357954916103,-0.01991710322301562,-0.025889364263629158,0.002617282188743989,0.06438172153239591,-0.07361610433408407,-0.03315734000098754,-0.0581057089856459,-0.029387561692511326,0.020574245113881676,0.013611282783571854,-0.042440409025513964,0.01814089221661173
HEBP1,0.048605972241514625,0.07340446890191445,0.0824111743233995,-0.026416383727828823,0.03715673601394997,-0.034981948750067285,-0.04676214267893729,0.004061631700310275,0.07668110470663068,-0.035653234211890275,0.04077506317506148,0.0551134842468232,-0.1873984864548139,-0.03963437145132431,0.0901559689857355,0.020137583377815498,0.04157293375147111,0.033542972832464255,0.034469667922500204,-0.06508593438820526,0.05837640019572167,0.12086981328719912,0.08505841264812519,-0.019468944546053347
WNT7B,-0.043878798308944346,-0.042293568263709086,-0.02661485237308676,0.04964495519034166,-0.013146299662632078,0.018777634629777423,0.014986624613771838,0.03756211372690869,-0.017439736175212474,0.009475674088327272,-0.029835894124306272,,-0.07576708950146531,-0.0212104614351644,0.11189097797063796,,-0.02504254798642324,0.026034200393431264,0.020793225985843992,0.004373644985490599,-0.015844976605739653,-0.033140108120231146,0.07668754187966315,0.009776076096914353
PTMA,-0.11023688514380348,-0.017458613377699054,-0.03413370681786034,-0.04965093479015617,0.07509380448312028,-0.014718944478217769,0.026966580384581097,0.06191372874275188,-0.06650904084947651,0.0036911695289986108,0.007186287736100573,0.15566590769117167,-0.14541079943707882,-0.03641662219692572,0.009589868357181907,-0.049476265691330526,-0.1716882011701824,-0.04489391991128024,0.006984281459330946,-0.05146830410799583,0.038134871983075115,0.07192695027071572,0.20881661608151203,0.08147630807545009
FASLG,0.006471476486277958,,,,,,,,,,,,,,,,,,,,,,-0.019846855867077764,
