,UKF260,UKF304,UKF313,ZH1007nec,ZH1019inf,ZH916T1
IGFL3,,,,,,-0.020938471606186206
BMP1,-0.022485320948222563,0.011952388643380996,0.01682585528914305,-0.005665509086864272,0.03730981576903085,0.09701002342425402
NDP,0.07792306126074133,0.03768991002461495,0.009707801678655136,-0.037610276970374744,0.056532006141843456,-0.005109310855018633
TNFSF18,,,,,,-0.006844777939913305
RTN4,0.0014957298292418715,-0.015109036805291607,-0.016240030324759597,0.12025367779833453,-0.08085819625110499,-0.045767224131617046
HEBP1,0.0694760589608813,0.015125559316565299,0.0006251824839154165,0.04758069258471662,-0.03784049491731323,0.03263507704854084
WNT7B,0.024435484131982585,,0.021289530321310143,0.10138101179829724,0.007910107835571497,0.01849272345597109
PTMA,-0.05536900906565574,0.07359771477834048,0.08361169927591457,-0.08015012759896989,-0.1179829573323004,0.05516248899903459
FASLG,,,,,,-0.014619609660268677
CEACAM1,-0.01561002976184481,,,0.012015392643113288,-0.030154038100917133,-0.0409612801186966
PDAP1,-0.03299194696598085,-0.03590672052114087,0.037803061270856086,-0.09839160200887742,0.0223884194103282,-0.021686876617124335
QDPR,0.0136963339252022,0.06923228965821991,0.04997535705131273,-0.0030924114298683894,-0.11366082749187113,0.009362171536001981
POMC,0.017085520342869462,0.039408134682967076,0.1448107098696255,0.07741506185935022,0.028904692521168993,-0.024466639730690902
CCL18,,0.050896990892327854,0.10582525600401482,-0.03642081362801213,-0.0213797087934949,
CCL17,,,,,,-0.026683951729328408
VEGFD,-0.014934792664993242,-0.02400151867866157,-0.017992957997152455,0.0437282238307556,,
TNFSF13,,,,,,0.025316614994240753
WNT5A,-0.06534077006308946,-0.015539909482490146,0.04659193722856675,-0.03780612071820214,0.08499756284955234,0.07793680202451041
CXCL8,-0.007513240547900691,0.016331613772125872,-0.0038104723553364955,0.15319974617239818,-0.03764234342142561,0.00044467080038493897
GRN,0.015979031978733644,0.0015049254885932152,0.027937400732807035,-0.007278442212264826,0.03119260145830756,0.10206256105732574
MIA,0.01832912219363657,,-0.024401683531569393,0.06241646114957154,0.06894336635209465,0.009718997427198952
COL4A4,-0.06483369441887177,,,,-0.02703063207493339,0.02706963817682852
TAC1,0.05366951804189896,-0.028880965292394752,,,,0.06389246819910348
RARRES2,0.012495321796540082,0.03353009191889991,-0.00971472302283047,-0.03783486242467235,0.0371455464176,-0.011855816708149282
FGF7,-0.02859578449798246,-0.025154740085722254,0.03052089243430508,0.034567968522322474,0.06483893527419562,0.06350219045756895
HBEGF,-0.001971988086080086,0.042913703940262435,0.023605286870542985,-0.04016440752374765,0.05216657306477424,0.010871093290000501
CSF3,-0.04975879364775481,,-0.027031292920780062,,,-0.028094084685564766
PI3,-0.045813926083597974,,,-0.017537881416057405,,0.0022713053130502276
PCSK1N,-0.08977288893196173,-0.034357789041580315,0.023943572017159465,0.09381652884715927,0.043335008569950595,-0.010681907963208837
NTS,0.023583020132802855,-0.021609076748965336,,,,-0.02046327144512302
SFRP1,0.025746179602399853,0.03909044027037827,0.04047540279131795,0.02598207846270812,-0.06524687326950235,0.04450233709972176
CXCL13,-0.016884887547454795,,0.07136973398308459,,,
MICA,-0.046597105943666686,-0.014862659696265922,-0.013466606202813265,0.025163578005418335,0.08432500718693951,0.03139828224495062
TG,0.07855987191385039,,0.0031357934828061735,-0.05754798138038455,0.006005572259234021,0.047206911948145566
ADA,-0.018117861957583154,0.008231431648354435,0.05234884477206281,-0.033382179115407314,0.04694125822002318,0.06781989295965078
LAMC3,0.013184225999384677,-0.011179990569991948,0.010306599865356831,-0.09085961791436721,0.05229672798968674,0.07251774141056234
CCL7,-0.0223862434799829,,,,,-0.0016242323431856869
NGF,-0.008576883560374454,-0.021609090977108635,-0.0493148901578923,,-0.03177159707844831,0.05390935982463988
TNFSF15,0.005242275931949711,,0.02689791846448178,,0.05755763770110068,0.04112126429318232
HMGB1,0.05618383637851127,0.04513680248447807,0.09992016244958556,-0.07828276501983483,-0.061593811118217816,-0.0662860353557167
ITGB3BP,-0.017616931004165632,-0.023789726024946774,0.05135789718142788,-0.04198547198425003,0.021787771087796528,0.03466134935695228
AANAT,-0.01493479479701906,-0.020315723485302927,,-0.049600142267107204,-0.022267862906058387,0.023849212603362733
RELN,0.006253679363113429,-0.06194358166312947,,,,
IL15,-0.041733265207804994,0.05374621228921397,-0.04047687813019255,-0.05716931900460649,0.11837784027741403,0.05845612001746186
UTS2,,,,-0.019619972443555418,,
BSG,-0.08107388920404157,-0.021728615111869562,-0.047207683260576165,0.08079547039530632,0.05167353074623971,0.043080040997596304
ADAMTS3,-0.027223775137490545,-0.032622278246682374,0.0005005589944043914,-0.05022732078810759,-0.02666349886759126,0.06232424727157062
CD34,0.04355878391909146,-0.02126833985077587,0.016756476918762923,-0.05352267162367278,0.03347831125081045,0.07195185825705445
PLAT,-0.01233160618525187,-0.08409651037821142,0.006284738343509171,-0.08372777096093033,0.08768598359042318,0.05971921973705673
NTF3,,,-0.014849647254292137,,,
LTA,,,,,,-0.011716504208038252
CKLF,-0.040224039278921944,-0.0025954413109446186,0.050025542622766046,0.015224232352282142,0.10938375780009037,0.02735044851744488
APELA,,,-0.0317331945449225,,,
CD24,0.012804576835949197,0.08410939823336702,0.012533141975035883,0.00046495383122956293,0.07642496093565036,0.03834777873987513
HSP90AA1,0.025190634230348747,-0.04597620260715307,-0.07811416274297625,0.05706200072227455,-0.12299091167434255,-0.020942286748204832
BMP4,-0.028983381847118527,0.08390684845107783,0.0008606490332153025,0.08287238202032297,0.062086392270328666,0.08803484578090852
SCGB3A1,-0.01778549690877068,0.06137894573305594,-0.03603907692864972,-0.04103207783333429,,0.02290705954319359
IGFBP4,0.035302804430585304,0.03494729661072518,-0.013974636976477203,-0.03284808666135648,-0.007981187536357025,0.07624590225583698
RSPO4,-0.0031714736226148344,,,,,-0.014778428180664513
LEFTY2,0.01622779418966558,-0.021609090977108635,-0.019463761572218904,-0.03170484434955107,-0.028456441596281665,0.09359154216951776
PF4,,,,,,-0.021146667141423013
ANGPTL2,0.008027599449321552,0.04097457397719859,-0.00953080913049779,0.02553489495095618,-0.008441747722713304,0.10755012791456858
LRIG2,-0.028048245882070156,-0.0014810549779559169,0.036291636404664575,0.015295511057753697,0.0854975108506269,-0.005792910609765372
ICOSLG,-0.023772939913526737,0.022447537260590632,-0.007927510196999355,0.031647113289919364,0.006680202235822273,0.037814237723677736
WIF1,0.016166522269544382,0.00813821654545863,,,,
NPPC,-0.035808388384437395,-0.05364924409500765,,-0.05126060108129413,-0.02666344765874503,
LYZ,0.040746104608059754,0.002026360814699999,0.01315986053174508,-0.027993049099097264,0.07861526164173734,0.07313019415978902
EREG,-0.028886858376818158,0.07667783846349213,-0.02275983126136841,,,0.011768495638167096
SPTAN1,-0.054073619703900275,-0.021081768991582008,-0.006416923566619744,-0.02652259789983777,0.010688779673621883,-0.006945746986754319
LIPC,-0.0198738578205177,-0.039812521184236845,-0.02845824527845274,0.0565215741307883,-0.05478470725866552,0.014887267503025608
COL8A1,-0.05581638231972872,0.10628174487733955,-0.09030614431506263,0.001997136445917728,0.007980298976324586,0.0692529891952953
GSTM2,0.0700143124929332,-0.005377316425854579,0.05827248922692774,-0.011841076739483671,0.07588834291831231,0.06989455760783075
IL4,,,,-0.035327436453138045,,
SPX,0.03631532224817487,-0.01802939022680459,,,-0.05090398609428265,-0.005868200721813096
MFGE8,0.00021059011528296972,0.06320267138073976,-0.049858784852394804,-0.07680085294496773,-0.027642359617303342,0.051286705743911684
TGFA,-0.04089736085337843,-0.017462544268613555,0.07406249365023411,0.06396408649474244,-0.04894293453345962,0.007701130295799086
SLIT2,0.03944982681736691,-0.015540310342291364,0.036439487631857025,0.006377577454774256,-0.006327046516483484,0.050915899489100414
PLTP,0.008299316143408723,0.0399513885339379,0.01593281723166396,0.11892668819330524,0.032978861483732635,0.018932158821082474
APOD,-0.029040088434609666,0.06289918468136414,-0.051355213046070027,0.05086440548289287,-0.1576083030946329,-0.057036947172223296
B2M,0.04528377730267389,0.057012308156926456,0.04657805892631791,-0.11597232112149719,0.01643194403480847,0.06529358821745809
