,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.015367755009742724,,,,,,,,-0.01586388267034384,-0.015714769959907105,
BMP1,-0.00898459671801607,-0.000677982699874445,0.03381801340245822,-0.019453197624196006,0.0654740721939186,0.018475191530947385,-0.02116535783592138,0.03528351083599064,-0.01911857631822966,0.053569142081045636,0.019792490735432277,-0.02760764998653641,0.027420032687841316,0.007688401008665842,0.030167673098141837
NDP,0.05955580442196945,0.03666714479222264,0.021593786994873135,-0.027489484237333106,0.016379475455703306,-0.055182115861404715,0.04706840187150702,-0.02237822240892209,0.0562062985998145,0.01647808472700204,0.0430578219535983,-0.009675447620459533,-0.02723840008634568,0.015713179851214485,0.056403102856566266
TNFSF18,0.026562575293759123,-0.0007746995171587363,0.013687893986207195,,-0.022820654836820095,-0.018888984477801334,,,-0.0252577245950281,-0.042876856465839296,,,-0.01636014218395264,-0.02650800740988442,0.041881756300841885
IL36G,,,,,,,,-0.013552787638953342,,,,,,,
RTN4,0.00483194957788691,-0.005764170853297095,-0.04007329210125271,-0.07634690179574785,-0.12174981765695164,-0.08351603985466416,-0.03472229295600241,-0.027589026893098976,0.020064170466897773,-0.0208496868025477,-0.048568122429467515,-0.02154487842358406,-0.010174926861378478,-0.033288042881932975,0.015867394510976837
HEBP1,-0.022097851079924662,0.03991110651882496,0.02256381464516633,-0.01866984739155807,0.04124349997209329,-0.02648820045873518,0.00577251304261943,0.007670213519675642,-0.03956104502337004,0.021825923287528425,-0.0009443468775697923,0.03219047376438139,0.020159793299056192,-0.011706515201499035,0.04479287941329081
WNT7B,0.04397803881663009,-0.031058287383823796,0.17502274137357615,-0.03114022921459566,-0.051733858182473946,0.025408309106780273,,-0.014896075457424161,-0.027806289488564614,,-0.007048198862467884,0.014202575720035235,0.0870632952829043,0.01903527980289195,0.004922841155725927
PTMA,-0.02565501105933092,-0.05288159971645492,-0.0051745173219287675,0.01699671553494565,-0.0647121002888738,-0.055963395190017494,0.024446200841643864,0.04786173005980749,0.05621152938143239,-0.026274503345950825,-0.0037382841048554318,-0.02399768913998371,-0.02210761293499432,-0.004775650145000655,-0.023043213231456274
FASLG,,,,,,,,,,,,,,-0.01362941462505619,
CEACAM1,,-0.017332501565705538,0.023415885651208185,0.02081823951064518,-0.0028651278925724485,0.017882050791618722,,,,-0.03014970691426088,-0.0187637893835166,-0.016687429521540148,-0.02350781629637794,0.002793863947782888,
PDAP1,-0.05348764736933105,0.016865248604802777,-0.006022551732263682,0.03860020751078747,0.08733337087020061,-0.002407225170528105,0.011897996892940051,-0.003852847961517876,-0.032857975333667785,-0.015053265070661034,0.052751895575971285,-0.014815799541389955,-0.042552782155190885,-0.00308682611132231,0.01711192964721838
QDPR,0.06392885526167782,0.055240105207995424,0.03993207826212685,0.00460446117679392,-0.12102222285044588,0.03977588258215691,-0.021733588090679948,-0.016176208918892994,0.03467402083343161,0.004041432778010678,0.022887800976537035,0.03552176414214554,0.0034838674583905016,-0.01573864737575215,-0.018135855927950233
POMC,0.009432810441375523,-0.03162010220411615,-0.029560641198878024,0.0020255346118924597,-0.008144208996011522,-0.021917283882333428,0.05463198745803293,0.01663845387808371,-0.06806874554697571,-0.052332574426472406,0.015426462868156776,0.046660928197141606,-0.0011522657518142822,0.023508810965682185,0.1410583359223637
CCL18,-0.030987508515581942,-0.021629324309451678,,,,,0.018210806557230362,,,,0.04243722551106707,0.021425149790157316,,,
CCL17,,,,0.03620166740893761,,0.06032799739486953,,-0.01238085627169449,,,-0.013312000374670204,-0.024089352141721688,0.00401702678325635,-0.012353533506956622,
VEGFD,0.03082444554728941,-0.021629331177775202,-0.02382863785451155,0.0013770058824029451,0.06370311587514484,-0.014010690189117918,-0.025738940421135115,-0.013268947142805673,,-0.04098786585445171,,0.08103234497757052,-0.02205951604446672,,
TNFSF13,,-0.01632218738791531,,-0.01437615405703793,,,,,,,-0.025543729225859808,0.006154378351825366,-0.022429289988188543,0.0005348766684312137,0.06845779969043538
WNT5A,-0.07548516685775485,0.042020008270001366,-0.004803913331099199,0.01576995723741956,0.06224592689199537,0.022944502639458464,-0.01418656304337734,5.616111052690083e-05,0.0076280253063999055,-0.0633297696792342,-0.06405029242398777,-0.046075805476881185,-0.017167296896650894,-0.023804261959297066,-0.041634738206761036
CXCL8,-0.02177939285932295,-0.016744482098311045,0.03784065055281777,0.07564828511215199,0.0025626865895816277,0.004060100192907335,0.0018285338136875243,0.014764032120678639,,0.09541005405490066,-0.02749094799824017,-0.051445415130997006,0.006685511411518478,-0.03518411806314768,-0.04082258654066577
GRN,0.01355254207992673,0.03729377816133945,-0.061411525990907795,0.021293430718578893,0.055276603470070296,0.007578359182815184,0.022093448578168785,0.048496981704242347,-0.01141015814351622,0.005706642583435373,-0.019774647579748558,0.03681273113545029,-0.04968188543536115,-0.02474181396259765,0.08399745373067849
MIA,-0.0371445928598769,-0.007771922845821974,0.04041440186875486,0.028507824858446645,0.16332215241913656,0.015766881783430678,,0.00016201255622340702,-0.04127703582662358,0.03296291156142923,-0.03277902586894858,0.01984140291052509,0.010256411527739293,0.023560057682925753,0.11080396374889916
COL4A4,-0.035146898244100395,-0.025976642762452595,0.0015722392473770574,0.011964296500011101,-0.015143781887917427,-0.024595532690331653,,0.0020181808541451253,,0.0935515793194194,-0.010285244194300115,-0.02671918389232109,-0.0322188109943281,-0.03627844441292441,-0.004119251979700472
TAC1,0.02155667432307278,-0.013128713557258847,-0.045505192146430916,-0.04416237117204231,-0.05918137992165673,-0.0735095531551444,-0.013762297816406996,-0.031240385497998756,,,,,,-0.016239975955053353,0.036053487346198856
RARRES2,-0.06041948100716437,-0.006703753863056739,0.004636374304174804,-0.0012423607250041456,0.12221961634967414,0.0011060858405192043,0.01726998808743326,0.05602413198471224,-0.007052167220120192,-0.15260127052455452,-0.031064536205258966,-0.023681707805156525,0.01872160938615523,0.07795746289140215,-0.07313133296865022
FGF7,0.03398706242720845,,-0.014137245683713074,-0.029093068657640424,0.04410855777860897,0.03519672257621461,-0.0029074122291421387,0.013332723789488923,-0.027690392798735017,-0.11910702590842073,-0.03215924472659328,-0.013893761853584137,-0.04257162062267651,0.00180470086044813,0.025432310635638628
EFNA2,,,,,,,,,,,,0.03661108598696029,,,
HBEGF,0.005549966513927744,-0.014877824304074786,-0.052946001567983264,-0.0007329644517040004,-0.008115809987762105,0.044751700820475866,0.06322640638263843,-0.02040560785506036,-0.02327572505964683,0.04706521022062,0.009424763147377481,-0.0021457299561748206,0.04216931615017895,-0.048146995497088216,0.01929414551908443
CSF3,-0.035146870418196065,,,0.10376308268561288,-0.016021829755810665,,,,,,0.02533648417622175,-0.07495039513342966,,-0.01300636502534762,-0.02236257158673294
PI3,-0.041636709146230653,0.03725946236291989,,0.01609297232465534,0.024936185957311233,,,,,,-0.0008319718309762169,-0.06998196852947597,-0.017771224437797547,-0.02825851025890055,-0.03694284016797191
PCSK1N,0.050976487354553894,-0.0010457603814252468,-0.017354355608938055,-0.07045746892423217,-0.036670976728916053,0.018378773193071924,0.013132556336498317,0.0028283199946123796,0.014014880779273224,-0.027189730049660014,-0.021948623348244184,0.043544599531595486,-0.03808279770837903,0.042972626792854865,0.050506468146705875
