,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.015345911753858075,,,,,,,,,-0.028964107313822193,,,
BMP1,-0.022650110720668856,0.014375045895550902,0.040795268770395375,0.006891143359135497,0.05464012840840305,0.00872641412219537,-0.06241894942495763,-0.006927720600250733,-0.12814911955666972,0.024992561436943114,0.012542460644011467,-0.019021562775546844,-0.17621404553385123,-0.019848773178132606,0.12355855723610801,0.014380054884202104,-0.039741932452722104,0.019529993283108917,-0.017749984379425897,0.06109530038205561,-0.02736059005234233
NDP,0.015461575080112443,0.00022249570302339315,0.006136600850290353,0.02103188356810516,0.08304945442935299,0.0024168807042280046,0.06962063243398303,0.04564475708192447,0.07306968235399314,0.011630300655291735,0.018959083362898307,-0.0221803320820985,-0.06875158109816357,0.02341584577273569,0.04116244897043265,0.05456423530916142,0.09788599447893727,-0.002922745907940647,-0.0016054589541673223,0.028105744126622697,-0.04631089975143328
TNFSF18,0.07304143555471083,-0.026650773152358146,0.0008270783183572626,-0.025287401292498065,,,,0.003714760026555349,-0.042440879034277165,-0.020199132998575405,,,,0.03798960049803023,,,,-0.029870172626227764,,-0.04019322746042182,
IL36G,,,,,,,,,,,,,-0.03213478600556636,,,,,,,,
RTN4,-0.009852637154593306,0.18625824724438417,-0.009389309847832743,-0.011065519779988493,0.059903851044175546,0.0675287907835724,0.07709605223808891,0.0931053357034477,0.21168711345621005,0.10804458069449814,0.051017722680264325,0.18761876204828654,0.2539674504338662,0.02196169467153933,-0.03548938039720388,0.0016748866025004057,-0.01183506100179449,-0.0898150870138225,0.11117285046362244,0.08237482629219471,-0.06359801757132044
HEBP1,-0.0031221698777871097,-0.04915569842997242,0.024083110937283585,-0.024587422422693676,0.04619506492243512,0.012782243323061469,0.008501752204398368,-0.02754554646708857,-0.10068861038014722,0.011315355400906908,0.04414610180630879,-0.004941855117517907,-0.012618040736942825,0.053636783125181595,0.04544596058882802,-0.020840639532894344,0.015754231823926247,-0.056154770321256015,-0.018889120539422325,-0.00694804631134473,-0.13919155673453243
WNT7B,0.08873029144827634,0.25298839130535516,0.03639411605610159,0.05018825956599168,0.012388293999131847,-0.018078557044482333,-0.005547650058369139,0.017443396334117074,0.21631955863033625,0.06922235236227622,-0.016873823238197014,,0.08558204757809341,,0.021076973065082546,0.005576661005455776,0.03414422034570021,0.04356196055067116,0.05903677432874754,0.15427176675714505,-0.009257626321974445
PTMA,0.07904880333736243,-0.031108725446173602,0.06810568019474696,0.012517995269692255,0.06830127001304154,-0.0893628768037328,-0.036447987205638015,-0.05283439893327593,-0.017321753259893127,0.034045375779572874,0.03279421273079593,-0.18478322995963528,-0.18881912592248976,-0.07687900436410368,-0.14981186117551168,-0.09807316344229074,-0.027969277189018045,-0.07282156858476657,-0.1140021908706099,-0.04117775344014211,-0.13105322813377387
FASLG,-0.02078330226527315,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.003692600125466804,,0.0036274024240771224,-0.029190394423937296,,0.017714801622586176,-0.024875248662819968,,-0.0558497795573834,-0.03176842408575248,,,,-0.046275248701654705,-0.0017534713562359536,-0.02371463545303933,-0.026002586350437312,-0.04292031957565853,-0.018909859250806987,,
PDAP1,-0.051023332102445466,-0.09469072615594874,0.031937375825557224,-0.00841191783979945,-0.0010315841613129392,-0.015048275725216371,-0.027309445863480015,0.018956231605187477,-0.12070950260210038,-0.027551521258076868,-0.031633263445610335,0.023300371337714725,-0.11610119565242573,0.020861335492949534,0.08987651086234126,-0.07775974913513738,-0.039452254710099645,0.07647237442189428,0.004968153015392641,-0.026681911104200227,-0.024390216768547576
QDPR,0.04864744906361674,0.15216732822369985,0.020848825824483667,0.021777538726753382,0.0630820858811314,-0.00015731578655754205,0.10812565295929281,0.06101260722156717,0.0635005527434096,0.021933916637240314,0.05863150914288586,-0.16132277810202106,0.04573661825846963,-0.0003824838075899886,-0.09637398667806563,0.11246597344748777,0.08332554280142479,-0.023214028600100325,-0.015668969642211688,-0.009772943789964662,-0.06459375167075253
POMC,0.01293399074754049,0.09638455964623563,0.12552486540839966,0.03004347700960057,,0.001883247589803641,0.07857252340323508,-0.005427409766185253,0.0015837451643313076,-0.023437476621735103,0.034782650169439454,-0.09337551438739182,-0.010635655325271904,-0.02840333983914739,0.05970223291937323,0.05563057325063731,0.01331052387554045,0.012260286631684717,0.031142077871990664,-0.004014530206168154,-0.06082926633848525
CCL18,,-0.035740878136522145,0.01539637736850407,,,,,,,,,-0.033183455847457924,,,0.051993943440254466,0.06543207599944974,-0.005874246056752848,,-0.07449264660854464,,
CCL17,,,,,,-0.011663322266431164,,,,-0.025192251499622915,0.03230538204381219,,-0.029356039322350248,,,-0.040316136670156544,-0.050531300169903176,0.01754712343371277,,,
VEGFD,,0.03350586419114597,0.025557003922705136,-0.009058172567829967,,0.01909853303778237,-0.023799229529813632,,0.007987617455509896,-0.005939268388237913,-0.0012256494379753154,-0.011988113476160649,-0.02043676393028388,0.03343532687144974,,,-0.005557682428490832,0.010280992643454896,,,
TNFSF13,,,0.06973019584166494,,,-0.01638682072434054,,-0.013282492049987472,,,,,,,,0.014693157293588324,0.020497966298787636,0.0625063322850163,0.0022792745855982604,-0.021221301942313787,
WNT5A,-0.0434859920451922,-0.05418829170219275,0.03883629873805033,-0.004275462062663969,-0.02756185295896879,0.072016592615156,0.05492790692365581,0.019683490689242526,-0.08268941403361797,-0.008473739034614637,-0.04213306793905258,0.04930534944833867,-0.02145955516655102,0.02654889257229582,0.07183464544155847,-0.015156445159923536,0.006395156110067848,-0.014447365433171877,0.01963947848740786,0.007559998744914618,0.05951376880668296
