,UKF243,UKF251,UKF255,UKF259,UKF266,UKF275,UKF296,UKF304,UKF313,ZH8812bulk,ZH916T1
IGFL3,,,,,,,,,,-0.005512829975357563,-0.01776087336523394
BMP1,-0.005275646700524156,-0.028969000760566542,0.05093739981608087,-0.0015654717176741592,-0.024572034226446503,-0.02406745155859965,0.018357510649507972,0.00534768900520345,0.04310613016739133,-0.013061788241138388,-0.0076566645240414115
NDP,0.019874911751044978,0.023347211079014177,0.059369393301764196,-0.06478456369410436,-0.0032473198430236962,0.011759453147464387,0.009461709921322328,0.02906003386299197,-0.03663904776977967,-0.027875143693329215,0.062088988215361025
TNFSF18,-0.021000985711922365,0.07542277092350885,,,-0.014292934762622654,0.07359651853632858,,,,-0.026681271062903782,-0.01603005419601451
RTN4,0.01712426479717678,0.0999609053958001,0.05438876627873673,-0.023510796489971064,-0.014301441377808177,-0.011164057413118296,-0.012828749484017523,-0.04169451152467926,0.05445703274632843,0.02295441201084968,0.011348661193031307
HEBP1,0.0005797552077327624,0.04891019951803411,0.02055309065560082,-0.02486902209384921,0.09703007386532807,0.025158296899387627,-0.019080988205590805,0.04170981257025908,-0.010535538542199336,-0.026952885762447077,0.010080149522585097
WNT7B,-0.04901653410210911,-0.024526045148959598,0.15539838792104382,0.026469480049902933,-0.01971399651045905,-0.009016296079739935,-0.0010858651709849843,,0.052742379765014835,-0.015999045587162287,0.005083504624243498
PTMA,-0.05394075912323889,-0.07219438151706062,-0.021203151442580323,-0.002421039024014963,0.032910638712835144,0.009746074746650788,-0.027695471422310793,0.016952990085912955,0.01844973385409158,0.09581091946411156,-0.06967587116663115
FASLG,,,,,,,,,,,-0.015403999410457891
CEACAM1,,-0.0010389305951095582,,-0.02775078686236417,,0.00895957344293839,,,,-0.011763021468656867,-0.021432402743952035
PDAP1,-0.02702629661900817,-0.007035489069667768,-0.019854043730148988,0.04270366422390887,0.03264850761517574,0.028741456147721733,-0.05657200698268534,0.0359249642164889,-0.012848778505049735,0.034485460977587416,-0.021149679395657834
QDPR,0.025287605269383215,0.08697263019599993,0.03572947352752357,0.011818404594357993,0.01195401939001595,0.04312376032281648,-0.046325332426974404,0.04012890550135963,0.003959876428274078,0.07353099089895647,0.022672167984718796
POMC,-0.023707141325827404,0.005442842177772539,,-0.0020041952334885088,0.07833325105152236,0.05649580032612158,0.06590835756873384,0.040760461924596626,-0.022929648879167968,-0.047675346220445294,-0.055728309693546155
CCL18,0.07735740766058806,,,,,,,0.023840337114943377,0.03752740703061191,,
CCL17,,,,-0.01608469929885337,,0.027346462384310447,0.03225431066434363,,,-0.03411065329263489,0.1951039919681549
VEGFD,-0.0317326508834191,-0.026959117610921544,,-0.017920131247770095,,-0.00763230619101998,-0.03359664690755799,0.011019709341407214,-0.01549219767834971,0.023741735027388668,
TNFSF13,,,,-0.01109486559014892,-0.013861165045356205,,,,,0.02223101099948624,0.17904053805428916
WNT5A,0.002354379802230641,0.046346107506028016,-0.00933601771008835,-0.017703367108240258,-0.004063694204361557,0.032331691268530964,0.004083572066999552,0.07369342004448759,-0.03860995946935574,0.012699252748815492,-0.017924404765014407
CXCL8,-0.06886101769767577,-0.025242919813005634,-0.005119339893594585,0.010031349566753972,0.09150202894535103,-0.03287339584333558,0.023209528209341267,-0.01478304856604549,-0.008457614775119447,-0.02573579885300653,-0.010130338896841222
GRN,-0.00489213872868087,-0.04435791083435011,0.09877484848036013,0.027201902474666178,0.016311059267307325,0.012070038415488048,0.029503718287286106,0.0012144677801489878,0.03387785181210319,0.03457831533589887,0.03366607123596634
MIA,-0.024712990413680545,0.017553807943153425,0.0033348316076502334,-0.03386898054143286,-0.010042073526349678,-0.014878493856982637,-0.01995861890611806,,0.050951471437151924,-0.010176059119455143,-0.016908992371909234
COL4A4,0.09394366074394933,-0.006303459653326164,0.05273930874182807,0.004019287458331024,0.09728253354972648,-0.01718396358918544,0.05793373724789981,,,-0.05254470406176154,0.10371735731079336
TAC1,-0.02518574796212592,-0.027828073528897528,-0.006303388434350925,-0.014696172807548749,-0.01568701099712887,-0.04858164722951461,-0.029204077663278483,-0.09463466712101386,,,0.026132942769453712
RARRES2,0.06436762865032218,-0.01786477160586609,0.05290735103316019,-0.03141691241252986,-0.022121977286851568,0.06017719905235116,-0.026420422267584197,0.0040393739755234205,0.021161896219116415,0.026115408241762277,0.001238638472591196
FGF7,-0.026281023264566848,-0.030428349178614526,-0.016866424464764523,-0.007480836624971042,0.015094426578513892,0.03103594274842049,0.004393330137061708,-0.02635657519259998,-0.02248054304815679,-0.026842932042521403,0.10164922648680914
HBEGF,0.01697616526974844,0.035867992764833566,0.011887862401530102,0.009029749617689459,0.02561381899699549,-0.0020227078710828377,0.02897280015998719,-0.038675303398509296,-0.005766040311815279,-0.020254124584656717,-0.02767924379337525
CSF3,-0.03194442583645872,,-0.025357423834851,-0.019171559090446433,,,,,-0.02327433507577657,,0.0988363522445187
PI3,-0.037842935987477705,,0.01774448281839418,-0.014219410892545225,,,,,,0.04357754459909899,-0.03193784086429375
PCSK1N,-0.03490843808088319,0.054912349694695835,0.050293682592503,-0.0008293334401589922,-0.043179256290839546,-0.02380005801454454,-0.054219877938126784,0.011860452428844348,0.05345504660680204,0.049099356474150375,0.04299298512483393
NTS,,,,,-0.01609990090100201,0.023311743998596052,0.02273340214442749,-0.024853218803103302,,,0.01701802835961923
SFRP1,-0.049322626756830516,0.002109033513684026,,0.12845525374945063,-0.02428422339165707,0.047187834508997724,0.026307269741059444,0.0012671838081555575,-0.00243247232527439,0.02485031513748829,-0.021262596141490373
CXCL13,,-0.007268738732737037,-0.018412490065294034,,,,,,-0.00901130111955162,,
MICA,0.038500443141467215,0.01061908456387189,0.04459248019931923,0.03630345528832877,-0.010623681080352936,0.014555462258276017,-0.006659105771015231,0.026302541440789844,0.03558069546107456,0.03415436702957087,0.04971869693535592
TG,-0.025464806098385237,0.03880425272436452,,-0.015145472646186186,-0.018583529787358007,0.09319145674286237,-0.018307334534228614,,0.014786738039327103,,-0.028667466828038637
ADA,-0.03765828813335228,0.01692632155927589,0.11602271684980299,0.0037476393771311424,-0.02471286955588738,-0.05574934164627524,0.03263142184753994,0.008009347750612874,0.003821730125665672,0.0008448400823654788,-0.015713255237093167
LAMC3,0.0034540856307121778,-0.045513850577860886,0.0641700011628437,0.028194006763744846,0.008068701165237124,-0.014856620991955213,0.011066064031832957,-0.001972838854330752,-0.017814904745562247,0.01880642400890476,-0.0052185831288838035
CCL7,,,,-0.010950152524827112,,,,,,,0.08941994167039283
NGF,-0.018404091792556077,,,-0.0014876148534471304,-0.017733671836189895,,,-0.024853235167298898,-0.017558414708590625,,-0.02823252086708974
TNFSF15,0.05279284662036866,,,-0.01219353040149448,-0.004487017105949258,,,,-0.014821554048332984,,0.05030675957988389
HMGB1,0.04865187454424227,-0.0068117579445170365,0.029633121107690348,-0.010408456462059512,0.0002315833511738441,0.012652141949283576,0.035106524579536544,-0.013958667935536115,0.001050577072396326,0.0429672472140416,-0.03452914128207093
ITGB3BP,0.027670535303045,0.04049184810276366,0.029806244469875485,0.007011343636086969,-0.0031319698124221878,-0.02014978433811377,0.0180353856449959,0.04376259450718318,0.04317059524109233,-0.0021768487177457082,0.02518397429164093
AANAT,0.020620226750988225,,,-0.011094866774282808,,-0.0002847768141722115,-0.017488762777054166,0.09156702726078247,,0.007331589241466088,-0.016298067961192306
RELN,-0.03173263441285997,0.022982468529798968,-0.028556333664205284,0.08630848719546984,0.03601924511671648,0.0073974337555248225,0.04472593894256981,0.07567200840638943,,-0.03295118165309002,
IL15,-0.03236454421289202,-0.03260698530099317,,-0.03850995246088767,0.08092172974321318,-0.0037059831480651716,0.018939269697443927,-0.012007967624591772,-0.03485117886089956,0.03701220887946415,0.04605170230638094
BSG,0.012653703744603974,-0.006161622044978872,-0.022302081340157678,0.0628332938401646,-0.03638538757981667,-0.05623603329469434,-0.020360930784668208,-0.01087223778231894,-0.01722028114959146,-0.032028325853355466,-0.004937599007218674
ADAMTS3,0.22077974812612663,0.0014670487999294333,,0.03030327622219378,0.05086723922522691,0.025588486318238433,0.022248883612137716,0.0842426424366161,-0.02907921642080055,0.036357343589642155,0.01150940193478538
CD34,-0.06310409921671944,0.04229641479608805,0.03799707151097544,0.045127175359080035,-0.023871038782948658,0.006413188561904529,0.04240692815560547,-0.06205600524260589,0.04456248037899084,0.01085121159461333,-0.00605894596067557
PLAT,0.04322596636452711,0.04590468371597384,0.05001205047627078,0.02171063030150543,0.0059181939805214925,-0.05123835596477918,0.0525686930334713,0.020813023996175073,0.010044841978607394,0.03128401796882526,-0.01093954749836963
NTF3,,,,,,,0.023668353972644704,,0.03980305330877432,,
LTA,,-0.018822266441043515,,0.1288866029379184,,0.06303425558437828,,,,,0.09563507823757074
CKLF,-0.025215283942310745,0.045649445872235996,0.039678529050725136,-0.03527045657378583,-0.01731323597327021,0.011278040973662348,-0.004968346167689344,-0.007003440499262604,0.004890594913798878,0.04053470043082369,0.022775735802698493
APELA,,,,,,,,,0.048332584074738644,,
CD24,0.08002394984646638,-0.022744590262725035,-0.057983028031577004,0.018451679819263735,-0.03212115032113824,0.06917606474429801,0.02784798371629659,-0.01682405169136523,0.007990917560144169,-0.018611534137408292,0.10234275968196642
HSP90AA1,-0.0019349986908575839,0.02277706853726833,-0.08160561325325208,-0.06186049555703148,0.017758599009421634,0.108726650333311,-0.028128524815391315,-0.034488678634337,-0.025187205647792133,0.12042609926151672,-0.06254444892233205
BMP4,0.021204015350648305,-0.019952705788872056,-0.03543446513370369,0.03841071340165186,0.03534253320857633,0.03163067483125878,0.05576341652054777,0.023380637684708546,0.05528606096351267,-0.04878213608190226,0.06112409508908464
