,UKF248,UKF259,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,0.04462428396600326
BMP1,0.0074312094730915965,-0.04532700558489035,0.025231762709093056,0.035475226820937816,-0.0432717175874286,0.03249118265094888
NDP,0.006099488200086095,0.008206308270442839,-0.015907086163862754,0.006583795424922398,0.03899894110414799,0.04531382186757088
TNFSF18,-0.029448341422624143,,-0.04155875546630295,,,-0.02100835508028306
RTN4,-0.034788313374435276,-0.05577376175489902,-0.10559838414871212,-0.02298147427291075,-0.000518237228692464,0.017413849748251085
HEBP1,0.05766123411585272,-0.029534541417407505,-0.1344588887558387,0.029479746038973652,0.0055736133341574585,0.046577818326605985
WNT7B,-0.025671815680777095,-0.02938657630482366,,0.06240496096785339,0.02256609685711575,0.020544521865739584
PTMA,0.013061102092272417,-0.0014293570647741704,0.016895484787802027,-0.044458093708313724,-0.048040471022681525,-0.04488788469505069
FASLG,,,,,,0.07886939785526487
CEACAM1,-0.00023994523015611276,0.05613643886225776,0.002941390034077613,-0.026897261722104982,-0.015175140095861262,-0.0017421774220096758
PDAP1,-0.00983283550477093,0.03825067908556154,0.1005605424543205,-2.391854372838518e-05,-0.08130599677073576,0.036554066612860654
QDPR,-0.03422187352280351,-0.0012028017036016174,0.0020836031660112263,-0.030839731846589804,-0.02767687067978816,0.09120968742196311
POMC,0.05213515267887901,-0.002225475813724097,0.08223087356954648,0.15207880179952582,-0.013225728292099575,-0.010596514458762318
CCL18,-0.008715894678501597,,,-0.01907060079437691,0.032509801990357294,
CCL17,,-0.01966802743569782,,,-0.021906267415080193,0.04629276657142764
VEGFD,-0.023389578211724507,-0.008972851489639054,-0.03972783535303988,,-0.015175140095861262,
TNFSF13,0.001638385318534385,0.00794514913945193,,,0.09623363252208583,0.009481012138206216
WNT5A,-0.024075037378593317,-0.01505508408565228,0.03754464938368209,0.06850432365908045,-0.027437697881459652,0.022662523545740356
CXCL8,-0.027701328979701012,0.03023818527986549,-0.005188186752154656,-0.033576795235549135,-0.024939733936040855,0.0037258244976753545
GRN,0.0084154882582803,0.01606995810001355,-0.06356315604719079,0.081734171463765,-0.01899326178697307,-0.008113582280645985
MIA,0.1327212324412433,0.00021906921225047188,-0.04624866536589441,0.015116509763512096,0.01819800258517392,0.06202104863536333
