,MGH258,UKF243,UKF255,UKF259,UKF260,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.024544931569947533,,0.06062047238619476,
BMP1,0.02651745047553073,-0.004951469393726401,0.049318581585486514,-0.04382481021126844,-0.0014787654751377635,-0.03997081763856902,0.03612146482613651,0.0017787135058167888,0.06617342384406111,0.033135473465327005,0.02930691586460704,0.08596169788003262,0.07848637630468772
NDP,0.001880883955537403,0.0522535145505889,0.0158661451756367,0.05392008962170379,0.09445136197112275,0.02387820993066778,-0.06150338156085712,-0.003270454317465851,-0.008745804751541351,0.009478511177686439,0.005343853058015309,0.041133947345187355,0.06345385949652632
TNFSF18,0.0838018907724185,-0.018372679644548768,,,,-0.026346369644958612,0.007949492346495314,,,-0.025312754684602437,,0.05879547769419878,0.07960725030257927
RTN4,-0.02486488807648764,-0.023782308673856598,0.017561484321354077,-0.04671196439270498,0.01191512528328203,0.005386079017175499,0.020191174195937713,0.02848438251344184,-0.042656324807674194,-0.019363688625953047,0.019666054656932476,0.004700561746939976,-0.010874602883529852
HEBP1,0.028283188680341784,-0.07638284870652017,0.011619824793199673,-0.005802015621865429,0.056174499866944116,-0.020282459563943707,0.022752965107210282,0.020845896586785623,0.04639654333579291,-0.02757872588837994,0.01388373435497905,0.06756580679881198,0.002041393606285356
WNT7B,0.06620293944202534,0.01739784710251468,-0.03484532184149781,-0.02612625098305784,0.057076439828366125,-0.003185685621600904,,-0.03139835667390247,0.07154601990085287,-0.013815917373761791,-0.02538518431467779,-0.04766600812431193,-0.033237923475351226
PTMA,-0.021322946491771223,-0.031492985895266584,0.0475268169414627,0.04090715040496769,-0.07161041080109268,0.04498363753289553,-0.021230983002606185,0.0251107190936571,-0.07939982101833946,-0.008583342873431246,0.03923809731875904,0.013749427364059546,-0.056621975303208366
FASLG,-0.02543526815886348,,,,,,,,,,,0.001206476642769774,
CEACAM1,0.1446398191262138,,,-0.020363655475333985,-0.024339467355830854,,-0.01856894152147451,-0.02815854918356845,-0.024485765512009365,-0.03637178579441598,-0.016848516024168116,0.04993064055191575,
PDAP1,-0.02623332022548183,-0.014818365277129927,-0.014067140203824529,0.006516705303298855,-0.005293062888534246,0.0459161906221471,-0.001464917935611325,-0.04753995106650995,0.01587225885722762,0.08508405275261324,0.009251437727927093,-0.016859904617954127,0.036794770610111875
QDPR,-0.06435702185265964,-0.014994534279277253,0.061871831095409516,-0.03637666591159007,0.018338434567772247,0.008386766283045648,0.018763338608776898,0.03233300673092262,-0.05652099882635702,-0.05208343625485713,-0.0106445701373644,0.06407503569897736,-0.005004430441572089
POMC,-0.009977201972723759,-0.034690685324535106,,0.014253665248539214,0.008704286630002419,0.06647194734162795,-0.013492328627867554,0.03861441326129511,0.0588624146841375,0.04705115522851549,-0.027561958899591198,0.0020854976615441658,-0.022062214807019177
CCL18,,-0.024639274082713637,,,,,,0.051182546553622,0.12355803666176868,,-0.011368685768420827,,
CCL17,,,,-0.01748593697328267,,,,,0.110551615286193,-0.03236107443653488,,0.08787995241745589,
VEGFD,,-0.027761260207057173,,-0.01948126475536904,-0.023286624310237432,,-0.0555831281512359,,,0.08697826127286977,,,
TNFSF13,,,,-0.01206140797734507,,,,,-0.007359072763882925,0.028555677558915474,-0.018919754264881627,-0.04107509000242752,0.08512554129753115
WNT5A,0.012191620735140154,-0.029382835057802252,-0.01872599097018159,0.03047375071852417,0.05749086426169763,0.013770115092724071,-0.0006623579678832389,0.034954242204403844,0.0076112353344172995,0.029613377475758523,0.049806359278086895,0.022532452964626876,-0.030655216614843866
CXCL8,,-0.08894941012518169,-0.0511539749570714,-0.030085114226700144,-0.032318019064681965,,-0.05924766060273366,0.04439356827076291,0.025512214780222434,0.010568764030666195,-0.030288144987585305,-0.04211120285217369,-0.062283166110243704
GRN,-0.007020817360676128,0.021183016710056787,-0.004522168523073358,-0.05079581122568295,0.020946525036614858,0.08238660498227006,0.0676847953387666,0.03990990688630426,0.047764702491108105,0.015808666382497883,-0.060738001803358255,0.014570643841413029,0.04823516572177468
MIA,0.021441158966564837,0.057375827036842804,-0.04643694950054904,-0.004271912855954592,-0.029062254653338622,0.1591426252685657,0.04248238444774401,0.0804703751361991,0.04767416731896065,0.04417086271812679,-0.06868918742938096,0.036633201784197315,0.05898768460661598
COL4A4,0.019013834131739134,0.11458373777480285,-0.005206010753021731,-0.006989827898211749,-0.02902089227065928,,0.0049235631968389875,0.0036104622424161913,0.04607179722314414,0.0035938334099049705,0.012539177247142205,0.025117966212614105,-0.034722263740896195
TAC1,-0.025435254320580632,0.07108923459862593,-0.013499669902761682,0.03577610636920017,0.002018890568379353,,,,,,-0.00395187443387071,0.042708628337213485,-0.030144404452036866
RARRES2,-0.03598256537817154,-0.04741632595688118,0.014615673807216649,0.07711065618553781,-0.05394047261379064,-0.0819172808113682,-0.016078548224894212,-0.03154290979147377,0.004625273939061227,0.05378438692509005,-0.06091077211553948,0.027561674982587336,-0.019442257692313364
FGF7,-0.038878883942871985,0.011362622948962236,0.04161902813557399,-0.030995445680291694,-0.036559836786539776,0.038131427069636965,0.05496940857131362,0.1056575738965727,0.06244875423152861,-0.007227987781990623,-0.05912403761566598,0.12038774881648368,0.015024038139786595
HBEGF,-0.0352950501793383,-0.006868687179645383,0.012587167621820801,-0.028602992048337918,-0.02875230631684887,0.017203829632116027,-0.059276918434609534,0.0729508569861861,0.06802156143662848,-0.09248039892564057,-0.02428866186330831,0.003047051128787883,-0.028883341431760443
CSF3,,-0.02794653119491978,-0.02473382354383437,-0.020841712220197272,-0.04911850934606757,,,,0.04036084168333355,,0.035914252649310495,-0.026540625006433435,-0.03652384867686786
PI3,,-0.03310683361459467,-0.03836876375827873,-0.03596650298333078,-0.04082488080445258,,,,0.03540472270776051,0.01008088651497174,-0.045023721367067435,-0.05766396088071399,-0.050981845624000176
