,UKF259,UKF275,UKF313,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,0.0011003655962991475,,
BMP1,-0.009447328541484341,-0.02211759513855215,0.06634582130343994,-0.02688291509153554,0.08509956044875355,-0.02686177622759401
NDP,-0.028058837938450085,0.010712288165230944,0.02626037741346506,0.021034073791875062,0.020459770442226157,0.0644702302861028
TNFSF18,,-0.010647509681371023,,0.05569856617869569,-0.027630986482531317,
RTN4,-0.002358546847242631,-0.026259117617810048,-0.06161638272618819,-0.010293977856375796,0.008706836297881087,0.025666143629455
HEBP1,0.0040142828468081385,0.03126227941120415,-0.00844322129419495,0.044861509564627436,-0.024277737913544865,0.07700093404445633
WNT7B,-0.029651619121031366,0.02455928265582419,0.049702433842571656,0.17170261684226173,0.05266823298693518,0.06434168112404802
PTMA,-0.012166145809333416,-0.04770898625464446,0.07211707598340862,-0.03575393135532969,0.0916477933459167,0.0004893549423876593
FASLG,,,,-0.01717463426781023,,
CEACAM1,0.06792991148851424,-0.016745996129576765,,-0.023895981089033742,,
PDAP1,0.021185286018909403,-0.021444110507339766,0.07608577052750344,0.034820538907822135,0.014813927207785417,0.01884758938849305
QDPR,-0.02427237435844232,-0.028639601556117028,0.04930800143049102,-0.0008760111259067532,-0.07017092322701063,0.10840521869970993
POMC,-0.0017723945611732826,-0.012354528249030876,-0.027201867159178304,0.012059268051296184,0.024064077982343897,0.05772803411445581
CCL18,,,0.012819141171941347,,,
CCL17,-0.02502890878760668,-0.013279517579130084,,-0.015566876915393891,,
VEGFD,0.02464091965079197,-0.014148202783512946,0.06513820928244245,,,
TNFSF13,-0.017264381118171676,,,-0.025364926619212004,-0.012463531611630645,
WNT5A,0.06832991812925282,0.013733437807875443,-0.024934633128361975,-0.010649877793588933,0.10950181520112814,0.12392642982007691
CXCL8,0.025739746962894314,0.010968642121369306,0.02620739127082305,-0.021966115406708724,0.014760775110777393,-0.08640197718530593
GRN,-0.10325930390111952,-0.005070942257781727,0.024584457394086698,-0.05992414030245372,0.04971954846619434,0.006405355939119508
MIA,0.00438683000370542,0.06969671978442826,-0.02492479328226768,0.051788553072054974,0.05246127469193042,
COL4A4,-0.030622297222643508,-0.013864227203243833,,0.02868690295306938,0.1366988660624382,
TAC1,0.004603472002644704,0.02404375233438298,,-0.0204642426119547,-0.011105894577481073,0.04335838701101974
RARRES2,0.027759200550672363,-0.017623715611071747,-0.023752513095117285,-0.009750807679719597,0.012064005090890336,0.04946440737971486
FGF7,0.013551397094230533,0.05160604881720737,0.08142466264481009,0.006658831722940222,-0.037671709703909345,0.03688176076608196
HBEGF,0.005857263906257214,0.08134707793163004,0.10965011691518894,-0.002233657879571806,0.02211458246919452,0.03176770925035841
CSF3,0.04125671555197753,,0.0005347987378608117,-0.016389519917702468,0.06850667472812796,
PI3,0.06390071587968059,,,0.011260976668638227,0.07126305071445688,
PCSK1N,-0.05618687673641225,-0.006911665682296294,0.06136142823443324,0.007922776808291333,0.004053038335530191,0.05302114663141247
NTS,,0.0013031619573415033,,-0.006561743684992941,,
SFRP1,0.07289045620919495,-0.007908034943284728,0.0726005138541511,-0.023706655822534537,-0.008057174204203968,0.01895359522018079
CXCL13,,,-0.02748330347739267,,-0.028664001112902068,
MICA,0.01898126327828636,-0.02067901643564764,0.030046961878079162,0.02723000071082961,0.049292295116907095,0.010206089011422856
TG,0.025109093633803446,-0.013378611417638507,0.0011185157402145162,-0.03196269001554772,-0.0315878775608762,
ADA,0.013999281512642172,-0.028521138288631006,0.09537696461915378,0.04964127283348138,0.044697225816307556,0.17944349627304557
LAMC3,-0.03005183368137798,0.022397826092280953,0.09679699255900728,0.015432937057273124,0.07497966920502362,-0.049970709731989124
CCL7,-0.017039197541841297,,,-0.017174628160715286,0.02643219467184138,
NGF,0.00472002910364017,,0.005149726585653761,-0.05142031907810449,0.039448428705272265,
TNFSF15,-0.018973979839316642,,0.06983944186188829,0.00541743095715303,0.017029276795559448,
HMGB1,-0.04342834079933032,-0.05643652746914572,0.053806714145743416,0.04021446054127631,0.06860320789091125,0.029353206900051294
ITGB3BP,0.02298141537371393,-0.030937877757960582,-0.009348159535179795,0.05296022865044404,-0.02399679790189052,0.08280810623586046
AANAT,-0.017264382960766208,-0.012031463432730795,,-0.018171472813440784,0.06910003079276328,
RELN,0.03629124576237436,-0.02648939870959768,,,0.015045139249585912,0.061186902414116826
IL15,0.010030869293549839,-0.03412645718673844,0.006989182663038867,-0.010803852282602323,-0.05042482983455907,
BSG,0.04003183720666307,0.02478802263463758,-0.059139353507866345,0.06392656211087441,0.13924187217332237,0.08570329645791697
ADAMTS3,-0.012570432283911559,0.0200530007762088,-0.010415734549143879,0.0004230085330458117,0.013243903239224822,
CD34,0.021407814861506422,0.0002787037447779532,0.09235716161264701,0.015809976970118007,0.04720893682481295,0.09906906169851867
PLAT,0.02625342666159156,0.04588564444384212,0.0085361708987494,-0.014532194007689056,0.09625381635936905,-0.026138937850696462
NTF3,,,0.03388046402131604,,,
LTA,-0.021838689352729222,-0.011587553160305459,,-0.024456063900213924,,
CKLF,0.0001710649428826228,-0.03284650155066421,0.0258080598016197,-0.010030697680224344,0.008998066306398225,0.04647501704691115
APELA,,,-0.03241347316036224,,,
CD24,-0.00321365338474681,-0.04582425974688454,0.08165157567773686,0.024040558762266094,-5.152320168194704e-05,-0.05195272888844988
HSP90AA1,0.034661333313843856,0.002988593886886719,-0.04579388652482506,0.008704666544722416,0.003967441048100596,-0.0682279602672972
BMP4,0.03616224709432693,-0.03323646746246828,0.009017325253023747,-0.0016844862947880423,-0.023736213130110595,
SCGB3A1,,,0.05300991448680416,-0.012928599289935155,-0.04335991367680004,
IGFBP4,-0.05754696367162547,-0.04823670743381207,0.07181011591338135,0.018702446196835407,0.0809974319521148,0.17623674671833955
RSPO4,-0.03342794020151076,0.06741004649812249,,-0.032254988298454954,0.046782860729473394,
LEFTY2,-0.01803556482766319,-0.03318921640892202,0.01935459913266737,-0.037358161693508474,0.11218838938227117,
PF4,-0.014866364163048394,,,0.04606929256822677,-0.021313760823351666,
