,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.019110328032314827,,,,,,,,,-0.028066039995064497,,0.0270998595175755,,
BMP1,-0.04160958485156181,0.02455960434362073,-0.015694541056549743,0.06202255649682472,-0.030926938460578986,0.02587299913425457,-0.054725267925204504,-0.011669177787661132,0.021548552596334217,0.02463520900542355,0.05655772451898284,0.04930924169432233,0.11019775823320596,0.03355875870328467,0.026543312440234668,0.08127946024898457,0.022781336966406582,-0.023340440024793463,0.11519731707666898,-0.022337517463954112
NDP,0.0308231648495426,0.13953763948035122,0.023339660424733573,-0.01185537694802789,0.029134858678894957,-0.009112651665405884,-0.03510499487263976,0.029919261458825498,0.059176571734730676,0.027723642453547002,0.10531797582288406,0.07577600948678768,0.03088031319284329,0.12055950088468713,0.07094491754408162,0.031306898022288795,0.015063954297194444,0.05892669524325649,-0.015387487766770507,-0.0032127291266168074
TNFSF18,0.054260791212028044,0.04017891424153092,0.0024265604677963836,,,-0.020025633422095533,0.026900499782030476,-0.013383382236836931,,,,0.06058692203034869,,,,-0.011874451162995897,,0.002178916337856507,-0.01714003540578802,
IL36G,,,,,,,,,,,0.028683226543719027,,,,,,,,,
RTN4,0.08625302857140776,-0.11838797242261934,0.024346354961935487,-0.019788178480357018,0.07306380765247622,0.10468011600597897,0.12101373439079982,0.020048261552113967,-0.01719641297129708,0.08761123568019649,-0.1058144861759798,-0.1031407093342291,-0.09187971172266428,-0.11332175124069042,-0.1270775077626709,-0.12191795291300368,0.023281761370130463,-0.025184646730930422,-0.05080162726552218,-0.025622546470160837
HEBP1,-0.011885608613255525,-0.06487535422053524,0.01672377253398418,0.055917669168671816,0.0045550516656704225,-0.05382456899776615,-0.008798270941485338,0.009591740378364754,-0.033603802557828175,-0.010237327415947035,0.0024037440914546145,0.04883142417875618,-0.0022025326050959955,0.004598407328425058,0.11991760638220872,0.08596985376323862,0.003379946529329708,0.08359429749660242,0.04585473528697658,-0.005477941619309629
WNT7B,0.12246659972177118,0.03044828556994649,-0.03057750181483035,-0.009092986883210571,-0.03773034156526724,0.0885847721588013,0.15835640670246504,-0.031080377110756077,0.02416454225505539,,-0.050627563023414764,0.05196415945626266,-0.07738700953323817,0.03590980841372403,0.0060654281740723185,0.043890299401693145,-0.037321464466120786,-0.014424677291990913,-0.0029118898771766347,0.1969705891131508
PTMA,-0.036667279924686796,-0.11628533624786298,-0.0020198774154862797,-0.01895603492809622,-0.03130732333928046,-0.06443385742901431,-0.009044433607601546,0.054594058464312284,0.030488616481412153,-0.08230967540257203,0.047747915017607605,-0.03888947021313201,0.003195466595952559,-0.139667876074189,0.02178232534796196,-0.07534350606215301,0.05152365949799485,-0.08041284596813301,0.037460913544313454,-0.0524873666634914
FASLG,-0.01648514553086152,,,,,,,,,,,,,,,,,-0.03424322389330598,,
CEACAM1,-0.02288976884243848,,-0.042544905094411674,0.10010978577623875,-0.01456208555422681,,-0.03734417835597883,0.0698737905926683,,,,,-0.02363808664913966,0.029899712655827738,-0.03820897645724937,0.032394697758176105,-0.030535513946204622,0.016456577683211893,,
PDAP1,0.08766223278129086,0.09662947241900581,0.044967778661114656,0.021033905643479588,-0.030706427728852924,-0.09096376478946125,-0.08103277292254321,0.049714052599706085,0.028827633641408095,0.04137504873833525,-0.007467689296439451,0.07705506389120496,-0.08307702963218652,-0.023472090495633643,-0.0712943189472355,-0.024487519512265677,0.019047757098504307,0.02195426174008463,-0.030149973524064108,0.07289490866368255
QDPR,0.009377444241960489,0.13926455919847625,-0.03606416422669136,-0.03422067310562536,0.03071052498521078,0.08326319375333263,0.0271375152123345,0.013657503986561613,-0.011805086950552553,-0.09658699225784835,-0.04896858474657921,-0.03656953428924566,-0.06319539605787426,0.03690852785525465,0.071778645095886,-0.07101660810159643,-0.0012212418322203047,0.03756746704741978,-0.06985934835410035,-0.010472678314192524
POMC,-0.009636200717198076,0.05655489052019643,-0.041697254833957156,0.03396345309026221,0.0976244403851414,-0.022607930677137317,0.05142225361102837,-0.015529018414688048,0.014339722710362799,0.05206170715534767,0.0005018863356624706,0.037257867281178005,-0.06539129977887106,-0.021401136636035305,0.025857849284012222,-0.03396361986062549,-0.025163158909134765,0.033588638716507725,0.057780881260264455,0.03009409539556341
CCL18,,-0.06480664364436096,-0.04592942671289727,,,,,,,-0.04669618018847571,,,-0.033835456995786564,-0.023750804253007123,0.07236747902711405,,-0.06225286918437959,,,
CCL17,,,,0.06467276946692307,,,,0.016476068675831648,-0.001311750318594231,,-0.002634915656330304,,,0.011480862569940874,0.04188049911428896,0.04552757878524406,,-0.016403841449563424,,
VEGFD,,0.019166332486530966,0.015053948181772615,-0.025815048716323646,-0.01393217897981563,,-0.032014925680462554,-0.01778357676887806,-0.0012453084790926374,0.028326009788205066,0.06641648783792721,,-0.0921100213919024,,0.0038223475082793234,0.03126744081126487,,,,
TNFSF13,,,0.05485652433673338,-0.0159828347097847,,-0.019420686836643324,,,,,,,,0.04364839878219386,0.055598074504455815,0.024403143210331067,-0.012361696239284169,0.02739651287391471,0.09538162381227216,
WNT5A,0.00943809211700729,0.030658191219802365,0.053131985162289064,0.01749206097293367,0.0036670763597169915,-0.10307160460011118,-0.02939121063360559,0.06636126911335362,-0.02190115122407839,0.051601971140883024,0.07939330678695103,-0.01791264135122411,0.02248013896599378,0.03935154840750863,0.05708448410529527,0.018188939150866695,-0.028823214098381723,-0.024079293487731884,0.11521620322021701,-0.017965332313975815
