,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,-0.005667651396507663
BMP1,0.04174174891522256,0.06615613142503562,-0.041646160466711095,-0.029841129563042024,0.048773401512332434
NDP,0.043356242897269096,-0.034137836390118845,0.025414573666225366,0.13723642421353505,0.031088138613247055
TNFSF18,0.032779526375782464,,,,-0.02865437623695568
RTN4,0.07273453186305563,0.07775071001635664,-0.05792194659577635,0.03254993213811315,-0.022327360844690898
HEBP1,0.06146723492741014,0.01419221295801479,-0.009833944003002349,0.04347142328229496,0.07252611365206034
WNT7B,0.026400631081556335,0.033439714202774896,0.07110439829857773,0.1462944254874422,0.0674036704592427
PTMA,0.04175578812525562,0.05767930926120881,-0.06874264079577486,-0.035953861637138824,-0.04563783636701294
FASLG,,,,,-0.02043587339883885
CEACAM1,,0.07643428111417308,-0.029910584415965776,0.06268779183828474,-0.02843351635101827
PDAP1,0.024986875229142013,-0.04792618187982944,-0.05972542532319914,-0.03798589141803507,-0.03601552216811235
QDPR,0.05107290289752451,0.11429008001188551,-0.017463847750139185,0.026877658166994032,0.06092434937577793
POMC,0.07665405128296954,-0.04436007423508862,0.08689855913368214,-0.03736347707579994,-0.01486339527341124
CCL18,,0.08806057485470287,0.021251657030679504,0.06927365849671142,
CCL17,,,-0.0212201119301478,-0.02874861747709016,0.0034384883828158996
VEGFD,,0.10263945769870175,,-0.01991504483675051,
TNFSF13,,,-0.040718207484242305,-0.03124876431363603,-0.01566465413922032
WNT5A,-0.010420293656181136,-0.021450922843644225,-0.0011885906567513013,0.008875252236871951,0.06689907077506109
CXCL8,,-0.03398057582134846,-0.03708759508995246,-0.07462639798969047,-0.028547693908437137
GRN,-0.017228835867580665,-0.019950837729775715,-0.020148604693538477,-0.062153750794275,0.04820945943985561
MIA,-0.06825162513013665,-0.03781183493394433,0.1765366433878045,0.027140689682294918,0.033481091692504336
COL4A4,,,0.1775074318422257,-0.0059661556730881,0.013383734878862144
TAC1,,,,,0.02688908521270837
RARRES2,-0.02885484090721152,-0.04328165523664839,-0.011256296357649282,-0.04238815804162693,0.03555320032663498
FGF7,0.0721690733956904,0.064458279855978,0.029779392705764133,0.05094178161861083,0.04346354828212611
EFNA2,,,,-0.018927917341248757,
HBEGF,0.06239930692700967,0.05670215096440074,0.06385930788376272,0.0007532645419682894,0.02526033474504072
CSF3,,,-0.01885792920961957,-0.03436061357966715,-0.019501676069671525
PI3,,-0.004551678919163676,-0.0927503174544874,-0.10460756718508869,-0.042370663302665486
PCSK1N,-0.0062551236543448045,0.07426108768694724,-0.021667070615895647,0.0010652425067554881,0.04983361930671975
NTS,,,-0.049504312200791246,-0.023060075453911002,-0.028879322986891654
SFRP1,0.01820090779521862,0.0925709962379373,0.02361424181491622,-0.03737321109658728,-0.028208240684762548
CXCL13,,,0.044242651303503716,0.012383051253941117,
MICA,-0.027300710185445595,-0.010833424930402055,0.06202080088689318,-0.020508656547797814,0.052555544452669335
TG,0.012749873873909918,-0.008625588478876014,0.04883526880579345,0.0457001774091179,0.0310390480422626
ADA,0.01566540420581951,-0.04303067469864794,0.004476463401477088,0.03893721381664674,0.03500055456000353
LAMC3,0.04935485644897837,0.05209485304639748,0.0238444637630105,-0.000582046987266726,0.022325920716321796
CCL7,,,-0.03180405653429569,,-0.0005972471222384123
NGF,,,-0.011879407561250234,0.09087043377336036,0.0008576449758969546
TNFSF15,0.06972311864194133,,-0.031005383833402993,,-0.0036193750176804155
HMGB1,-0.0678704741479175,0.007550881531361383,-0.09443964602581967,-0.01866808592430409,-0.08873027629736686
ITGB3BP,-0.02311976165478263,0.09510003644269531,0.004669565375233434,-0.0021986303001155756,0.02612036556997437
AANAT,,0.01984731966895147,-0.012020192807982001,0.037937596332204705,-0.021621998587878232
IL15,0.006438226140984161,0.05842177084803488,0.02822723586437897,0.09584627158515654,0.06726224609694434
UTS2,-0.05514078371931164,-0.10913282412075416,0.05014963170690066,,
BSG,0.075994177194412,0.06790989383014198,0.013949995122109841,0.0400583337066016,-0.0005789653123206587
ADAMTS3,0.09349346693428968,0.026013538864223883,0.044671583014883935,0.041261007856673824,0.06371126150177524
CD34,0.04181643999421524,0.056862556234717046,-0.0036101090685712644,-0.0016660370751209823,0.0175410185674026
CCL23,-0.02815349207488356,,,,
PLAT,-0.038502821733194074,0.0054506344874685276,0.023888212102651133,0.0823594192261709,-0.003944020325414515
NTF3,,,-0.02241202510314854,0.06601941082969759,
LTA,,,,,-0.000617425252914902
CKLF,0.01823911591027282,-0.002234393568443519,0.012953229874909286,0.004150908187347212,0.06774176928073078
CD24,0.09435324012127191,-0.04014795228235434,0.08440282150453883,0.050027388713618795,0.0625332498837044
