,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
DCN,-0.0001641756383121076,0.05781246249952183,0.04150112840123866,0.07422493051571052,-0.042045953159405645,-0.000719669140280924,0.03115996314051856,0.03823166942929445,0.08778396620325175,0.03004125514330211,0.015435429762168254
RARRES2,-0.015301065784730061,0.059267792754750075,-0.05137440089761624,0.06589011804413744,-0.0020112823766945493,-0.028552877927791265,0.06734202017583929,0.00401960883690273,0.01636798390250049,-0.052593417187747474,0.004940575214711397
SEMA4A,-0.010509590039920762,0.06114227809136394,-0.02117158800490693,-0.025583655835518873,-0.04022202989681937,-0.010358102253327289,0.016054111388040897,-0.005504544345237746,-0.0003180012090420718,-0.009185774066292268,-0.010567206568503264
GDF11,0.044079304691537535,0.03692691943281723,0.041225369832285835,0.039788790206981776,0.0659092961989596,-0.011953191119647254,0.006432005178309913,0.023612851547616175,0.021846275181232368,0.02834190401287201,-0.03130162056368495
GPC3,-0.021714636343540303,-0.009868045991572033,0.011619642280820007,0.001549656213458115,-0.013477034607531989,0.030781269445208537,,0.05064534813298439,0.050282690536557054,0.014965810099845921,0.07989194562419541
OSTN,,0.013680159054957458,-0.015318420953198724,-0.014644245320939818,-0.02082652460430218,-0.02355310621404831,,,0.03605249918061272,,0.09587901254119434
GRN,0.010508726408387457,-0.01896884963815294,0.03948792660809458,0.06549962291615996,-0.017647515347404975,0.0005815158714469577,0.065556963241116,0.028368225995860374,0.08712875720186386,0.08995225570021083,-0.00878206752647432
CALM1,-0.011375788262765633,0.03443427833804874,0.006092269080052293,-0.08397346695094174,-0.049390982560881605,0.03704347017182083,-0.08466976222309444,0.037823228758848505,-0.015090507614026595,-0.005315099422906497,-0.008678525263436081
ANGPTL4,-0.040170744706842,0.000600108207162512,-0.04118664036557137,0.01595192723401978,0.05843972683091809,0.015267120627941397,-0.033086038769199175,-0.06375083040559161,0.053406853041136154,-0.055573127782999644,0.018996021399539136
BMP8B,-0.00231082144666798,-0.02226621117555652,-0.025868758081082258,0.05419157538428178,0.057925437754365844,-0.012703343469632686,0.08053692500423175,-0.05728724361164333,0.05782073375751729,0.02538324936322729,0.003567439117714463
TNFSF4,0.03555824307288306,-0.0019006899728854511,0.016481878303839806,0.012044497944595554,0.03266208464842938,-0.017193670870878926,0.0028703651724612364,0.08392707437620617,0.0688511627835007,-0.013276659974226054,0.13503706633692936
RBP4,0.03673364387101637,-0.02874343386795836,-0.03070398615383368,-0.05589168212900312,-0.032776772472139275,-0.048282185023872416,-0.021117011348771413,0.0743676926678576,-0.01844271356356743,-0.004587778265489078,0.008767558382940664
DKK3,0.035366015012258965,0.01850169783028644,0.03432130184434984,-0.054623648086703336,0.00021462758425979737,-0.010784335273786213,0.02632212499769285,0.01959060721696074,0.13291186273949696,0.031277550690855915,-0.032229297248817936
