,UKF248,UKF251,UKF260,UKF266,UKF275,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.017543360760283986,,-0.03467268704572524,
BMP1,0.0442134063803249,0.029115618466568134,-0.03616470124189007,0.020571893843129227,0.008279108992052375,0.022101980974524045,0.012761666264213111,0.0452895833442035,-0.04502099683108161,-0.07414314950419759,0.017914884851041354,0.1579922394105273,0.017359920897281233
NDP,0.010330580017224304,0.0019436576250024115,0.02015806362676625,0.038452708569256415,0.014618714852628143,-0.08982654986729137,0.05541001906525393,0.10198390424022018,0.03905672072021728,0.004664209254462994,-0.06046038334350944,-0.0754117001278687,0.07679885640746158
TNFSF18,-0.03346924957156396,-0.024548852977132222,,0.0543339256425135,-0.013259368259214744,,,,,-0.018092158293578745,,0.0364740031511106,-0.028861148393898486
IL36G,,,,,,,0.011094302714330205,,,,,,
RTN4,-0.019421333800511708,0.047983871425713,0.016012240845714846,0.03626463612844126,0.01928942781121547,0.05225951271229514,-0.11871602321693193,-0.04209159312346611,0.01592814067776187,0.023741405610084875,0.011163894900495012,-0.03847992392803869,0.035421179207824935
HEBP1,0.0886137390235302,0.03825872585935899,0.0037772194164292657,-0.033879890758817734,0.021538858830261107,0.0790851776577637,0.008978411193990779,0.027771845975231857,-0.005176957492418398,0.07375434950941868,0.01449320916034693,0.06607738458714293,0.0004733087674793659
WNT7B,0.039580329825125556,0.005448287490837659,-0.07547859344433112,0.17323282337122137,0.04021622188138378,0.10273122250405628,-0.023751599678817552,-0.015714187608958027,-0.04673259981718471,-0.037832166609395285,-0.00905429604218617,0.013847919785670718,0.03110121054939982
PTMA,-0.0320238572311291,-0.020266811419900516,-0.06241093958279453,-0.07126968010140726,0.016852746688394798,-0.14445746481371088,0.06197859603689306,-0.09050526474245205,0.022319453812292753,-0.020652520424479553,0.022247143108103263,0.20792640627473571,0.0433585745241165
FASLG,,,,,,,,,,,,-0.01596536374916484,
CEACAM1,0.042035807349078726,-0.011702679962826815,0.0017982874683779332,,0.005768128334016623,,,-0.024744125278283395,0.14661629006932372,-0.025996542620981358,0.014440164195242074,0.07404727249876468,
PDAP1,0.02422275964937271,0.03230343063359766,-0.04719404973944788,-0.019762374986470127,0.027431101274636285,-0.1254295875742269,0.024074448079405095,-0.03156037461024516,0.010375363470762487,-0.009164360769165719,-0.020079957341222362,-0.028081009391885584,-0.0008485345247507694
QDPR,0.04122131895854352,-0.03140011270959204,-0.003614009367131166,-0.011978201980494641,-0.02520676728245,-0.06321653920423935,0.019823200272950484,0.0645649938095375,0.05647629655980384,0.009285120298343733,0.024982134211706846,-0.06355275403115587,0.06758427589216895
POMC,-0.0068934137872041544,0.04060400053687914,-0.003264705378850097,0.013047990428892361,0.02019595853004454,-0.09392438907311403,-0.03172503020179346,0.08548922566964201,0.09882748679858704,-0.005427987667589048,0.04282039489837288,0.06335444111818048,0.026239268684528402
CCL18,-0.02658320788670192,,,,,-0.08645250889912033,,0.06567763074600086,0.04163739826303927,,-0.04849692819935468,,
CCL17,,,,,0.00029271464595954786,,0.013744718800994597,0.057109695441719545,-0.02095139642871423,-0.0008843886552712211,,-0.02725653651236264,
VEGFD,0.025719645884698283,0.021135748828891698,0.004109065615290109,,0.013822179779041918,-0.05200915840034463,0.04445340721650764,,0.0077371808529848075,0.03860877629948691,,,
TNFSF13,-0.02006054809160409,,,-0.00020330316620283044,,,,0.018351798796015527,0.02341320901144162,0.01605704180295932,0.003315920666169294,0.01333757803464774,-0.014647922963106517
WNT5A,0.05745972875389063,0.036544242934766914,-0.043953771994774495,0.02877360554553573,-0.002272658476173902,-0.04750578789739456,0.08339875889732842,0.038503565039450335,0.027144503978890906,0.09195963578583932,0.015426971500220925,0.13172392570470792,-0.021520199611478153
CXCL8,-0.030277575112463456,-0.01569470090855145,-0.08959713843244287,-0.027460450743967035,-0.02748780274798173,-0.03479890987378062,0.04099002314330606,-0.05256636229666544,-0.12550913469019884,0.10916907074727543,-0.023214684034039652,-0.04769757051457187,-0.06831373924446853
GRN,-0.0282586005615355,-0.017769187379158,-0.008672900561305359,-0.018235730736023307,-0.03324068334356728,-0.12363098380911919,0.031802581138539995,0.03372690566671343,0.02279142851389485,0.007915829818569446,0.05660299464520794,0.15245235667778426,0.05190483320660932
MIA,-0.005572181180506679,-0.014906720378911088,0.017661111416050444,-0.0019158552504889707,-0.03250371925400877,-0.10956840014845678,-0.028975706532982728,0.19630729894965643,0.06014221884340212,0.01478487126283212,0.05884941420062317,-0.06660330714105056,0.004925043649223201
COL4A4,0.022317405387451247,0.06789944169470308,0.016055619617063182,-0.018368082254520968,-0.017265153976696073,,-0.02810751030958134,0.1343404309766317,0.014942371400476705,-0.03562975321278336,-0.012535205093435172,0.006070474936631198,0.024210120645937975
