,UKF248,UKF259,UKF275,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,0.014219960087201979
BMP1,0.04697446342795734,-0.011902712754938245,-0.003997427991073991,0.03979416680789392,0.03383088982155867,0.02776231331602872,-0.005679325350255748,0.04565641493693753,0.03342401377693853
NDP,0.03656236862070674,0.016650065918374278,0.015184463908062438,0.08021488154034995,0.0024191407418789443,0.06498860596156798,0.07919753342241263,-0.013921575809910535,0.014052784691208327
TNFSF18,-0.033469247489703494,,-0.010647509681371023,,,,,,-0.017970388598117573
RTN4,0.059413009236552974,-0.004146819776115343,-0.03140734881856031,-0.012666784745369633,-0.031948141062457455,-0.01698089557672907,0.04574393013251145,-0.029091009625028915,0.03261659998020166
HEBP1,3.35834732625053e-05,0.04360565838298872,0.01543323392227759,-0.019535071425276843,0.04177743037831781,0.06247673510840509,0.007511185432169558,0.03899374978445838,0.051498684848992435
WNT7B,0.0011036623812954,-0.02105124674995433,0.03736657587052374,-0.04598723980914165,0.05069227385700246,-0.018283794460120458,0.032687384346294895,-0.025860405098310637,0.012529931085084
PTMA,-0.05804492643016282,-0.025429011320187673,0.006619765223011206,0.08096179923491997,-0.0798694426697946,-0.05294501317947532,-0.05011343088400764,0.022463510307314978,0.019920835500682098
FASLG,,,,,,,,,-0.019999394854812193
CEACAM1,-0.021302258779139042,0.025766492775352687,0.10306006369799484,,-0.06701906232375573,-0.03459407009407532,0.0849393277337791,-0.017163926969733963,0.03504731635954034
PDAP1,0.015291312796580744,-0.06264475653576661,-0.03228284695646011,0.1041445525785422,-0.06636666571642585,0.038171066323094166,-0.05198676929465466,0.03162586989932459,0.0017543891579623473
QDPR,0.01132786901788296,0.033872321779184825,-0.009423753334938095,0.06957270624069158,-0.01336953432970486,0.04661624881093448,0.032773035762294546,-0.01053627997937696,-0.02470399977650448
POMC,0.11266543234477257,-0.009278732766817425,-0.012354528249030876,0.07011302516374247,0.08608151247143848,0.1511482251932465,0.05539141062836762,-0.000232538234884124,0.0712084762519718
CCL18,-0.0001881817932880799,,,0.035327504639687236,-0.0574653421946679,0.004270586785873141,-0.033538947257091244,-0.01041711604160566,
CCL17,,-0.014089307115568415,-0.013279517579130084,,,-0.024542818331687685,-0.01224698258328511,,-0.018127205111478494
VEGFD,-0.02658321467458135,-0.015697044004989627,0.20132805569337092,-0.025529648045086638,-0.06474113153674486,,-0.029381210267420015,,
TNFSF13,-0.020060546843794155,-0.00971848872031471,,,,-0.01847018601409813,0.07256431812789148,-0.019273939617110852,0.02630877211059699
WNT5A,0.021294413363784,0.0603824718791058,0.003777685893465256,0.10142862413516106,-0.034564520835312425,-0.03419146302118367,0.043882846800507636,0.03902157034633944,0.014963051292892186
CXCL8,0.001721566530677934,-0.04919475435963325,-0.022143124384569543,-0.010817259088104634,-0.01918880773509481,-0.0348982639866007,-0.13227351141369723,0.0916885344868898,-0.040748331919813724
GRN,0.08013556751296916,-0.016140718362449274,-0.024715753024311695,0.006635628965013254,-0.05724487377441776,0.07878428028771664,0.08139103511176843,0.0018154266509722526,0.009735354810625993
MIA,0.035984206333699045,-0.01841525780481096,-0.026101067462027047,0.008804182779972396,-0.021284508058687528,0.025566519250999318,0.010179597945617149,0.014284991637122421,0.04218011875823151
COL4A4,0.010116424760335632,-0.007094859147245689,-0.013864227203243833,,,0.06508825429016303,-0.011380727503824031,-0.013256609898893056,-0.004412499295629189
TAC1,-0.027409085484776045,-0.03781356644865406,-0.0013602641274620818,,,,,-0.02961266372508515,0.09716774026551027
