,MGH258,UKF275,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,,-0.01799641477845912,0.0035215989170082423
BMP1,0.07374996655432607,0.01683436935000533,0.028580698912296282,-0.14403578473685014,0.016772026799661333,-0.00213946750909685,0.015889419208874687,0.030381475585402565
NDP,0.015456318682169382,0.012788665625282795,0.03873673524652442,0.13881313116321317,0.017781675200873957,-0.037898065440885684,0.020210690929799397,0.02599213929064582
TNFSF18,-0.024278993747163576,0.13819540661565247,,-0.04352262174253315,,,-0.018559384905649724,-0.01889338085797909
RTN4,0.04560609930835646,0.028168963812120203,-0.0017353933736068757,-0.04821044232891904,0.006201076968931504,-0.012672215004009278,0.003333280337360222,-0.05502988256406666
HEBP1,-0.0116142162069841,0.03892834448017732,-0.05937474608457523,-0.04266280386062803,0.036043277773868974,-0.001384570339523501,0.012274172889976577,0.021075727874719445
WNT7B,-0.021389033052020705,0.007964503658706802,-0.0007954299660178625,,-0.0325013531870036,0.039980178016676006,0.013601306094614135,0.09205023785794612
PTMA,0.002419385315641483,-0.02801372730693304,-0.010858033441054496,-0.10142064435441012,0.012628270013688672,-0.027753118993262136,0.005367802683832994,-0.03930488045746835
FASLG,-0.02138903909864556,,,,,,,0.3361235158486225
CEACAM1,-0.02969886797864922,-0.017455976703376893,,-0.030603789499425167,0.07471245196804224,-0.01827203609456338,0.108933981927986,-0.004145280562559635
PDAP1,-0.010517254952831434,-0.013903481151740222,0.04334392478678645,-0.04049319533927806,0.01380863116657571,-0.008073247520914758,0.07213061791219422,0.0014022962758666433
QDPR,0.055396063134639933,0.006736499054782448,0.060063182874629216,0.06948515742533432,-0.023016370155876015,0.06240238096298757,0.05752395561179741,0.031373911121072
POMC,-0.039718133010965315,-0.012878323608077006,-0.004873632080342956,0.0013857820174423786,-0.019162527789555503,0.02677245744845931,0.049646082053107554,-0.01378280652103253
CCL18,,,0.039311611819487814,,0.05828574814916955,0.024747202024147832,,
CCL17,,-0.013842529742614799,,,-0.01292061141827593,-0.02637683121058432,-0.023727233322154945,0.12248531596811355
VEGFD,,0.1160092054221803,0.011578109313708222,0.00884277581928736,,-0.01827203609456338,-0.0250249077604715,
TNFSF13,,,,,-0.024792712606062355,-0.028670713730736788,0.09880578133417538,0.029821718937467157
WNT5A,-0.04650199788320084,0.05659795627834527,0.016998253840362305,-0.02700041808708331,-0.03986055704543201,-0.03743018842625638,0.013849464708615578,0.0007798366826716074
CXCL8,,0.029751482080286166,0.00889355765338048,-0.0907736920461111,-0.020740137068023426,-0.12685367481971574,-0.03368749914558138,-0.02811484205870268
GRN,0.029723470517289713,-0.015017857162055979,0.0014101383417485325,-0.14495753158946995,-0.03224730488627186,0.0009760366802862055,0.05839190239618506,-0.019986641596009054
MIA,-0.02799640732944618,0.024070151167108284,-0.020078329939199314,0.007723054868525854,0.09065791592699265,0.056226414396507184,-0.0021699254538231215,0.0275080951927806
COL4A4,-0.024771113516763265,-0.01445202932077025,,-0.03257767624467154,0.08671137605677454,-0.015098956658471314,-0.007593543876588689,0.022314436531586566
TAC1,-0.02138902746174946,-0.01574984140592999,,,,,,-0.019435882067671616
RARRES2,-0.0379376393845492,0.053426342418282445,0.05289047479928157,0.10366067565211556,0.008226547189791766,-0.08580370448225723,0.0661658922673158,0.04883592223802681
FGF7,-0.0206667237208039,0.039327562002431406,-0.03225741996450701,-0.036625591565291916,-0.01299228113096565,-0.00545937532059024,0.023358143994295158,0.014159698463689144
EFNA2,,,,,,-0.017366347487000746,,
HBEGF,0.06998007476409432,-0.043443293582575114,-0.000997608547922236,-0.009149001462607623,0.05325680237812862,0.04237046978812657,-0.006707241676615405,-0.01734678426070258
CSF3,,,-0.022242039867634428,,-0.02117170361728581,-0.08206754212277376,,-0.01556592063075592
PI3,,,,,0.0006365193992679834,-0.1325808849889974,-0.02016015453149855,-0.021578719293935844
PCSK1N,-0.052550026947620836,0.016991235152467362,0.055071445711947276,0.06465063616159962,0.004742913521130397,0.022041419290355208,0.06764355074020885,0.06865173085755961
NTS,,0.08602338748697161,,,-0.03014244145275745,-0.02115759891535189,,0.01241413440355872
SFRP1,0.01628821021918883,0.045399789387144895,-0.017942599548598552,0.06720431136483915,-0.03153205462779524,0.01155909125215072,0.057978067084432594,-0.0225153588883127
CXCL13,,,-0.02047251812228096,,-0.029022342341961008,0.018987052488053355,,
MICA,-0.04660060586636245,0.02301148036365395,0.004171768146503388,-0.019670522236450074,0.010421319741019518,0.03378694970263232,-0.05054588956565615,0.04913619512932643
TG,-0.02477110793449746,-0.013945824866002297,0.022011444013374376,-0.06644820544897989,-0.01716826223689758,-0.02605789593735388,,0.09822247728431101
ADA,-0.002804883487510798,-0.010056366223348635,0.0211571501995513,0.0006145405352053313,0.005025851800549678,0.04349416073847911,0.03858731525997694,0.005974527503624829
LAMC3,0.026935981028122027,-0.018543573278695418,0.06705381729111282,-0.053926043291815204,0.006136046771202771,0.07943255977729513,0.03241700463481133,-0.008637485595498172
CCL7,,,,,-0.019365018307028876,,,-0.01631157594333709
NGF,,,-0.009618648915739979,-0.08773576526491948,-0.022365045857686613,-0.017132914559884565,,-0.030461186627897634
TNFSF15,,,-0.01416416816935945,0.08443687828241413,-0.018878718345342126,,,-0.03283738509336277
HMGB1,-0.008954698910284525,0.02511392985248806,0.053226766900002165,-0.047673420178786646,0.06999485979373227,-0.06302399296223354,0.02403796256230153,-0.061018192573563966
ITGB3BP,-0.009704489965653002,-0.02554459578988256,0.01835621715795997,-0.07610882727133995,0.03057668093433978,-0.03901133571488329,0.0842891121127379,-0.005955714655205652
AANAT,,-0.012541561801650062,,,-0.016988585184245803,-0.005898012261407299,0.21462900110650043,0.05496525064008539
RELN,0.07094206796660713,-0.027612470657658365,,-0.062151453504381816,,,-0.036703767644454335,
IL15,-0.011136635978208374,-0.027166015173584097,0.005391866673042788,-0.008048206744535573,-0.031123784108481482,0.11812286093558469,-0.03654988030942467,0.05244598781516953
UTS2,,,,,-0.014467023637963573,,,
BSG,-0.03103664031986047,-0.05088791715634437,0.02047537062722008,-0.017613740244355403,0.02274439687965429,-0.012866011999498252,0.010849623996584536,0.02845197257283395
ADAMTS3,-0.005079832988975698,-0.0050314570889524795,0.04431992807409715,,-0.0511179756145386,0.010955107835995357,0.038004246512057534,-0.025925649371468764
CD34,-0.006737421184761257,-0.027528872591209334,0.06316400019630404,0.04319690096091471,0.03735377488720244,0.06088016323276001,-0.025654957740740978,0.03255869679927209
