,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.02119106412080801,,,,,,0.10475123447308289
BMP1,0.1094572176722203,-0.019750891311341185,0.020373595810181926,0.06430247335311351,0.14746626045185765,0.030006775957829652,-0.02517989382903674,-0.04240288502178208,0.013009015191794041,-0.07165229136108915,-0.040484757463057394
NDP,-0.019566129845316048,-0.0453063363148479,0.0007471806131057935,-0.04495956993440322,0.039216492453658255,0.018285489788896866,0.0006912912350535058,0.026573045136145404,0.011343671744558505,0.07609951157680461,0.10687203748774833
TNFSF18,0.011350238520341194,,,0.032925805074413075,0.054446343922425026,0.07482482176426787,-0.05814479563732399,,,,-0.016871173063439177
RTN4,-0.013208329280659287,-0.023366890918193547,-0.03773978357420913,-0.007623747408547407,-0.1491747178967011,0.02249456496558717,0.08141690614449368,-0.07273926871823996,0.007528321939954726,0.06280908654391604,0.032273019070733204
HEBP1,-0.029638756860407185,-0.000863642881601529,-0.016843807883823638,0.02424607490441688,0.04191159822259888,0.04836640274749768,-0.02933510273004573,0.050226338441072875,0.001246794678104736,0.011753156304999344,0.069298689396219
WNT7B,-0.016807141748401443,0.003464021225918969,-0.00419279140999468,0.05451816772977062,-0.07355937791112584,0.003216904388403972,,-0.05894416550322906,0.13993715901610462,0.08291805409183156,0.003865148512514895
PTMA,0.05862412479749571,-0.026364639643166717,0.0521033536935555,0.013279743117677704,-0.054701030604169,-0.06783937379547997,-0.09751219533463133,-0.042176158060785285,-0.010946908915516487,0.038694939735783224,-0.12663777242731117
FASLG,,,,,,,,,,,-0.02014582389292063
CEACAM1,-0.012898470410391391,-0.014883276513160197,0.02369844995919958,,0.014313501729098961,0.018932590467572456,-0.040885659340525494,0.009719697742920164,0.16479481946985947,-0.017930080983860935,0.07828978029136464
PDAP1,-0.04766365503592225,0.04603817613146795,0.033688450532460355,0.010386481065350672,0.14815342807648946,0.0013220439527327195,0.0401232587353528,-0.039957863901292266,0.017329603281148378,0.0656588118464589,0.00803286927282496
QDPR,-0.019413187628607352,-0.02180503445661013,-0.00829463349613939,-0.006135401394596258,-0.11038211769064343,-0.01137090309793449,-0.0125089584939672,0.05309991721558915,-0.003150268199984023,0.04901774408824776,0.02275287913569439
POMC,-0.022918524063791485,-0.010620367167812369,0.0250379721823921,0.034004082278810424,0.04618150089259383,0.04661354294591147,0.0006280041303864042,0.03672369061196398,0.03028413214338313,0.13088511910369005,0.04789460549545874
CCL18,,,,,,,,0.013471866173173114,0.09567401573633767,-0.012669315779178235,
CCL17,,-0.009222888986236263,,,,0.11082437084708645,,-0.026071604337485406,0.04304590262405195,,-0.01825992658767003
VEGFD,-0.018474471050943363,-0.02463534192201899,0.07966146718739611,,0.11521640636479548,-0.017540460013041333,0.013697333953955238,,0.03549364155953559,,
TNFSF13,,-0.015252444505738382,,-0.014919213937404056,,,,-0.02431340995296691,-0.021015775208808516,0.01614037446370814,-0.015977605421767443
WNT5A,0.01841730221038407,0.03026932295075403,0.05455554614019932,0.0154003933126802,0.13022852040079153,0.011625759578085905,0.11298202433552584,0.007310413614533715,0.0630605528855275,0.015136023665652058,-0.02640230096819031
CXCL8,-0.017298399675282104,-0.006830272275836213,-0.025571718137214296,-0.021221614178339166,0.06880954702039276,-0.004200329167171259,0.0013854859651123877,-0.05520762218743434,-0.018823775685384365,-0.0887497887014711,-0.03972005885770623
GRN,-0.020907497051851263,0.02093273748929163,0.016880929258970466,0.010517498960198761,0.14120299296731928,0.03587868080155454,0.024869571309633375,-0.04436459477373483,0.020577886352352026,-0.0559467369744615,-0.09830931740052543
MIA,-0.016429902580786183,-0.004125783703593412,0.020886874515814734,-0.026976816136517756,0.05306431314946818,0.09798016473101089,-0.015542865671466637,0.17711281177968768,0.0343279124370061,-0.045156647930411034,0.0892637563765027
COL4A4,0.0075111153729776935,0.036773433920058086,0.08962329514404521,0.08783761386267291,-0.002330798827403007,0.04993755133015017,0.18359100568806194,0.10818544463549598,0.007938764609277052,0.00870907544858567,-0.04603409434045416
TAC1,0.001935515985701212,0.04145111695079723,-0.054156751883951464,0.0012117322026756608,-0.09336732503647374,0.003954348241303917,,,,-0.030934497663319262,-0.006732709441879235
RARRES2,0.020290262283714403,0.041668687886432916,0.06583063259442253,-0.012207894665517806,0.1353357053286216,-0.031024262439369277,-0.05350589054286845,-0.04430508828972057,0.0101011022528478,-0.0507078189278762,0.013138480523766769
FGF7,-0.020851856657228867,-0.009390823334777195,0.015687214599295504,0.01672574613555226,0.06938735526342317,0.06430929170830385,-0.0005945253445759867,0.012641030461556796,0.012857138897416354,0.02904208471440818,0.09428013298712681
EFNA2,,,,,,,,,-0.02506306268664112,,
HBEGF,-0.0018980144934718762,0.04176254051331503,-0.028307300655951884,-0.030247906484994973,-0.007501238747295716,0.09453519796855328,0.0642806446023371,-0.022984868302002127,-0.04286373291233947,0.01720207984559769,-0.006213102834919619
CSF3,,-0.026355717312623476,-0.04739110358203774,,0.04715300966871746,,,-0.0233471172058598,-0.017368485241908708,-0.02570522031550629,0.0021836535405113586
PI3,,0.011930102578704686,-0.01369613165732575,,0.037411860605277736,,,-0.13845454446311642,-0.0036322634564193734,-0.07372583493898027,-0.0316850351480039
PCSK1N,-0.05987401474416827,-0.0593666193871477,0.09873809399520575,-0.01782006781047138,-0.030944857161586525,0.029625334612283883,0.009177500055178528,0.030500013730786764,0.025541458035650874,0.0280461800468629,0.0871491202806896
NTS,,,-0.0041205624391324955,-0.017328836726716913,0.07500200215155638,0.037168676020261714,,-0.024873491418879266,0.02676043656670196,0.045564320482571447,0.061412284456740185
