,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01827610291396406,,,,,,,,-0.029134238022709907,
BMP1,-0.03064307964895625,0.001372480928393116,0.03265443972805265,-0.015130124332846476,0.08151301017711349,0.011247001514537096,0.02174461797519227,0.0051233073434348965,0.015795334167172246,0.0344887158924094,0.07240351078485734,0.04741968577909636,0.03485321277636064,0.06304105352773258,0.012158052234444595
NDP,0.006851075991546626,-0.07681012451016865,0.012616132650608493,-0.019967347635695888,-0.012514665419859735,0.014662050033687802,-0.010743483123826052,0.026289995285405036,0.04977609485806353,-0.07680719857257087,0.012059123789678772,0.05386072950690863,-0.010643518114182609,-0.005484429044216121,-0.003386640020497504
TNFSF18,-0.023546444129729678,-0.010832875949726982,-0.006682483335858736,,-0.016548992028030958,-0.027139464163592107,-0.014568918406235868,,,,,,,0.01809439959905982,0.07724978647814736
IL36G,,,,,,,,,-0.021081213345161463,,,,,,
RTN4,-0.05593106836889799,-0.03376225159282411,-0.03085016138922105,-0.03524177133187926,0.04468813939312998,0.0416398585563676,-0.00790100289610273,0.06418409532753028,0.0011405176447838972,0.026468209380851142,-0.061271442258511895,-0.09370915956055213,0.009819442819672522,0.04144097444538206,-0.012095155124229706
HEBP1,0.0263211895368844,0.006363220547008921,0.015857734143052468,-0.04431071750492252,-0.08155345018553861,-0.020816850240125282,0.02578990230461307,0.052082201163244524,-0.009143515864498698,0.0849311710444592,0.05181441933229096,0.020719921000196023,0.04008972432357783,0.0723497618085372,0.003882989526331612
WNT7B,-0.09106311571253752,0.038764174345388265,-0.0005356497605236116,-0.03184367838881812,0.0319369972830597,0.05746817912513047,0.0007095714422123848,0.10175067302006598,-0.02317068289486119,0.08346598345176572,0.02978839766945973,0.10219838964399937,0.008256882523607179,0.06410021383184943,0.1429038622528758
PTMA,0.04517344464439258,-0.022241911195499793,0.05773940812241856,0.04266792576457426,-0.0376340381629908,0.018017524970062235,-0.004511164176726673,-0.032966812841663064,0.029788098760343846,-0.06941737691838168,-0.03797053219327598,-0.05656770655743346,0.030326938794430332,-0.018231878708938234,0.05319696341193211
FASLG,,,,,,,,,,,,,,0.005466682772922912,
CEACAM1,,-0.015108616332621595,-0.01384518132633588,-0.021182882427940527,,0.009240341519209081,-0.02291343784075627,,,-0.05894709880776104,-0.04078518518415404,0.029002010088167753,-0.015527903345740262,0.012087398206790827,
