,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CCL18,,-0.04390787990836926,-0.03783522164010316,,,,,,,,,,,-0.04449307790629798,,-0.026591991936502614,0.048482395532458214,-0.004477295003920023,,-0.0292487858772495,,
CCL17,,,,,,0.0038281270374263174,,,,0.019016826083834745,-0.0014373646358258809,-0.01203107109400844,,,,,-0.03038351084918018,-0.03375711405690106,0.0027282698373297895,,0.08467398695606115,
VEGFD,,-0.04947134705285966,0.03878387793778482,0.0431030357169316,,-0.0026924463237423535,0.00782492180829179,,-0.013092774857625507,-0.026952756322137828,0.062470438857036806,0.022854663297447775,,-0.050126425758473134,-0.04954364064587433,,,-0.01229008989457458,0.08105920742839581,,,
TNFSF13,,,0.04642339979762822,,,0.02732539548215037,,0.06942739148510411,,,,,,,,,0.08918642592586426,0.04394185266699756,0.03620755051832329,0.058468540934262125,0.07699635019790967,0.03550541451818185
WNT5A,-0.02482730985138717,0.02229969611085558,0.03500624852072489,0.028404116697241428,0.07092871548231085,0.01332093425504381,0.05163121617728163,0.08247124505319388,0.0459353709616412,-0.025141640632265913,-0.00541533071727197,-0.017452338050879597,0.07421064311528401,0.05132227601608557,-0.04950104299707149,0.056594279705127294,-0.04838591162988154,0.03989611218717141,0.066778631639656,0.06450537614848083,0.06337563453824488,0.10429121882187262
CXCL8,,-0.027515907098548766,0.007459009776985301,0.08113448087972211,-0.05282047096272166,0.0309638963354625,0.0036510153817633983,0.03665284212172853,-0.001521966120933414,-0.04446340803634698,0.032533415584352396,0.07612772481062773,,0.10073406726028616,0.07576539411806359,-0.017730604343183784,-0.0366957923990269,-0.11954213202784077,0.06371462655440142,-0.03654208286772728,0.0018317672833778641,0.05834649363968959
GRN,-0.0016670860606841946,-0.051447861327269556,0.017588125573675242,-0.006028726788245623,0.052656965460104614,0.07936676422178182,-0.0006430527053328948,-0.026462035995797547,0.11145694134727817,0.03196770491840455,0.0003108444740826997,-0.012837761124641895,0.09830660683741477,-0.07809914420766853,0.06097877041820145,0.029928842639463295,-0.04414755549994518,0.04284260572206794,0.06333104947371504,0.06078399315832378,0.10441382422107741,0.07990006845660946
MIA,0.0848471665620297,-0.032028573946460866,-0.0332164415432796,-0.01821044292922905,0.012823045394927658,0.0027839439272974074,0.031211425503084752,-0.00656204960583823,-0.020816686391068314,0.01622472477388405,-0.020607817289327562,-0.009543678924104501,0.08827930355445386,-0.048402089291575724,0.06795871691622506,0.09319888950356926,0.10174029474516252,0.06696591911975122,0.07697460770384991,-0.01716236712109629,0.042795950259445006,0.027917352919421698
COL4A4,-0.023349020013911842,0.057646572994269486,-0.04543979378744131,0.03275592948610767,-0.05064427789912544,-0.009537114013430223,0.057763119747617116,0.14515485349190874,-0.015943898632291422,0.0055112755334029056,-0.008286719139611421,0.02182346306553699,,,-0.038793646349644086,-0.03362058656261505,0.10744660913503432,0.03777674942299205,0.07853058183344074,0.04670415376286366,0.10354263393894711,0.10855329005417863
TAC1,0.07225711958651133,0.002242836266885609,0.04715206015889339,-0.05162850835727578,0.07669325005347137,-0.03038296941081863,-0.04941199662592555,-0.018629804438591985,-0.03997918720077667,0.011217885015838999,-0.007824936418833545,-0.05325961528597905,,,,,,,,-0.07008778686518304,0.030483861771762034,-0.046333163316711404
RARRES2,-0.02732586645857735,-0.000987361635265326,0.021834700003554516,-0.005177311324805496,-0.03614964055042098,-0.007098359942673247,0.0005058717190016861,0.0058772306913280285,0.036391057345840604,-0.05225119159013768,-0.019354923635709856,0.08492869013776115,-0.07932015217840364,0.0012200855481834904,0.013164289839132638,0.06205789351638624,-0.05275162486951498,-0.0451477326018088,-0.021482303001946472,0.016707466757454967,0.00231943390065597,-0.023577146496314164
FGF7,0.032182174974719174,-0.06597883640273725,,-0.023111612729158446,-0.0031859453201068108,0.04374010702548375,-0.004236202780205592,-0.012455054916879867,0.04182104700663587,0.0008787750289200593,-0.053691974252589425,0.06992393999760549,0.042719363534041106,-0.07168516368070962,-0.10011061826960334,0.05836445697102873,-0.0003033356881250331,0.009440993500622424,0.037466550917432125,-0.03195223706354326,0.056093920846320255,0.06982442780033506
EFNA2,,,,,,,,,,,,,,,,,,-0.033967741417634326,,,,
HBEGF,-0.00020072867153419677,-0.004060858811609793,0.06788855416145055,0.06466153511951274,-0.05531981951372337,0.05276882685228313,0.02750551051493252,0.03799680312372947,0.018821228425642725,0.012962935575580243,0.03479714379197247,0.059951737580333814,0.0022789936164062355,-0.08571532635407052,0.09889453423499833,0.013581770360797503,0.026943573285251182,0.029770887010475266,0.0365549037340526,-0.03976574633804683,0.021325174922697577,0.12625677073215016
CSF3,,-0.014233357384068343,,,-0.04234904971719293,0.009285416070436096,-0.033769686963838544,,-0.016868337871023393,,,,,,,,-0.020084469383891627,-0.08639063745250179,,0.051213579787948535,0.0338947410288038,-0.03637149254214677
PI3,,-0.05899730932072524,-0.021972768922324266,,-0.007815468275442631,0.04249049667572626,-0.013764892861006978,,-0.018993971080733776,,,,,0.10732575089195671,,,-0.053010461387321316,-0.06296072210169748,0.05022653253163503,0.004750005888920088,-0.0515642146781017,0.04232434664777972
PCSK1N,-0.047880252257019654,0.05658604521199469,-0.056890587378780916,-0.03710150691829254,0.024192026789525645,-0.006996199146851109,0.03328838707645234,-0.0727836269563375,-0.016555088101820357,-0.020991677881573856,0.011839357903986582,-0.05378796060899475,0.035117082644437254,-0.012501431039502638,-0.0905055918956207,-0.009453976184199785,0.01061526659419638,0.039878641032758705,0.02725660848168673,0.06274566488455556,-0.02746420079506089,-0.06347487743025189
NTS,,,,,,,0.004467260822294828,0.14892792631124008,-0.020733216358872097,-0.030172381863533798,-0.054683459912504125,,,,,,-0.008446353189045809,-0.018674614472177477,,0.04194698405134645,-0.010601557456034198,
SFRP1,-0.029334905862466648,0.008857552153450531,0.07388379129192496,0.02784346892749261,,0.02265692162054547,0.04195326258238083,0.12185899932717922,0.04905181802226085,0.02986975240747483,0.022135844897695687,0.038680374246873046,-0.029308311741515984,-0.11641238235990702,-0.0449241734087895,0.05359628012679732,0.016712782975314183,0.08711258813339512,-0.032769368019611896,-0.006940615109492519,-0.022368334762379597,0.05047831792012635
CXCL13,,,,0.005212796266368407,-0.03075042095249341,,-0.026327250920793663,,,,,,,,,,-0.015225537278694091,-0.01378899752995404,,0.0028061303109423296,,0.1131574414815053
MICA,0.06887577628449856,0.03772776226068837,0.013841727531806404,0.09982679878030178,-0.043864153822004044,0.05705143498465316,-0.0051075767460889345,0.1038455587516826,0.022442570493781473,0.020806034286155732,0.03914885721393414,0.0655051188625441,0.08353229862641844,-0.08969598529200042,0.12109145322896225,0.09621695590996045,-0.03849302684679261,0.04918966600972177,0.09681370269727652,0.07652567199570112,0.11064170275393614,0.01655035136639778
TG,-0.0033649784564296313,0.13330571658239376,0.035359861749428956,-0.0031955906669259735,,0.05029175746826077,-0.0063554792176369265,-0.022591635710552116,0.05500621361132911,-0.02548666137923762,0.079557721371782,0.005523608452939414,-0.029913873944133133,-0.005664432768320277,0.05429677865441487,0.023857517520994066,-0.019161368987996658,0.023556838788965674,,0.04170672186570914,0.0699860200693816,-0.018272532545296906
ADA,-0.01698020874757226,0.13639422057866385,-0.03196301264982627,0.03754225978978018,-0.0016840968079081058,-0.004951239998897798,0.015323206250326493,-0.01574722553941451,0.026152810686145847,-0.030597072887390532,0.012657212888201678,0.02049760853113883,-0.05129325462712409,-0.08096748951970534,0.06468543867971868,0.03462651780394067,0.019369917381404818,0.046587052911273165,0.02082899145406163,0.05353142361680194,0.1628581929025748,0.030509447690552763
LAMC3,0.08754066646552405,0.017627830075336998,0.06249507058223466,0.013151125714704372,0.09277166813472736,-0.02995828948954526,0.028397406794663786,0.05454400616820762,0.12268191568619886,0.1628014583104027,-0.0003610607214559174,0.023253813320844738,0.06864001889609249,0.02508502511069477,-0.01192926251129497,0.01787442609805847,0.04173418288206333,0.13207954477019612,0.04004396652019721,0.003461247899961795,0.1443132211146662,0.11086004680764759
CCL7,,,-0.024066397198076527,,,0.10132237873960527,0.0077903321604434585,,,,,,,,,,-0.025492627648292514,,,,0.0013680872999023686,-0.002153505866818544
NGF,,0.0805821411140664,0.020474910293128406,,,-0.043939480013963694,-0.016484433012280506,-0.004718555941045444,,,,,,,0.007069437115708577,-0.039517378907282956,0.06503235652630972,0.028778984640282532,,-0.00913117905654941,0.05676104125221522,0.11362236486426944
TNFSF15,,0.09075507802277405,,,,0.03187830472367939,0.002193800930427645,0.0015221297202929105,,,,,-0.027573019296912537,,0.01680018402529053,0.10437302469189652,0.025578470873062514,,,-0.03616597708742828,0.04909325719408773,-0.013479555844536042
HMGB1,0.03067263140704002,0.05485930546823575,0.007038990512268,0.013274852851472849,0.10997741183104552,-0.02694814187796568,-0.0333954475584264,0.07185284919524197,0.07443096278574603,-0.025415416301539196,-0.01983381289670141,-0.00776664083145131,-0.04093339487733376,-0.008326910858659633,-0.1271492292375463,-0.006259799703214761,-0.025999455202758516,0.04091335869219458,-0.024623474413600785,0.04179897797823766,-0.09457503274466561,-0.0014094996805579434
ITGB3BP,-0.0036167883602551297,-0.0012357700585562492,0.011540444681230246,0.021051028506242617,0.0323715182589164,-0.010281404611512932,0.019317327144319822,0.08630524863694865,0.07142689721939366,0.019476624643011343,0.016059317148158746,0.010484262655533025,0.04149738444001812,0.05130419292891872,0.10212960212645084,0.007495421597940117,0.02534727649420713,0.005616976801898185,0.017451539779251086,-0.03379719778953923,0.01057153985466426,-0.009346693126238932
AANAT,,-0.039538086103146096,-0.0349166808877096,,,-0.004746069541248501,0.039094990281305385,,-0.015215697249282631,-0.0229203035228611,-0.020607818435586973,0.04798546227229617,,-0.042778515446334535,,-0.02769667428871716,-0.029356611753728317,-0.00841658143027896,0.06842603538186032,,-0.009602335122665437,0.005055314735693635
RELN,-0.01935695226214332,-0.049471321375183064,-0.019584995447988404,-0.030637286305844964,-0.0006989228990938446,0.027453611145868462,0.10409019840242457,-0.026820019543358335,0.00221809219008224,0.01781306370294224,-0.01478530990889431,-0.029235567723178642,,,0.021686872028343185,,,,0.041531122664682237,-0.02570409956072703,,0.0332862089392326
IL15,-0.034994891222263236,0.16512314142801895,0.018229535715252827,0.05601154461455273,,0.01033674088262177,-0.0032778593954298344,-0.018626293155011766,0.07854088830121067,0.008888726792795464,0.010881660298667618,1.1079119622732208e-05,0.037550822917363606,0.00957363351233986,-0.02001198541046518,0.07105124469178555,0.049892518646980535,-0.0025657820059075877,-0.027018133676772083,-0.02810801646328589,0.142770921478514,-0.05572746146128299
UTS2,,,,,,,,,-0.034478739642359486,,,,-0.020691527769369503,-0.10136583465804433,,,0.01811969103959852,,,,,
BSG,0.04105459204064661,0.04782102148589133,0.0023705056349878867,-0.03037065503410059,0.01403630368783958,0.0058419996117523645,0.08044792232594637,0.04598525999078357,-0.017614811612381164,-0.02919332333583713,0.010527295983495404,0.06430825732195021,-0.031378996193710436,-0.09736308675548468,0.10091953321403002,0.018433498341374685,0.08938654708771941,-0.03807687971540679,0.14346832104412693,0.004552703054092873,0.07746770921236597,0.09083219852897781
ADAMTS3,0.025804225141579547,0.0576286526364756,0.012190915338998942,0.007517352708852557,,0.053912896923159336,0.026368611918036546,-0.004756820393132609,0.0375967192651459,-0.06065625186964008,0.060524488069332874,0.017266544410371513,0.05976303418790596,-0.050623293184900955,,-0.010515813101288126,0.06979124093680404,0.0076580824214187776,0.10555302534499664,0.030211298555899116,0.09495680439205473,0.04915537676851525
