,MGH258,UKF275,ZH1019T1,ZH1019inf
BMP1,-0.03111602930366181,-0.06244979758574112,-0.01646627282018068,0.03712750943656767
NDP,-0.009632043444438607,0.017853215395405683,0.09506442694915218,0.066944804554703
TNFSF18,-0.010852226113313915,-0.011245537599956288,0.09240403131425648,
RTN4,0.01344010655430193,-0.026136660818031662,-0.03266077345924957,-0.00143600149681064
HEBP1,-0.023540105066813713,0.02089679504854027,0.07298926517791754,-0.03096750006071185
WNT7B,0.03275996463411139,0.031307553084090195,,-0.03732872707614714
PTMA,-0.012093727008846691,-0.00967395492780489,-0.08373576827635519,-0.038608215625821896
FASLG,-0.0242128211019734,,,
CEACAM1,0.10598179004035865,-0.017686551574905843,0.12031747773021886,0.029823335165612686
PDAP1,-0.007402479261507864,-0.004786962693433223,0.007403308458930158,-0.02691352994464268
QDPR,0.038720767355617754,0.032194402798250955,0.014813275555279327,-0.010082192990065329
POMC,-0.039180298079234635,0.02910570351841827,0.08275470363198321,-0.04030055171869145
CCL18,,,,-0.023735743662203435
CCL17,,-0.01402537482606531,,
VEGFD,,-0.014942850594648534,-0.056538903157798165,
WNT5A,0.019870555546414464,0.038496863301628895,0.07762159078793282,0.060930435833076474
CXCL8,,-0.014914095769496798,-0.018766439919759344,0.13362293476732579
GRN,-0.0075225957098254016,0.009055343220517367,-0.02197249009560307,0.0004085225716842731
MIA,-0.03169249441452388,-0.027567059747009844,-0.06319616688947004,-0.041958405988371986
COL4A4,-0.02804139715262125,0.1361885255471363,0.0709815585570874,0.06507967106180695
TAC1,-0.0242128079287737,0.04328929912685361,,
RARRES2,0.029307222808742817,-0.009050409182694452,-0.025969511994648285,0.10420075132459453
FGF7,0.05796013424347551,-0.024170256683810346,0.036468143465984655,0.0987814208814546
HBEGF,-0.014731180378518432,-0.04697593201903332,0.040121764198985985,0.028961876693066
PCSK1N,-0.0016536885611956912,-0.04721979066420843,-0.11939024465778482,0.0057781219845866585
NTS,,-0.0167278399612566,,
SFRP1,-0.009201368514216499,0.035051288096326225,0.0930574849143646,0.06296437654765348
MICA,0.04857417572874403,-0.01804810155746825,-0.05904410963517768,0.08848059006727439
TG,-0.011187082448323204,-0.01413003436808199,0.0012481493096820606,-0.019049066673444696
ADA,0.02216539653877193,0.002328417582093339,-0.014840713379028892,0.03430110025864867
LAMC3,0.020237661825922158,0.021206553259014063,-0.06816824768880737,-0.005518182598665615
NGF,,,-0.0034945828110843355,0.005198138996645035
TNFSF15,,,-0.03206954102964169,0.0026282651959699315
HMGB1,0.040453477771565494,0.0038103656647416927,-0.004708455756622822,-0.11430309263477094
ITGB3BP,-0.0027529113312958564,-0.02793342009644065,0.05059016582442685,0.024438397703745264
AANAT,,-0.012707222483394015,,-0.02472177198241858
RELN,-0.023247056438500703,-0.007382797223437518,-0.06195171706143468,
IL15,0.03553716729625064,0.01629596608635099,-0.0645822275052955,-0.041790622972751046
BSG,0.03628144238950543,0.021374069340603232,-0.017990946132874934,0.06952081307341886
ADAMTS3,0.03920641142340992,0.004122473333077109,,-0.029601805168233183
CD34,-0.005923592464228243,0.04374787387637243,0.0545727670491599,0.049047509362660016
PLAT,-0.013687537999929056,-0.011455332384619104,0.03388216794531822,0.021863048790450798
LTA,,-0.012238379551201144,,
CKLF,0.019869303339264812,0.0144768282723782,-0.017185046585189826,-0.023258659490597237
CD24,0.021156776441135006,-0.0015888817741821042,0.04033918388815292,0.09575406239436314
HSP90AA1,-0.027544252700569788,-0.02167366960781007,0.06629013757620805,-0.07695962451944398
BMP4,0.0026007428170706282,-0.026906683791182048,0.012901709159276376,-0.07205724330204305
SCGB3A1,,,-0.028882761260694872,
IGFBP4,0.04474082058223674,0.00865128947064192,0.050911713470851765,-0.0034691053364294486
RSPO4,,-0.014233980471629794,-0.02258640716692819,
LEFTY2,-0.02776413779666405,-0.017858537036939185,,-0.03159232942748575
ANGPTL2,0.003945931354973919,-0.0442696893310013,0.013250283512817627,0.02444959073904771
LRIG2,-0.02086880431786859,-0.027339783149383647,0.08165825751314332,0.02710048570499162
ICOSLG,0.036976478978056844,0.015623450365759711,-0.017331558972040254,-0.016190846839269732
WIF1,,-0.010984025588413512,,
NPPC,-0.004285683030103851,-0.021426343894355705,-0.029506808299883485,-0.005273891110254641
LYZ,-0.0006699237026991791,-0.009802067940431737,0.146888839658891,0.017402101381985544
SPTAN1,-0.017704512221931132,0.003657773411444244,0.0074029793986068295,0.022792588723904533
LIPC,0.00520321451406236,-0.026611876047567505,-0.015211894863925653,0.048473167806882204
COL8A1,-0.037304679875161104,-0.011129565600668362,-0.03033546440897904,-0.05291301036550323
GSTM2,-0.0019402849003984962,0.0037953276742475413,-0.018133974931855815,0.01076839262031387
SPX,-0.045041115043879615,-0.0038513235697033334,,-0.04613218137422902
MFGE8,0.0098273773012934,0.011376296237700883,-0.07536739876423305,0.04274689304784701
TGFA,0.026850543923335017,-0.0244059332984054,-0.05683675029038599,0.03127083324594243
SLIT2,0.11488928996721039,-0.012041721754302107,-0.024795884350748598,0.06991675979990729
PLTP,-0.07501259231022583,0.0071895472981268445,0.03408064723727826,0.01686918545458665
APOD,-0.008686215551602258,-0.0332004996718694,0.08866835523924628,-0.10791179641067614
B2M,0.06169856761719962,-0.023244826299314205,0.0010417226682635783,-0.04132284404257239
OMG,0.023770757880342466,-0.00841578009824,0.05596248428664306,6.882208787682137e-05
CXCL3,-0.02258182097531588,0.000226601658028511,,
CXCL10,0.05061144580505469,-0.07182506984010832,-0.04319658822061838,-0.0399292001967966
RSPO3,,-0.008572216108080193,,
CORT,-0.02804139670124705,-0.017855808007849146,,
NCAN,-0.0140860405930249,0.03314653470567202,-0.02747676840480792,-0.006348139801137627
PRG4,,0.013077811993137277,,
ZG16B,,-0.009724503534948626,,-0.027482333809315716
TGM2,-0.008996054180460738,-0.02919137452412183,0.08353958631294064,0.015230137486418997
VEGFC,0.10220137034664187,-0.026185688815625635,0.06846200486888461,-0.015371128896883857
WNT6,,-0.021641535767030998,,-0.026135702679186704
NRG4,,-0.018682345827953754,-0.044271025827888805,
PMCH,,-0.014233979784686497,,
COL9A1,0.024578909039946983,-0.026062939555488693,-0.05136057957905469,0.04557233737522603
GDF11,0.03290367872190613,0.0011590975835447251,-0.12494202141179217,-0.025739936692278694
SORBS1,0.01582060388050627,0.015355957118054165,-0.04254283816860794,0.032973171511130356
DLL1,0.06296939176767756,0.032440413886236176,-0.0030280531253588836,0.01467136921836029
TLN1,0.05199132802164871,-0.011494441557911243,0.05469556239182771,0.043677943179654184
COL2A1,-0.0076685813630178,,,
SHH,,-0.030056238581572237,,
PON2,-0.0011229041419849846,0.018648867208420263,0.1023898152558682,0.0012279096040543878
ICAM5,,0.017664941847660775,,
HPX,0.00240549318167537,-0.01908373548331849,-0.05759245073873104,0.019681631667144803
SFRP2,,0.01939218114466245,,0.05887649401340378
CFC1,,0.009862313896777561,,
CD70,,-0.022828864293903853,-0.027196037424640298,
HP,-0.006629267848012982,0.007937985626383462,0.07144567576866916,0.10170938670487159
CXCL2,0.08697231231589123,-0.02015684388154799,-0.04361407085552502,
NPPB,,-0.010716423501519362,,
CCK,-0.01307954908860316,0.023907411698970916,,0.05024632195644023
SEMA6A,-0.010470660927497048,0.010040153047925647,0.05143270180049251,0.001697764823547728
IRAK4,-0.009951366401617402,-0.05586197881596842,-0.04064058630607566,-0.06016732750143994
GSTP1,0.00017103582156394276,-0.03501066944533661,0.06526371242702135,-0.022991989743519452
VCAM1,0.018371800431180318,0.013201478793966812,0.01858881130063616,0.018453179543860568
NXPH3,0.011346635108644356,-0.02970746914632536,0.020162629126574155,0.010404965985696572
MTMR4,0.03100645470271174,-0.055321539266376986,0.0798188732462111,0.08573904513010631
LAMC2,,-0.013490781619356308,-0.022366418294149284,
IL10,0.03871306141775779,-0.008463225267973905,0.019433146624049893,-0.04729004190304358
SEMA4D,0.006657463728718631,-0.022613231044715063,-0.037937513841175954,-0.018187154100027796
TRH,0.01000726945409028,-0.018136363027049983,,
SEMA6D,-0.027588875968419503,0.044228733732104585,0.03876862665276143,-0.01488462162602964
CEL,,,0.08429309399057826,0.04237892291558869
PDCD1LG2,0.09640928568897965,0.011398268509895835,-0.06492049989892176,0.10974183765374268
SPINT1,0.05131291555581041,-0.023437285016966465,-0.03840861041677909,-0.021617104406761994
CTHRC1,0.05368446258672853,0.01089252681189785,0.04753821846617065,-0.010873485252840842
PODXL,0.022904877261096687,0.022548388772076582,0.025638742314705577,-0.007580443735606009
JAM3,0.0829848017082394,0.05179703459492369,0.08132873069151815,-0.0197153156194571
TGFB2,-0.046737966037671275,0.02395252517635361,0.02256692597976292,0.08481026835594596
COL18A1,0.11023694958930053,0.02830013411950098,0.0006630930494063495,0.03263644016512129
NODAL,0.03789562754876985,,-0.009869861509974084,0.024411776667603465
INHBB,0.04984903101062593,-0.051354368346794646,0.027716653882351096,0.04103056426049411
ARF4,0.02422546910094556,0.01514592651335593,-0.08373314741107965,0.14326154220383164
CXCL14,0.01619990840230214,-0.03556078360758768,0.24278245814788668,0.007323607260589256
LIF,-0.03477668126563861,-0.0014102217241579742,-0.0762178650423708,-0.02065610027417987
IL17B,,,0.003604614008278502,
MATN1,,-0.010851013377394142,-0.04619245051336539,
ADAM28,-0.019013113358205155,-0.017247397332805416,-0.021150978049888924,0.07321791857186144
TCN2,-0.02105840874603743,-0.026770294094397375,0.02662163883079715,-0.003248662937447982
THPO,,0.06762604443591709,-0.04427107466279923,-0.02834743279741997
CUBN,0.016460046661571463,0.02399491726175698,0.038268755260862874,0.0673786912579701
TIMP3,-0.04698998843070587,0.012706079069450323,0.0009375351295111181,0.0357802871901927
PIGF,0.008993056973937092,-0.045440096373236497,-0.05603421579382422,0.07402704441727395
CRH,,-0.01708202797085529,,
BDNF,,-0.0014535858331405894,,
CCL5,0.057320911094690334,-0.02242976602334277,-0.04791394059297981,-0.03718451341934474
GAD1,-0.01747681642734022,0.033041565442481956,-0.04865157207799121,0.046789661146329056
COL14A1,0.03317477052578764,0.0008689978717231088,-0.026910651905600415,-0.03449567952963719
HLA-A,0.04457539454915455,-0.05424319845467985,0.06700565572835689,0.0864686748506926
CD5L,0.06930158974084633,,,-0.032357815541595156
FGF18,,-0.011627288330397972,,
ADM,-0.004972834095644044,-0.007409432065514609,-0.031036209341718433,0.09547885609185505
GNAI2,0.01954788772790075,-0.01843661908255951,0.035038380766556236,0.003262029954622871
HDC,,,0.022764257636364738,
COL11A1,-0.03242696765752129,-0.00944744821099707,,0.011184816119806443
NUCB2,0.02917321004759971,0.08123962736236683,-0.008204291405599307,-0.07293710203466894
CXCL1,,0.022404698214654753,0.10020198938063042,
VCAN,0.02401980906894631,0.023072293761232786,0.0694814853235226,-0.06889004850037851
MMP7,,-0.010716423442968817,,
PTPN6,0.07131526243964705,0.029060828974015598,0.08849400378044484,0.04020558514069061
PTGS2,-0.038409712601183574,-0.03735989140481096,-0.062459300655535815,0.08983124264730791
