,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,0.02775560040974695,
BMP1,-0.030462825828584755,0.10223596866655912,0.04483035844992595,0.008953471251648927,0.008812847230584403,0.019485332583370284,0.07928968926868098,0.06923579060621997,-0.027274773519080985,0.03591936733036811,0.05624535912983522,0.05577105356290648,-0.003905992245168608,0.001168912668119331,0.0947831210696083,0.1131343821913197
NDP,0.05985565697491739,0.06061941118761946,-0.01670135777279543,-0.02654446324560848,-0.05995394519355155,0.03453533331615323,0.01572085236134579,-0.009213530737121882,0.03555579768391027,0.11657257438567475,0.04967310135814844,0.03506168378545144,0.04396905911388851,-0.017786312454103444,0.006848120776208991,-0.08438291918007639
TNFSF18,-0.01899823698115467,0.03268211500941733,0.0022488711852110864,,,,-0.0172403730594624,-0.010463023017520539,,-0.043946317368805374,,,,,0.054877174363610864,0.0665248607350481
RTN4,0.01188639575892832,0.04106316162931967,-0.014693547695888843,0.04976693927545421,0.01668961269737203,0.003467828578533007,0.062001015146525694,-0.00577988991948895,0.020513980743395572,0.10207181098935636,0.01867782655073437,0.021304530511192847,-0.048524647724973,0.04100158841641994,0.0888371145382323,-0.12387871625510116
HEBP1,-0.04302562912115012,0.003934580924013401,-0.013410223990540511,0.018874693608138853,0.012233142520711004,0.055634706185818325,0.02363414215122497,0.052196606062779545,0.022129901051823248,0.03662681966141706,0.06725893476038373,0.009627410452055944,0.018952532136909457,0.07193471335940535,0.012810503660673574,-0.006242986168557476
WNT7B,0.03983841724446043,-0.05143567025675452,0.020334467640699145,0.017827872344868698,0.00835115989917624,-0.03264608421437705,-0.022838534809423612,-0.022725730768619987,0.10646958820498074,0.01730572625150302,0.04145960993540604,-0.011985711575113044,-0.003147122715040223,-0.01801649077688838,0.0665682787807766,0.03178882106024358
PTMA,0.06421071194036132,0.009148301827106357,0.040126005638775594,-0.04569739642874282,-0.04592262891843782,-0.00805818947841857,-0.07041282516694347,-0.033092004365766925,0.027617770556281545,0.002182219583913229,-0.12221548744507156,0.0485675465545465,0.03941185510110901,0.03295332927429011,0.03294917508077492,0.16301576116261748
FASLG,-0.01673685647053326,,,,,,,,,,,,,,0.028531426691852976,
CEACAM1,0.11745963809741007,0.005755135428219991,-0.01714421533695197,,0.03480611988295928,-0.014343779510961404,,0.036675718412263116,,,-0.022863784655376154,0.0005778148620397102,0.010191899520317958,-0.033482749504908524,-0.042073646214000025,
PDAP1,-0.07886206116933019,0.012170890358100053,0.005439053748420454,0.03865738111050038,0.04121666833832976,0.006756529678743042,-0.03917850110849521,0.02285251425904404,0.04401730087749668,-0.019695684711089363,-0.06008921546077106,0.04649179661591251,-0.03368069972235058,-0.023037666115742688,-0.029859563223733593,-0.005303999836810621
QDPR,0.05827417818668783,-0.03690743728618423,-0.05822365701790817,0.04313247771446181,-0.03265063146597821,0.002841847642200474,0.0441605848954462,-0.013217109735816442,0.013173601063128896,0.10206781700246792,0.06268402831543307,0.013184808364296516,0.005251459708442589,-0.007284854938566872,0.0774563953585995,-0.12117906861781032
POMC,-0.05425967266418251,0.0032174101101559243,0.04594264740812029,,0.024692607461151702,0.07591493707764241,0.006286904730334495,-0.026513576128396225,0.058871735541315855,0.009689729368542586,-0.010905434922764589,0.0006157297820539298,0.0038950855549703995,-0.02550881384738487,0.07318673385774997,0.0055147020632126285
CCL18,,-0.03577173076165209,,,,,,,0.0424431492341688,,-0.014064429818790228,0.05921264558607735,0.004332885352135262,-0.05542547885574457,,
CCL17,,,,,0.09158608784493363,,,0.03924281091910212,,,,-0.026389928528619495,0.017370487473384832,,-0.025095189345350287,
VEGFD,,0.07348104761695505,0.0018029538391465475,,0.04341628896081868,-0.013723316117705454,,-0.030362911802001298,-0.01636574857261746,,0.042379568031319884,,0.021685957955781803,,,
TNFSF13,,0.056333253559563534,,,-0.0008558546816798921,,-0.016719565322977192,,,,,-0.014669069224703566,-0.0350549391646352,-0.005452356902324408,0.025493098259817114,0.017724146772124128
