,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.17855875803207458,,,,,,,0.08687173982128164,,0.09293818683098856,
BMP1,-0.009853833718674926,-0.0012940338515321078,0.06703793985209748,0.008185050735233424,0.021244723422502842,0.08332190148133127,0.02024944551060781,-0.03371582325603159,-0.0067900527315813315,-0.06208904377714743,0.050898733162704546,-0.033793211858797134,0.059346972510762,-0.00888317178507164,-0.025131539426134573,0.029944759894081924,-0.08457934980687457
NDP,0.024082740047006557,0.04591488678250025,0.05346763524383716,0.016265542994884922,0.027683742963331627,-0.04159659723793256,0.024776775480852335,0.002653146975024044,-0.038399282147027314,0.0433274322995709,0.05404257599844093,-0.1040082596757287,-0.02823237325884708,0.039932716652107646,-0.04422339394211847,0.04292739958709859,-0.007176242896757197
TNFSF18,-0.03366621705216801,0.02894772054138576,,,,0.05455236250766697,0.07355278269720932,0.07313134730424262,,,-0.03158894841188907,,,-0.0194627734072833,,0.05140670943683705,0.08643355168298683
RTN4,-0.013772498897830212,-0.011780180920874617,0.0010292442296669455,0.026551795412209894,-0.01826113249276221,-0.06920094508967657,-0.03518061639476281,0.038431451487093184,-0.040523575911777236,0.03131723219488035,0.009122941364024464,0.0015221652041153592,-0.005300165015434857,0.017073558335968922,-0.002154834439438085,-0.04630606259962672,0.01950083378618341
HEBP1,0.026536625508622104,-0.060168126864856085,-0.014170085447889946,0.00040586330045474806,0.026030202857321768,0.008644243892337585,-0.02421005157782341,0.008785276073150826,0.055165085444028185,0.030775608090024786,0.05459605861837912,0.017933851669684406,0.004930076649001503,0.03998020293251406,-0.010988313868902736,0.09596925097600799,0.022001961482315854
WNT7B,-0.011529716711340574,0.026911862272623047,0.06049572594394287,0.10844519517436962,0.004603345040451461,0.02636150376021102,0.0065758304811499866,0.022596391275531216,0.0007828272596824999,,0.008425848448213433,-0.006017330496318558,0.09603951571359712,-0.027698510555340162,-0.023395451373086348,-0.04624012880020148,0.07118732267417484
PTMA,-0.037589612798195275,0.026453067940159832,0.019113041155981714,-0.028626815004726143,0.021217803662349228,0.10632859324264914,-0.005124039839830954,0.02963652397148288,0.034906797922027645,-0.07224855306466398,0.004114122307372041,0.17206904768891307,0.045631484071398845,0.07527809106614751,0.04133251768818343,-0.07336524332540328,-0.045077138723121635
FASLG,,,,,,,,,,,,,,,,-0.014393525040377173,
CEACAM1,,-0.01170267982108685,,-0.014187134451607327,0.01961599249175473,,0.03011555483338138,0.012273842783768828,,,,-0.10773507254985097,-0.018489880441486455,-0.027965973445220154,0.20358990411000447,0.06549784750900983,
PDAP1,0.08785681653222181,0.001127813697805753,-0.022764465891913544,-0.0003112612004006681,-0.03806670261025494,0.09962379071026482,0.040591299118752505,-0.024576309209306663,0.013676296811517519,-0.07126896843102395,0.03718894623788193,0.025855927203952342,0.040070081756588924,0.00976761600432031,-0.019913025265974917,0.03700259954960936,-0.01687735602379637
QDPR,-0.03685433501050201,-0.08771988777311984,-0.0046665525069969046,0.027193561137187093,-0.020183971037879594,0.012209278083734941,-0.022843743366005406,0.027213948717326707,-0.046067006300948496,-0.042490136203767764,-0.040469970317843565,-0.04112385110185236,-0.03509100244579286,0.006059623153927686,-0.04904594755114321,-0.01837220834290781,0.03727540152935488
