,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,-0.019010181205715383,,
BMP1,0.07270453953534387,-0.03250081034296577,-0.03417534110286045,0.025607176007329976,0.041421681605672986,-0.0556962626344569,-0.08161806307921925,0.018717868006567467,0.022231083972532137,-0.00015149414186095043,-0.00557807639461165,0.06677942411651572,0.012288803982675005,0.07744726901796861,0.09477371347972903
NDP,0.04616724801976059,0.001580403776338757,-0.04460702298242521,0.049542231931110216,0.009675346678998708,0.05265434389328335,0.09621453488844497,0.06570027545493128,0.045945866256168685,0.03436485673505992,0.060333214110985536,0.015627134228388448,0.014309261226830187,-0.0016101001848689421,0.08965710149313952
TNFSF18,-0.02690150846137071,0.050996539057939376,,,0.010028446756625736,-0.01288057863210452,,,,,,,-0.032066777022508056,0.005367490973572492,
IL36G,,,,,,,,,-0.013752911436744552,,,,,,
RTN4,-0.015588767041300657,0.0046219094772502155,-0.0519032554456998,0.028293971207198697,-0.023021768966167214,0.0809584712673404,0.06706311491453924,0.0035205338367539974,-0.05104237719005046,-0.022453773201772057,0.01374313892940267,0.002863272095549126,-0.024792200327646695,-0.12125201145545905,0.021636549277522052
HEBP1,0.030975102696586113,-0.042865489154043555,-0.011303755350185152,-0.03259084223217259,0.02587030083182124,-0.043334412258492494,-0.00821203703234368,0.09558120779385926,0.03704775514283386,0.01577749394983488,0.06810501252004555,-0.061812067203484825,0.018828850195068483,0.057537061238749646,0.0914911078446905
WNT7B,-0.022102777340823953,-0.015709238582761135,-0.026930317384899087,-0.039970667670102725,0.03865184571308605,-0.036920979625953254,,0.046516100725290145,-0.015116034573743229,0.053497492075514706,-0.04323393903865564,0.009684547493104304,0.020297717413951262,0.09087589643597663,-0.049664830091941184
PTMA,0.06545492947786954,-0.009564000531671214,-0.0017901235019428063,-0.0560733865813715,0.03181557271040161,0.0318602843343253,0.010705130753462045,0.047229844083478106,-0.006987017978227737,-0.05974478295735906,-0.047236200279117624,-0.04031494471841258,-0.05752197375397028,-0.018118045615113123,0.004601006087080254
FASLG,,,,,,,,,,,,,-0.016487523674299922,,
CEACAM1,-0.017122072881071346,-0.012055895765191327,0.0532228743037442,-0.016595310805588976,,-0.02025808159604858,,,,-0.02179892850663946,0.017892318013251265,-0.01552789954343355,-0.02293996761634099,,
PDAP1,-0.00937366887865399,-0.05652899482981612,-0.03177639210841369,0.007610986690162904,-0.024831891103884833,-0.005492895036749057,-0.0011203749291866672,-0.0045332174195992295,0.030070203128301796,-0.00891959869319869,-0.013472472712584276,-0.01876302896458066,0.07058902432658742,0.020421893199533945,-0.03826396097608595
QDPR,0.0038170902240463,-0.03500545513345243,-0.013749119397364933,0.14411277414120455,0.01746982920656273,0.062076581201935356,0.07863916383641609,0.01983624022522022,-0.02839021578495618,0.014993036665605669,0.027052289602580496,-0.020856880348796535,0.007171329404175886,-0.0881603076560846,0.13176657317602683
POMC,-0.03109957569151785,-0.021421403345818518,-0.029428727286872895,-0.03339368966941716,0.03460686315476711,-0.014945604872529024,0.054560635099072975,-0.030162764694620543,-0.005742957680843111,-0.035835011665830266,-0.015280671920167497,-0.025401603820727446,0.0551667363361157,0.027683781659335324,0.026531270375010598
CCL18,-0.02136672919317777,,,,,,-0.03756440141302741,0.0704756219379452,,0.06082477378462929,0.038668891653683764,0.11819855207739072,,,
CCL17,,,0.07394823736982453,,,-0.016064589325865197,,,-0.012563675042489455,-0.015465284677662923,0.09375725006921637,,0.040908088428005925,,
VEGFD,-0.021366735978115045,-0.017267651916911243,-0.0045947463240880535,-0.01587745378284932,,0.015332906958627733,-0.02645225994733693,-0.0017739298129914676,0.08747910082593724,,-0.020944830654282775,,,,
TNFSF13,-0.016124024623621225,,0.03832843660943188,,-0.014323533711364361,,,,,0.09942692221739774,-0.020569777320364375,-0.01743679046808134,0.04575642174031622,-0.031396798607287515,
WNT5A,-0.024780237556433753,-0.09029166573751372,0.05401259859677297,-0.06531482575192069,0.013747020997491925,0.014579515382026155,-0.06108316085159917,0.07295991082018384,-0.0013293007433027191,-0.013650012498706173,0.05204296325646101,-0.0065499600721,0.051089444146885675,0.07865463747883127,0.07111870702726518
CXCL8,-0.009250574443190005,0.023561062004699457,-0.00178206327461453,-0.07383269918441285,-0.020374297692114168,-0.03802745263506097,-0.0602758555707005,0.039980120962948784,0.012026641902507733,-0.0458118313451119,-0.04329200186702979,0.015638136517787598,0.09230336224975484,0.045625035499526755,-0.0953519353411335
