,UKF243,UKF255,UKF259,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk
IGFL3,,,,0.21775598150138448,,,,
BMP1,0.03714121960875609,-0.012316265004253245,-0.03182113262912922,0.04581958584927111,0.01314714012835904,0.02023593112427972,-0.006450641883407283,-0.01710334288176343
NDP,-0.02740255902527536,-0.021719951825660097,-0.0066516586088404585,-0.012550205080557784,0.10365389565276734,-0.051082170239068976,-0.05157389401811453,-0.03099179700563097
TNFSF18,-0.019872584944846474,,,-0.019648796951391507,0.09676395512901938,,0.0023734501565201784,
IL36G,,,,,,-0.013552783530619665,,
RTN4,0.036079175498635534,-0.03812535418012707,-0.01979184963665021,-0.08025883868681907,0.048213759218027945,-0.03269865283505451,0.04636943599826607,-0.05171560138032952
HEBP1,0.04079972373463031,0.04597327449715877,0.036981779357373054,0.014726883654834922,0.006686409501360673,0.0015166530465411433,-0.03609471589970534,0.01587138979590673
WNT7B,0.005134370320032973,-0.03255376131720174,0.03293401264326273,0.009056568968026398,-0.049585585858339574,-0.014896070941892001,,0.023290099255374376
PTMA,0.026623932680680855,-0.07916852563996095,0.04686624398285742,-0.06451599781263571,-0.03746066757798136,0.05514055868986745,0.018490633721791605,0.0787630000675372
CEACAM1,,,-0.022359638561162565,-0.02585669767623588,-0.02720699327273553,,-0.02130109025852893,0.02894032789131937
PDAP1,-0.0633962704972089,-0.014494851743984995,0.038732035697335396,0.06210638987089957,0.013774086979861771,-0.00891699681779801,-0.01627735991435946,0.03861861593735015
QDPR,0.005026952149331739,-0.005479938347195897,-0.025138712164691965,-0.02695456509989699,-0.004368602945455229,-0.02220019418843721,-0.002497841663821236,0.016542601107809158
POMC,0.030403267774081384,,-0.007071353766483707,-0.03333071679337845,-0.02007223484099177,0.017014495839151225,0.19891163583529153,0.0343373062961929
CCL18,0.05759362425966004,,,,,,,-0.03332793111187943
CCL17,,,-0.033251987483446606,,0.08242846787640665,-0.012380852518615043,,-0.01292060792268997
VEGFD,0.08317461079477322,,0.01868166284386087,0.08436571610527037,-0.022986393581715437,-0.013268943120514182,-0.01025820815665702,
TNFSF13,,,0.027889705046422353,,,,,0.0293757135172628
WNT5A,0.0017517109095040553,0.02568422601561131,-0.012654311743168351,0.11230390314854397,-0.011436752011804245,-0.05893967363833911,0.03194637927134667,0.006522831044426088
CXCL8,-0.0003516610035577354,0.08385626284144003,0.04165455892277063,0.05718828055980076,-0.018170752709851242,0.016004156044408167,-0.014898790768301792,-0.020230201035082416
GRN,-0.04082080209211559,-0.055020101664362275,-0.017591885946564537,0.021611386438885535,-0.010481945117426797,-0.016489128939220173,0.06634934134324647,-0.0074399088374434395
MIA,0.05506384488538736,-0.0433830795771133,-0.0015738897882533963,0.0050442154496706205,-0.04240605105577162,0.0009197437472113351,0.021651176509268646,-0.025805959635970724
COL4A4,0.04394530238790147,-0.0018297508957462007,0.04263016979381546,-0.013038937643093175,0.06745200256556931,-0.017627927096838324,0.17727035527197707,-0.034139900604800336
TAC1,-0.03785827437037174,-0.05013098801738629,-0.005115354569346844,-0.027587617314126685,0.029618238843719787,-0.03124037602792284,,
RARRES2,0.012068408198809945,0.034241042145408226,0.0032358131360757203,0.06677684494834817,-0.029444969182000943,0.047109744194466084,0.06749158902673894,-0.0014625866634554888
FGF7,-0.005970817351854728,0.01799264686872647,0.0944710434681921,0.08953719719676956,-0.051348668256302264,0.022796363405740528,-0.0517373912019706,-0.018342043053291044
HBEGF,-0.015491312798588359,0.015352023242700767,0.026413600586966714,0.08415303740179428,0.031918601492784054,0.01959102496958634,0.05624081182484785,0.042446723828723686
CSF3,-0.030228024753570726,0.22922824101645267,0.057385686683443744,-0.0137949450580075,,,,-0.04243870078918997
PI3,0.0607360288358813,0.1262727487959207,0.025554938584625556,0.009366155855681915,,,,-0.04587475197504356
PCSK1N,-0.06678737662087186,-0.021657755015520756,-0.039962870244873425,-0.026130017466062964,-0.01672042290608579,-0.05101577953141706,-0.05239954952718367,0.004812916172576854
NTS,,,,-0.016955646889059532,-0.01490397134682176,,,-0.0009190561382023917
SFRP1,-0.046672480205137507,,-0.029013644388014286,-0.03366005752912921,0.02782879331113836,-0.005591604989138662,-0.052205417178169136,0.03156015853111517
CXCL13,,-0.016778585632005648,,,,,,-0.01386083686821287
MICA,0.007734534001059086,0.002084034789514357,0.03477510097545913,0.03585982363964788,0.06697116074547825,-0.005197392880410485,0.08689106730121433,-0.008838496013144225
TG,-0.024096560477488316,,0.08894445018829623,0.028403238570921464,-0.009068865509671953,0.01744666766869918,-0.024958671293930278,0.03334400444065862
ADA,0.02935483883181952,-0.04559320094498509,0.06021850480025053,0.0263352384391109,0.016054098014745416,0.025583535521376165,0.12874152088580632,0.04198104058503444
LAMC3,0.004486010458983025,0.02444530562888726,0.012136463574837521,0.017959460031348046,-0.026662191822279833,-0.04129051604961865,0.018129542060819268,0.035200593823765405
CCL7,,,0.01575968382248077,,,,,-0.01936501306795126
NGF,-0.017415224337431544,,0.0231067775567547,,,,0.13253044406746542,-0.022365039806971382
TNFSF15,-0.021544805984721926,,-0.02520775258250703,,,,0.011161032426080667,0.05214752590760971
HMGB1,-0.08096839277695111,-0.07314068890220515,-0.08537083311606414,0.00924946084784799,0.042529767928509835,0.02583893191603066,-0.034404305130248884,-0.010993165662846515
ITGB3BP,0.042139339405191066,0.023654219803882652,0.015997701777765983,0.012744191153043143,0.05726550581594402,0.01721782452733637,0.02699185909794448,0.031391520481508964
AANAT,-0.012413364259374596,,-0.022936479212592998,-0.012443413760030126,0.008334435791090897,-0.016607729412387393,,-0.016988580588096446
RELN,-0.0300276130627201,0.034163945660261444,0.05091652869899391,-0.011669329671378905,-0.01618179646123599,-0.018386189931429254,0.01932058985219726,
IL15,-0.030625569813459128,,0.03153899559963867,0.06949026304205004,-0.03359706488975847,-0.01540290143322245,-0.03830314786140527,0.029635086224721337
UTS2,,,,0.018700114416532833,,,,-0.014467019724006016
BSG,0.0454680590256067,0.00947413760561514,0.030991809546096403,0.05815104614649673,-0.008013092866788534,0.04819270029938335,0.0713220560045443,-0.081232669298268
ADAMTS3,0.004384616702386468,,0.02511137428972568,0.0552504905855918,-0.027537434672137616,-0.02559465101352351,,-0.03990893735482089
CD34,-0.04969812327342047,0.01933001457222575,-0.03222245420311661,0.013555290109993609,0.0074843317072857685,-0.02496227033858911,-0.0012182447918869645,-0.0005582055717997574
CCL23,,,,0.06709999473882391,,,,
PLAT,-0.04969127321342363,-0.0970255512858436,-0.10605693822075235,0.07862945224694623,0.020298803851939523,-0.05187292946945325,-0.08843154322035374,-0.007720518003406794
NTF3,,,,,,,,-0.004643523811764336
LTA,,,0.040268484759591945,,-0.004051477521894247,-0.015402903334563792,,
CKLF,0.02904261408158582,-0.06223462453875599,-0.0013786576291879523,0.01836542940540952,-0.022655170292796123,0.035648260339981225,-0.013009491359292958,0.03238267224605721
CD24,0.08331762387657281,-0.04274601968614269,-0.014037848341107169,-0.010066696204859726,0.046688750941680145,0.09078716485877705,-0.01031346657208224,-0.02290409690345798
HSP90AA1,0.03583227250900609,-0.008730624879753967,0.02051736442907327,-0.04041508410937168,0.03159673249668648,-0.014305924395299046,-0.07394264461050584,-0.008810194414695204
BMP4,-0.037690805454698675,-0.008233814187600438,-0.040269322667513416,-0.03811460081756856,0.07659459800610392,-0.013124864521069838,-0.00016815109731717847,0.01736708748513506
