,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.02517034272776495,,,,,,,,-0.028066037031378468,,-0.015954311688617606
BMP1,0.08844285138585517,0.1065245109116373,-0.001848621767249178,0.10487288898384932,-0.024524556783410856,0.021390712550158453,0.02138095966730181,0.17796838721100458,0.023390807172538528,-0.025330702461286318,-0.008132883940623486,0.07785202049365073,0.05640008519688083,-0.0008336828542714269,-0.0034719924581694296,0.04718494326750657,0.0567965742132403,0.09704066946607283
NDP,0.058555479932318286,0.0683681703936982,0.01187070582075318,0.12725987304045164,0.0519420433800753,-0.013087978530016432,-0.01818870335140282,0.07613355239001716,-0.019864196683168325,0.04231330196751601,0.10438365379839189,-0.04910617947921679,0.18083035127959685,-0.025335857446147723,0.021265158420186062,-0.013023587280437024,0.0006783372401762188,-0.03394886560161065
TNFSF18,-0.026427539174367572,0.08396277909592015,-0.02728687065777094,,,,-0.016121191076300657,-0.030695654661663404,-0.010413417657480209,,0.03612935063780213,,0.021423574815710812,,,0.023133064562435027,,0.1463489913818135
RTN4,0.0509922417988907,0.06815351458016307,0.004320207788364757,0.07909136743546903,0.045898643673491335,-0.041889216214262226,-0.05896222704868812,-0.28218254831828976,-0.05861491577702708,-0.06742834471708606,-0.08701214795149644,0.02333301144522949,-0.05372489122693026,-0.06306450499636934,-0.04386613440504797,-0.07429832478891404,0.0897777172530896,-0.03799951396079328
HEBP1,0.051432004752203345,0.018451798478739796,-0.015621076869791688,-0.030828139567872042,-0.03572712733734483,0.01068575753389815,0.011274012465661683,0.06508151943144151,0.01059738346843925,0.05112521242097248,0.12763463449828763,0.016468752473635703,0.0169865737970342,0.09363735839276269,0.038761661409407434,0.006761865806228397,-0.01625259934631064,-0.01792216019728914
WNT7B,0.09946175153677758,0.013139224420196835,-0.02282401322472398,-0.05243337571256303,0.030876485028596905,0.06564976167175808,0.018466441534408316,-0.11797623549742758,0.07165372425482952,-0.013054821819256976,-0.02606723386455952,-0.07917733940032097,,-0.009918593023527305,0.08235546770624044,0.00941234387656993,-0.02311997225845022,0.028293971083033078
PTMA,-0.06734456934983724,0.04865564883509203,0.031774334044171036,-0.003223220919416074,0.0030846590321920433,0.018308328843528114,0.12899595140639647,-0.05526052062852571,-0.005899369978435811,0.03285065353412351,-0.04732812939542986,-0.0052312270927264235,-0.030981000862137526,-0.010318910900613786,0.025636918198915667,0.0008792365583004752,-0.007387682189460685,0.07142116793601573
FASLG,,,,,,,,,,,,,,,,,,-0.013837169084645969
CEACAM1,,-0.005048652219444379,-0.017516057378018157,,0.0007399526338032852,0.03448057185069462,,0.014929326839471384,0.04658678854407553,,,0.043222354959771905,-0.03759372721874139,0.06191017844815498,-0.03825813913465017,0.006805120716191155,0.10465495702771405,-0.01925238847107168
PDAP1,0.015979363025423493,-0.0050433892273687156,-0.005755557308780138,0.014449168445353752,-0.004430619938183338,-0.026728133313288393,0.09524720996383616,0.21669414820458846,0.03234166838810587,0.027843187304163082,0.04441026910301984,0.032312831937921824,0.10179301803862291,-0.009466868825224881,-0.00957051528961503,-0.09464510333324543,-0.019688731055637676,0.001410986096908239
QDPR,0.038090202440992635,-0.03756866204707568,-0.00351448457713699,0.05309054235155256,0.0541022829413906,-0.028027220583982618,-0.08657979899037864,-0.1997466217874684,-0.037259590377898125,-0.02195754956098108,0.04022950558605614,-0.00107066205041426,-0.002417892610763948,0.03615584624205261,0.033342925786806844,-0.02649245965166948,-0.007102980975484584,0.010198564397741049
