,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.014688234475308868,,,,,,,,,-0.020719501580424446,,0.08195714560489047,,
BMP1,0.008439204507907888,0.04916694756817187,-0.04295100682339501,-0.03891243242190596,0.028663835721765035,-0.018894460758991587,0.1017543149830037,-0.0883216002677874,0.014127204327975791,0.013092566921240598,-0.012445536205792331,0.1894688190941229,0.07745139454354422,0.02873203744167363,-0.03230696648414377,-0.012142459714658275,0.09176202001899132,-0.000947476431932154,0.06843540938556894,0.08686757901989635,-0.04962596324054249
NDP,0.021779839185806057,0.04135697701782585,-0.052710093455530994,0.09020983222050556,0.048566899295199556,0.05019544653976493,0.05585551978307254,-0.05085007196204235,-0.006025472442554898,-0.016474778890441102,-0.007187576433864742,0.13395818698622922,0.07400059064301252,0.05605852855263272,0.058920976895724314,0.11796489418525256,0.10765537259931478,-0.01843677712819484,0.1098349202047649,0.00689722783763238,-0.016484420645432617
TNFSF18,0.006405834067681441,-0.035578225711432085,0.034535910325534415,,,,0.014627475706490691,0.012863114512896071,-0.018062788459564168,,,,0.13235801938492356,,,,0.09607528643520856,,-0.0028820415876782287,0.027463626448206897,
RTN4,-0.044419306986680916,0.023238643145083712,-0.03990816340012281,-0.012500691122277403,-0.04963730356797067,0.015887763521792796,-0.14917429587853168,0.09080083063910108,0.05464426438877359,0.061275406892287984,0.1438941694098558,-0.04316575554326259,-0.01548621444396528,-0.019062901348533594,-0.013823744241441742,-0.08511680098133614,-0.11565531223878354,0.061407955167299834,0.025509640620821894,-0.15372244162084034,-0.11206855985987252
HEBP1,-0.014999762984809038,0.022838235875851747,0.0024401636522943942,0.04202806831212266,-0.007595035117545227,-0.06224938846991673,0.046431788100158196,-0.0660461853866786,-0.040751096564705526,0.015188587166017651,-0.08126682421049435,0.030892045217335753,0.04526814070086896,-0.056849519336932205,0.058619186268929126,0.011108100773095752,0.03667469730404955,-0.04743568324093764,0.06661959723239382,0.014833022665208296,-0.06062789792801017
WNT7B,-0.02934555870848881,-0.019775051633034214,-0.014775007345797746,-0.02737613885605976,-0.01942609088891076,0.03754664253621058,0.029243626772178583,0.10316791249057511,-0.035012594499831774,-0.0018658245409950613,,0.04107396907603856,-0.0347763246968437,0.04122315922588434,0.021197989261836518,-0.011920991277504797,-0.04468149783642468,0.04985664471092941,0.026446820505152447,0.0187733905353389,-0.035766143460154075
PTMA,-0.05423258292567234,-0.019527815889437694,-0.008257939832550002,0.02690629401637097,-0.014235462126151507,-0.039309139873188216,0.22665047717395972,-0.025957673547480634,0.008552384505122137,-0.03198953621526869,-0.16223698858062974,0.19783370286014676,0.0017391297256285259,-0.12515479865701049,-0.11900838703459371,0.004037137318186856,-0.1445339241574328,0.009119181872888248,-0.06287747973056643,-0.012436623431294928,0.00576703789077794
FASLG,,,,,,,,,,,,,,,,,,,0.03119782621496489,,
CEACAM1,,0.007831688578802008,-0.011338929481047162,,-0.02421731969849986,-0.003720890726454767,,-0.02870280651660428,0.043039311576088694,,,,,0.0024256150145532556,0.0497462492763132,-0.006250915221573776,0.03402249172270179,-0.04471891631421098,-0.020951696730112063,,
PDAP1,-0.034337084403085416,0.057375464737768105,0.006693388293452033,-0.03731206181896248,0.03223001239500993,-0.020807653939906603,0.08019404390522251,-0.0560694830262259,-0.0410754925364859,0.026094985095392445,0.04565805000900584,0.16296642340160614,0.08121495336232587,-0.06755532278664544,-0.04146941018131176,-0.07220126300539789,0.019173409136254,0.005932328745342922,-0.008339672916005502,0.03658013635309368,-0.029620436036158843
QDPR,0.06375347068347137,-0.03164258786098162,-0.11035614573375897,0.06947651578058307,-0.020896780946286223,0.09610438642628356,-0.10298895886281004,0.013699082711162968,-0.017178861030301036,0.007254696194159241,-0.09875599301468338,0.1149573136055668,-0.019247622183080227,0.07551689166979846,0.014720330961119375,0.17810532702609175,-0.08281566608718126,-0.04630963212230975,0.11062911640298334,-0.05264851300966619,-0.055372493535691805
POMC,0.09539575782463046,-0.040706496768164534,-0.020147468645557682,,0.02877987334084302,0.04056139170974069,-0.038679652480240745,-0.025397484607266898,0.04604368388471604,0.02315189390678403,-0.009721371476776456,0.02866240378603931,0.09236764430505447,-0.02405710764838862,0.01466953274479151,0.07649762237485956,0.06176566687421494,0.023274694594742743,0.06302169686118946,-0.0061804356893807345,0.020118557851217606
CCL18,0.020202077878916997,-0.028258278343072138,,,,,,,,,0.026855681034414314,0.13944174105982426,,-0.0641800445310348,0.04980397241877358,-0.05497105791970373,,0.013044864411813895,,,
CCL17,,,,,-0.036473774205929996,,,,0.0654558247890443,-0.022365723067126756,,,,,-0.04355854417009514,-0.04478110948236151,0.009078942328996444,,-0.031037637162005964,,
VEGFD,0.02557694292666541,-0.004386033398203244,0.0851961584246508,,0.03920010323851228,-0.028327063441282694,,-0.02460673277345418,-0.024001480309403644,-0.016405528347944103,0.01769297083186591,0.07881456736332122,,-0.059459169397713,,-0.0029790399337465516,-0.028811495082547784,,,,
TNFSF13,,0.01016292566296874,,,-6.546569455282369e-05,,0.0522614297710439,,,,,,,,0.07700796816021936,0.04632407381709009,-0.029294449474644164,0.027986010349960955,0.019855259707465885,0.05243992321657226,
WNT5A,0.0405004383914325,0.019194666804971724,0.0868118381668804,0.034429493761883784,0.04730954203275538,0.0016511862224450956,0.20387858734363482,-0.0741716692805679,0.06245044208351274,-0.01697027995211885,0.11321740279472549,0.025463053987297438,0.06809100623778554,-0.07792211950409109,0.006433656909261151,0.01562495355640495,0.04245604398542783,-0.02199715311491345,0.037017408642549016,0.07671431106359543,0.07521373378586912
CXCL8,0.004194748178301531,-0.053901847009947254,-0.015206867776738266,-0.04075474888609304,-0.04737983392089314,-0.06514627235833298,0.040589892267796315,-0.0028429212262855797,0.027395802696400746,-0.015277541333693172,-0.07303277024157248,-0.02423146164309491,,-0.07485589690430478,-0.08621104233506137,-0.2873419260374634,0.12301153226599235,0.02892800269176144,-0.014738548716515538,0.08830521493166107,0.028983021637531227
GRN,-0.03892247263731398,-0.04854093999900476,-0.08053771976686132,-0.00706204442759889,-0.005134357209472898,0.0025493074709239984,0.05728681116992018,-0.09203120175194973,-0.0038439212026490106,-0.04252779257768627,-0.0810277890874473,0.04566053545368687,0.013798591742478,-0.2399733734744894,0.050153202151323954,-0.0819313822735359,0.11475141998762697,-0.05010213367804175,0.024340144227785285,-0.07899642452845848,0.001012338038648375
MIA,-0.04980428550120335,-0.03758051691896885,-0.014443379781987365,-0.07493912290190735,0.014749276393431895,-0.013203144048241121,0.09943548686907579,-0.030857910762665062,-0.030933153568994672,0.10466377992344993,,0.013688738157663055,0.04654205288289757,-0.0633653741749122,0.19122220662421383,0.2803967948109436,0.09063243673014888,0.0605803134982637,0.11389648998247168,0.17576401252295645,
COL4A4,-0.021479657255879605,-0.012483062486554815,0.05513115361321098,0.03022115148809717,-0.017814359465371174,0.007826791262984582,0.019155092972337518,-0.014474164838758097,-0.023519734719347273,-0.02210995475087629,,,,,0.024628464128734883,0.07039721187387334,0.008697879515104277,0.00024355196638542708,-0.052910220478025044,0.04114438282297501,
TAC1,-0.060942556359373526,0.10832287690742733,-0.036231545422950005,-0.01059318071551763,-0.014140445795222972,0.045264856659619955,-0.11033739473107008,0.09056820049004545,-0.0026155048023860125,-0.0010547625073813356,0.19622292702556082,,,,,,,-0.020805451218209096,-0.019084146815815526,-0.10104160608949288,-0.01454382871315593
RARRES2,0.021564905484466417,0.013278391499787207,0.05125414804174638,0.008880805048271729,-0.05186671060599443,-0.03468014356224168,0.0782393830624928,-0.08069855072454815,0.004678913386821385,-0.009436344888474777,-0.05095466636589799,-0.16393478288729937,-0.015433930123519075,-0.014512894697377968,-0.03162449132033309,-0.09780486161202598,-0.0059524699319302736,-0.11748111075438464,0.016110758513045376,-0.03303616682912261,0.020713532238367582
FGF7,0.003312872614756487,,-0.0183306798916824,0.06856059554346601,-0.03742952647024308,0.02727092194439561,-0.004613956165153964,-0.04124916597855972,0.012157455059225148,0.04270898437736936,0.004321752857226028,0.0876277852609862,0.015886060551341497,0.005027174990282407,0.13125804552988724,0.023822070314182344,0.004558088926701028,0.08736018985942791,0.11264080719197637,-0.01762652832069642,-0.007992376443809813
EFNA2,,,,,,,,,,,,,,,,0.07351750653902846,,,,,
HBEGF,0.007195706403696542,0.01260584545440123,-0.056864700985119435,-0.06860287392644797,0.028028161620238808,-0.05671070198994729,0.14139599776031153,-0.05442237945837073,-0.00789600374277845,0.0067236435009731844,-0.05933418773023986,0.13397803711527162,0.12790480265289048,0.017551825057787195,0.025548254085792237,0.019533826814829312,0.0037121865877710984,0.0013527809766519926,-0.010034027888829993,0.17751363105013498,-0.09165068089683406
CSF3,0.04545682359368839,,,0.0828475552863934,-0.02342770113985312,-0.05828483289959449,,-0.01531338780632783,,,,-0.055256602844118576,,,-0.05922633887391729,-0.11630545352410002,,0.013280151992982433,0.03405556061813731,0.1037333636693445,
PI3,-0.0438443751747035,-0.029728900235497565,,-0.0013755457757866727,-0.021271522927562625,-0.07840909641803463,,-0.01724307678476715,,,,,,0.011570474641682177,-0.13091467776396049,-0.2878285750400798,0.12710059932747342,-0.008658698511228604,-0.07099809845180505,-0.037940754944476095,
PCSK1N,0.09384574719132117,0.018108290721636385,-0.05263470856081929,0.07209921697047764,0.0487056552138999,0.04124643812225495,-0.07947168873835711,0.03557936912451681,-0.03264029764836321,0.029566234137627247,0.1408700837895711,0.08901082149811777,0.01766869233187833,-0.016173514845626465,0.031871781184576585,0.05641878004704209,-0.007056374148227636,0.1654964585104041,0.0873056389289055,-0.0925330402474362,0.025790682597959913
NTS,,,,,,-0.0004054973169955298,0.004056556558809015,-0.018821995682295777,0.013897172648160153,0.006599434659120033,-0.028855902535361595,,,,0.004765791974550884,-0.03963228160482964,,0.03812268720351372,-0.0018781053994447923,,
SFRP1,-0.011313206768772194,0.05082902504336398,0.029115064282487665,,-0.031824777837005665,-0.002330392720724672,0.09755404881505043,0.013172131296285595,-0.020256895441870485,-0.022365723292367957,-0.07057073956271889,0.09503402342161169,0.0033334648371072706,-0.01313098758149645,0.02627295958508127,0.07738018154427603,-0.052018280222395366,0.03926559022506286,-0.03786135177046233,-0.08553300173404102,-0.040011823364641666
CXCL13,,,0.0841458912788457,-0.02898301602960371,,-0.018510197658217487,,,,,,0.004679489256990367,,,-0.08793210236383668,-0.05573761619321902,,-0.03233654993477247,,-0.03028470267306848,
MICA,0.02963883820559031,-6.477845694091684e-05,-0.040585862752260025,-0.05041594214307676,-0.04027377944743627,0.003269402357601005,0.03663380981128166,-0.010275463726690717,0.008414252786960473,-0.03013636550278307,0.02929723116941664,-0.004187403059028378,0.09597798532918395,0.018457142041552816,0.08848220519471786,0.07103592487347168,0.11088388953329789,0.0647335613223778,0.056095335210686784,0.11843747833226481,0.06390654472446103
TG,0.03702944772701674,-0.002560052268629033,-0.01541865947789606,,0.024778128454227333,-0.031223635185589547,0.031854997495522,-0.0184818890244346,0.027513714072536288,-0.016185976657818086,,-0.02145267005271983,-0.040482684178204754,-0.01769280290154663,-0.016344066264273583,0.015806167719494047,,-0.019622002518469954,0.09565488007555192,0.07137614764292208,
ADA,0.05238905214299206,-0.023808307167436343,-0.031852897599499726,-0.03930214733762314,0.041902343631046876,0.03252129888232062,-0.025947288485528717,-0.08380941881308077,-0.012179212273564442,-0.026287327769405764,-0.11928062249217804,0.15245783160843976,0.03665115898590458,-0.0238683394355306,0.06719168602769172,0.07032796714245386,0.06115370058430504,-0.03877008742927753,0.07225939717255084,0.03163143104414663,-0.05014401575068938
LAMC3,-0.014835915535480068,0.007282256860630768,-0.003316082610097714,-0.04484149038677617,0.02748400752832224,-0.0038862978866541047,0.0766121853469556,-0.04804005971592149,-0.03906935953512743,0.007534471727432732,0.03677433402936616,0.06910936068419958,0.11996220290556442,-0.0121737718177247,0.014035140914746513,0.13837584675117715,0.07318837397366428,0.04510494822517985,0.039473130021907936,0.12302154510619444,0.0930509826240456
CCL7,,-0.01797465222239738,,,-0.02483064080281003,-0.014846970559923272,,,,,,,,,-0.02183452735841995,,,,0.01376007237812031,0.04303622091350547,
