,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01520053604231299,,,,,,,,0.006227760137885595,,0.09802652640802399,
BMP1,0.05340734892012787,0.02328078102313321,0.08962342929681555,0.02390079730498932,0.0039865228634336,-0.05793944992222731,0.06606958634632502,0.02672236195009567,0.009623497725451475,0.03111245654863568,0.000655765421866203,0.04029337996480103,-0.053339955261969774,0.009503029444949398,0.06720858930155421,-0.022144823008482424,-0.009745746967251659,0.025363480707577504
NDP,-0.0020849052649597414,-0.00520092560801691,0.07348830121145941,-0.059868841010488734,0.13643799107470697,0.011736151534424866,-0.014405661061964965,-0.0379781038409298,-0.03323601130754729,0.0020609456375802024,-0.013442664832875338,0.1254588458534028,0.0353479412695355,0.08018003887949597,0.03974488557798096,0.040559132954107895,0.08083509766343325,0.0645301057262068
TNFSF18,-0.022885149103990837,-0.011622465659913145,-0.04068869454241412,,,-0.01163850591128175,0.06114787189909656,-0.016503114696835287,,,-0.01749855543292033,,,,0.013714609841475,,-0.035902327315148995,0.0649185374941688
RTN4,-0.016233821373127774,0.014342118776397085,0.006102965454164059,0.041448374371294006,0.06241147333020745,-0.005308977282958027,-0.06196384852114078,0.023056536984334634,-0.012918993761060515,-0.040813529968225425,0.028016704693083837,0.025358077843822983,0.019610027495110646,0.010905467388229279,-0.030852690184546186,0.01168010210366415,0.005342074391499949,-0.02155407012140407
HEBP1,0.005565773273006503,0.01752636992470199,0.019028511578351573,0.040221361978337235,0.01298353527272145,-0.03595008338068894,0.0018485894225359646,-0.007309061638009467,-0.03511766354539917,0.03004132295862514,-0.12000421958676255,-0.014592696612750804,-0.022796305714835378,0.0346161244240428,-0.007476156170801413,0.045595913150747736,0.12161050541788972,0.036701960746466
WNT7B,-0.020161099577813743,-0.0491279445425614,-0.008504541950607417,-0.022996614492091318,0.009730719378513912,-0.02082537614685372,-0.010487047800643162,-0.00985711313711328,-0.012182919066024495,,,-0.030467326426722965,0.05900761052237691,0.0020797796585232745,0.0827716975964612,0.05759516841424465,-0.010075190600747977,0.05679026759101155
PTMA,-0.0657197570533491,-0.03344224395534209,-0.008490460871591712,0.031501733211923906,-0.02776079782367908,-0.06410437244191035,-0.03985078863962055,-0.021820433081659436,0.04881146713067213,-0.01737775827695656,-0.11398105764930082,-0.041962955152571375,0.024333553876577846,-0.0347021199592725,-0.01418744046825947,-0.0745224476779118,-0.0969933074524024,0.021366843117924052
FASLG,-0.02016110527730495,,,,,,,,,,,,,,,,-0.023417091335773056,
CEACAM1,-0.027993871121225065,-0.021128991853761773,-0.02282102075129631,0.0857908949338837,-0.015610031605655168,,0.03361983203283622,0.060930382677187346,,,0.0025950070467969225,-0.02732358634526218,-0.030964231543622073,-0.02938121489970423,0.21171309121280665,-0.011741343295990478,-0.0062735766839057015,
