,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH916T1
IGFL3,,,,,0.08932046684878764,,,,-0.014974383683191369
BMP1,0.038489634553865074,0.025349046834653357,-0.03806469629853173,-0.00306171741913761,0.08533822285904648,-0.00797281236895268,-0.042896896643939864,-0.05569062976500072,0.030321110879697324
NDP,-0.013261117019573958,0.04691103584338908,-0.06442663062126892,0.021558400867239952,-0.043086951360576824,0.038948748687235114,-0.004080956100029914,-0.10076670847122632,0.03136446177747021
TNFSF18,-0.024830504610871256,-0.019174978253756553,,,0.013353832334447169,-0.011674763020464786,,0.02631822466698257,0.04190818406401674
IL36G,,,,,,,-0.013143811868385777,,
RTN4,0.00615381165703474,-0.004331826359019859,-0.02111622161282469,0.09708403766150807,-0.05547660265317471,-0.0045784724690386535,0.04505471933917412,-0.1020293695716621,0.015542942943789145
HEBP1,-0.025899512641706913,0.011166787299146176,-0.04656724332001104,-0.02221295678507807,0.03747287608685973,-0.004891040543146922,7.5457159294265e-05,0.017606307082955092,0.002898508198247958
WNT7B,0.0060911843855278695,-0.02668944831045285,0.029171480230471433,0.012543754473137584,-0.06150857177462762,0.0376089874010323,0.14497816105130493,,-0.03196155971843915
PTMA,0.013260658109988756,-0.00036935054917596485,0.005993008431349302,0.01402739995551157,-0.036151823923440754,0.007269350643708785,-0.042278255221273944,0.04423742039615679,0.03760721285957264
FASLG,,,,,,,,,-0.012987277859847062
CEACAM1,-0.01580393568753256,0.01034960153357449,0.042947208404054485,-0.016010998647865253,-0.029040107775760757,0.04188014567950089,,0.060166730691363524,0.028961835619072167
PDAP1,-0.024469379121865503,-0.0008858381359823063,0.0702074242047693,-0.03624912132376567,0.021468185981678448,0.002242593651623482,-0.004834655455650064,0.08411749209288061,-0.011566452445888727
QDPR,-0.030718656357747485,-0.03555844495211398,0.007068508825141821,0.02759586206560629,-0.0588609327722267,-0.0446621033390131,0.005527979451297012,0.12141057439608954,-0.029805615379301043
POMC,0.037571428105137576,0.008998628988968657,-0.0008334079371288428,-0.009793234416781555,-0.03743430889910827,-0.013546471790434724,-0.00224762635042593,0.07038007226112629,-0.0012820301631408819
CCL18,-0.019721818518551773,,,,,,,,
CCL17,,,-0.024329528911052806,,,-0.014560702493061916,-0.012007245294462832,,-0.011771508653851312
VEGFD,0.0857293252473533,0.00355847778677018,0.004749057758764809,0.008421741850780744,-0.024895898989427227,-0.015513196945196383,-0.012868536686527886,-0.07403247475742877,
TNFSF13,-0.01488272184950288,,-0.01678196453190865,,,,,,-0.01918069082354548
WNT5A,-0.015387112108630408,-0.015799737143240362,0.009269145075067407,-0.058325177956215314,0.11130616329222899,-0.0006184782660145613,0.013454936860393257,-0.06133546434492398,0.030454841928683453
CXCL8,0.05969280282104394,0.02095623724183078,0.05496015207554569,-0.01835011449554029,0.04940875598147124,-0.008284123128394681,-0.0031778356578666825,0.057325504612190735,-0.019463005599328745
GRN,0.016027658421078735,0.010290241661792546,0.03466128441535578,-0.006651260621836174,0.07641413442629043,-0.01381558189512127,0.00617077480850053,0.024337987266082904,0.03047644685030782
MIA,0.03740728442867969,-0.026090399083911794,0.03035479919527246,0.072554652941322,0.05757971149259417,-0.008270644826231634,-0.01762405072584029,-0.01597273546335777,0.06608996929223049
COL4A4,0.005723276952078565,0.06067165642503722,0.05467248788144842,-0.030800853742615816,-0.014644258102025827,0.020687805543151718,0.023230848412455582,-0.05796888574775752,-0.03456922038658157
TAC1,-0.030791403090929093,0.004431929248975128,0.03341777754633705,0.016603063111572332,-0.06092509716112428,-0.055343963109411996,0.06265260417006636,,-0.01547484510286835
RARRES2,-0.01903364620041963,-0.006484331281624546,0.024725693181932056,0.023582229460225826,0.10420075475447908,-0.004538055777671733,-0.016476512723275005,0.032252680583924276,0.040180878028885314
FGF7,,-0.013035814550456245,0.03999856040052317,0.20432074671198777,0.10683192442384476,-0.03465450118139512,0.034982605193420224,-0.05931644468545056,-0.03369837581596862
