,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.02195223240769347,,,,,,,,,,,,,0.026828663725696814,
BMP1,-0.006132205038209397,-0.00826117670083801,0.03702555040646053,0.050126643670051554,0.03007414511548136,0.02016367961073365,-0.00041055237517922775,0.10094627247134244,0.19823634074306345,0.0023717867387681186,-0.022874879930796246,0.06717676269593448,0.057859897830957,0.0425514832029924,0.0529510603652264,0.08603880284721753,0.0008955156365012981,0.04101691131146275,0.043642135732851924,-0.06132273896198774,0.012869200371503164,-0.011432792158796192,0.12350178023364881
NDP,0.05649513740944485,-0.013164387210407975,0.05925582448452873,0.004861910119835802,-0.039606333582332474,-0.05418614076955892,0.014780612405489427,-0.043087006732884466,0.06846217852606676,0.009063097930636565,0.0145917257466123,0.013431382913609182,-0.032706938465699484,-0.03554718003293613,0.07755754131279638,-0.06449527834781449,-0.035862596468591426,0.0049773409125540334,0.029623074081444236,0.10728616456221543,-0.003057857496560432,0.024034151307572294,0.11145430904842012
TNFSF18,-0.022885152519951636,-0.02859202688887488,0.0034941583394006758,-0.020079184284880345,,,,0.04654852716767211,0.13246700936852676,0.01259606071252991,,,,,0.0541109220753347,,-0.07506225231272187,,,,,-0.022646849729739394,0.024668153075398283
IL36G,,,,,,,,,,,,,,-0.01941856582219266,,,,,,,,,
RTN4,-0.048237690596162806,-0.01304924776916722,0.02277195801250353,-0.04408153957564585,0.0004899009942325167,-0.02389811246941947,0.05480165557066309,-0.1736794286930798,-0.2378499736990959,0.04263309661977583,-0.024811961123197137,-0.038876052921050876,-0.04374750578313856,-0.00033946373541497455,-0.008652096390861357,-0.001867088223730162,-0.05251957163431063,-0.02706144876373595,-0.00849488555869495,-0.06648080217847649,0.06836295525612873,0.041777926353476616,-0.1500817979007771
HEBP1,0.035645393358329516,0.09518437858324474,-0.04513779390921206,-0.009526722525927823,0.10092028462077285,-0.022691789274599125,0.07255763483384764,0.10972944897551803,0.08566118980242958,-0.02689887700982422,0.05540425220501155,0.08613237379812899,-0.029560120536610824,0.04451951475503927,0.09544396129829154,0.06315566340669346,-0.06622127129238768,-0.013743597645408492,0.030235668123200034,0.08798885320725969,-0.004615576706321929,0.08866378512396053,0.0414239177197898
WNT7B,-0.020161102587168217,-0.06673410859240421,-0.0825524965818349,0.04519001150468795,0.06320505952714477,0.02628208480247265,-0.03349838067840279,0.014936159085420642,-0.11579455574887718,-0.0023582872507228155,-0.013333402474102975,,-0.024126351933110222,-0.02134324166129108,-0.04301143948463267,-0.06011894769085352,,-0.04391935653265515,-0.022334384334093342,0.03382378347195456,0.00706655256431222,-0.012011441427833305,0.023002111397893564
PTMA,0.02179601802494621,-0.04608597403927893,0.037906569239290026,-0.010126104763659683,0.07009824335298034,0.04403548495918396,-0.041073292128673784,0.22167694240951044,-0.10978843209956117,0.017593881842209738,-0.008078777435920906,0.023994214778411526,0.1586529207086281,0.046166435369086906,0.03825489926318298,-0.09798148722021689,0.11263587945235083,-0.042116596098319276,-0.05952559226278946,-0.07024876989095823,0.06740069661094017,-0.09109930102872668,-0.060629674747483805
FASLG,-0.020161108286660272,,,,,,,,,,,,,,,,,,,,,-0.022319549955555667,
CEACAM1,0.00580655912881205,,0.010357960927299958,0.15005254096206738,,-0.025554830960323145,0.02441453794045184,,0.05358404133996134,0.03294927542080574,,,,,,0.11965682491383645,-0.04605391400299002,-0.039387582410112774,-0.04092364433859653,0.05591055525411653,-0.0241786419096546,0.044473510501056274,
PDAP1,-0.008415018361081324,-0.016371077103011993,0.01955596233785072,0.049678733530680294,0.08259005464473028,-0.0017652038064212103,0.02197336301028998,0.1199401674935837,0.15319460374698016,0.017733362630438582,-0.01243002912327846,0.025155413317632953,0.09291833364625882,-0.0008265867588253222,-0.014516124408607807,0.002993982351751251,0.07930517724261694,0.03884088697808444,0.004318637627496163,-0.008322770426754228,-0.01413176697223659,0.018646181337967162,0.038239428910933786
