,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.02726813910416603,,,,,,,,,,,-0.07206236198738597,,,0.06261412464681049,
BMP1,0.042307534920526246,0.08671779170812609,0.03253725413296672,0.07666808388079001,0.09859212320438324,0.029501913584146024,4.771322656996158e-05,0.07094050726551536,0.03149153567551416,0.014127002986691816,0.0576006120314848,-0.05591866322568408,0.1555988338294319,0.08614788304827484,-0.05527722696190595,0.01718214181641726,0.11894744646298853,0.05852179210819856,0.24218513005708017,0.148780214709872,0.04008556156311513,0.08076320220462024,0.028402166392645322
NDP,-0.007422533364020401,0.0055798016689629784,-0.09746282470056608,0.1152043826168322,0.014665649310901616,0.015572301571646416,-0.03152328694438523,0.017455477323386717,0.02624880571815388,0.04737903644618885,-0.005787927355345099,-0.042609018214297585,0.22514804189840518,0.07639341519618242,-0.0007587804335429886,0.045929925373278994,0.10928752671500826,0.08426250318319604,0.14485043666625577,-0.056492281051648024,0.0782344375132191,0.07716621930273125,-0.053308174025983195
TNFSF18,-0.028800780392740727,0.0350194389406679,-0.03649086682381306,,,,0.027008185645215885,-0.024744400148110985,0.030877266466157197,,,,0.09361941848732108,,-0.01810932077094386,,,,-0.0018992106797304932,,0.0959785258803986,-0.004138035980567614,0.08162633481460595
RTN4,0.015190855928902685,0.046775252113849614,-0.0839428285195122,0.09631592345141365,0.036990395303982855,0.04000456104293353,0.07285812280296017,-0.0470225809454503,0.014961964731862776,0.060767865851293845,0.029992121292926367,0.1173498641146365,0.04465734111688382,-0.11408227091670955,0.10988952386077719,-0.0003321334920159726,0.05461992544772467,0.05678628674471705,-0.33141683012013484,-0.05508308374493973,-0.09454051723135108,0.14049299666568515,-0.13711625657593915
HEBP1,-0.05914104384114146,0.04268415601351631,0.05133056874365569,-0.06271332289398167,-0.044430193130860156,0.02460563064637024,0.0001621604891887293,0.07830951714706123,0.07703945366959272,-0.059037314483290006,0.0033647082480981983,0.021176501434841215,0.09212613393145375,-0.009888973844865092,0.032214303066444065,-0.0373659766750777,0.07594292517797231,0.1078832838348636,-0.040028172273614285,0.016475978889739035,0.003574200489430824,0.08899503619970375,0.019417084267932275
WNT7B,0.049120828850256454,-0.03362734877265831,-7.791320720980235e-05,0.03685870733863962,-0.02900265941663395,0.12553250581376058,0.10924958026291882,0.03562678106782095,0.023322790553937725,-0.028233072497146357,,-0.00584815682816368,0.1223908983342187,-0.08364073005735682,,0.014254240449653023,0.006347008732117696,-0.0427551015059465,-0.0100776045034408,0.046134274238521226,-0.001247110328047707,0.022752245274387402,0.02641770757352065
PTMA,-0.05607409951770921,0.011636750828861803,0.06366293444462943,-0.0332316345758782,-0.049160498772843925,-0.06500470783684859,-0.058443971350423056,-0.07439437033267852,-0.04509822004417823,-0.003515719238491333,-0.0262933602608775,0.05461841940194596,0.1034423805880445,-0.04427535865074893,-0.025494721150872052,-0.049485889005775614,-0.1094389104860167,-0.13085684259376373,-0.3534377654213679,0.006367735831307202,-0.007294722361878034,0.009863403279407592,0.07883561707910958
FASLG,,,,,,,,,,,,,,,,,,,,,,0.006760972880357232,
CEACAM1,,-0.03298881437620149,0.06913242557520544,,0.03793345323984333,0.024122370240211785,,0.014565302580785783,-0.039901078800170596,,,,,0.09359681435875193,-0.03181421592376489,-0.03750545445429491,0.04390996758889712,-0.012829764245640543,0.097702872990969,0.01943233515329636,,0.012565743969034473,
