,MGH258,UKF243,UKF248,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.21841517378189398,,,,,,,,,-0.019296707675774755,,0.03647534708156379
BMP1,-0.0655283083813771,0.04404782666538905,-0.007148230070266042,0.029874940787789878,0.03735985338601337,-0.009109217834819428,0.13365431727390498,0.04696171321284163,0.028763570334587315,-0.07343251067833856,0.07709908818749382,-0.013376957912222215,0.03131402021027055,-0.06029370119016447,-0.010298862556103103,0.021767722138019894,-0.013956452379619276,-0.046736228294973245
NDP,-0.0787751226529564,0.09481293555445486,0.0287828783389283,0.015995004123722085,0.029119999804849108,0.05991907935267407,0.00015178863505202237,-0.010711027519139547,-0.001081021353458911,-0.03839284056514201,0.05381976492756652,-0.017361774703313272,0.051295662683780024,0.016095873147479317,0.01026920494323017,0.001972197356699183,-0.0074477390166087214,0.0542251264248459
TNFSF18,-0.02166145474613874,-0.0024176307521004427,-0.03319702091977822,,,-0.016121190139662418,-0.04053381209755303,-0.017588837274994055,,,,,,,,0.031453796117800525,,0.032090693913027685
IL36G,,,,,,,,,,,0.032166573545161954,,,,,,,
RTN4,-0.01861545342228864,0.0060755972961391855,-0.015672794369926083,-0.01910150071899944,0.03973720224185481,0.024599185871827536,-0.161813398738552,-0.00938460050746696,0.034737713712911344,0.1510307799641548,-0.0193235470010841,0.15303130133237133,-0.037731557905783496,-0.028315357445147248,-0.022091379897210786,-0.0674674097798448,0.06939742609826241,0.02285252175135601
HEBP1,-0.04097004287414831,0.09037406565215843,-0.02644392941456879,-0.04894585873814999,0.0032434995417299625,0.0629258594644974,0.0596587591523755,-0.009075057155068556,0.04555051896897802,-0.014132411686816018,-0.006584460089262394,-0.01209942503497285,-0.007580477959115547,0.04204565340977873,0.005624959275979681,0.06772938749498393,-0.02080729198475931,0.0012459660005375483
WNT7B,0.0313003115087623,-0.013564416366933636,0.019706033095244328,-0.031103820361320672,0.04933581750579694,0.0357593986401011,-0.03861760819126153,0.020893914190508664,0.009147091743653038,,-0.026485935915145854,-0.007988235974266093,0.08953473588827447,-0.03804959910965879,-0.024004964610825703,0.08359273440609963,-0.007304150763097617,0.010711022433226141
PTMA,0.0058293188049661935,-0.11254026000445683,0.002898141212554038,0.07019129952332359,0.0053116712945233445,0.022448179060893737,-0.04091297750003712,0.003011723977898888,-0.0019868444778680357,-0.13195416118635087,0.0861567285892388,0.04994552930402696,0.0072654279577286035,0.012981316096894685,-0.021309503864291472,-0.08097522027034773,0.029714370735393635,-0.054520202567312354
FASLG,-0.019083068570452208,,,,,,,,,,,,,,,,,-0.023288780773715455
CEACAM1,-0.026497007719119982,,-0.02112899402794051,,0.06759755891293835,,0.007790017201583219,-0.0074912269951499955,,,,-0.024199962017727648,0.017738496658248774,-0.021321067058403424,-0.002581184423126372,-0.011174572807277431,-0.015698626636884344,0.020045372876387777
PDAP1,0.058491449825195344,-0.04998232976364201,0.0032312551773769193,0.0182930517057819,-0.05472053153681015,-0.005410907969676467,0.0653748395409645,0.00973863198154843,0.0401870592065121,0.02089469853462922,0.06771908588340995,-0.07845715972992348,-0.038107454611202664,-0.06421839736312113,-0.05270365105986195,0.02015871255105859,0.059421915573790424,0.02776590018774945
QDPR,0.002663853006451286,0.040417107571348,-0.006974319708645939,0.03888421192501506,-0.009320926582532859,-0.006346148236309636,-0.11518836263248995,0.01710106828239181,0.04203004687947619,-0.10149032441558767,0.02341374593967809,-0.018901495882958766,-0.008826221210145714,0.05037691736936645,0.011548013252895343,-0.05458106119409231,-0.025136943378654113,0.05782274740157963
