,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF296,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,0.07405703541262874,
BMP1,-0.014930246047887388,-0.0316608275424311,0.06777798247257615,0.1007245328775504,0.009920977821939863,0.056049695243491425,-0.052426510445812015,0.06644819045574406,-0.06477631681943866,0.005692136634352737,-0.03463889580256651,-0.0024073210753962275,0.02473674950264137,0.10235579844437277
NDP,0.08177249277618519,0.029751968825734644,0.044470318591071,0.015206027075758926,-0.0314109293394817,0.021355373432845708,0.06978545497196044,0.05586367144003345,0.00930819378768498,0.06653763959169592,0.08129002284239042,-0.004720221127281254,0.021711112216613614,0.05125102413354186
TNFSF18,-0.022645265823349834,0.049696405642624224,0.03051152709575707,,,,-0.012213191042571011,,,,,,0.043430359127151145,0.13240454241320845
RTN4,-0.10710411483624405,-0.03513615885884384,-0.00954281797302862,0.021219667891816063,0.09128993377952799,0.059239640339686934,0.035416985397798854,-0.046951162950366866,0.029476379844988233,-0.00489832636120029,-0.07536211161442044,-0.04776488952536994,0.032993193362781316,-0.07181624116007863
HEBP1,0.04144307662048945,-0.020271112019797904,0.01894720245194538,0.00040814189065913287,-0.02210850203038307,-0.009692740744215915,0.007094612674683643,-0.003909695421737621,-0.03367199323027859,0.04277782527942404,0.03294801598796802,-0.01452575937461597,0.029911579461140137,0.004555135721149571
WNT7B,0.02703051834685915,-0.062251700172792426,-0.0226344839268069,0.10095911781342776,-0.026976179549281325,0.04378980857908277,-0.049181434555834076,0.004776326670502127,0.027178305661008956,0.026686550006553334,0.06759114154789002,-0.03537362924040829,0.04038758338952984,0.0388046617554396
PTMA,0.02060418274072249,-0.06029775604298247,0.006598304442036408,0.08554630327799817,-0.021076904430772925,-0.0518819894759846,-0.06292999877630696,-0.03840922510580574,-0.05726082897137805,-0.06455828092512672,-0.01214216590899354,0.043229414033216965,-0.021479400599029006,-0.015463488399999769
FASLG,-0.01994977556067115,,,,,,,,,,,,0.027233489367934318,
CEACAM1,-0.011014756235804743,,0.05935605275606172,,-0.031149753427538326,0.056627284089544615,,,,-0.0019587117434004624,-0.04354579095354262,-0.02347799219032638,0.043315155158725645,
PDAP1,-0.03579937953022894,0.12383265842636766,0.08714901808770731,0.036024859905159475,-0.005614109546896805,0.0621437417168592,-0.019129128374984147,-0.01775639109702215,0.05684291111187935,-0.002878542874543077,-0.016842022227856846,0.013124862177866,0.018440531652015174,-0.07937515979942004
QDPR,0.02962216416074236,0.05277030422841822,-0.00886406759699346,0.01661672536872082,0.06488186669567432,-0.014576680485095708,0.006963760024677436,-0.034578195450047616,0.0022292843003689257,0.009035626342097978,0.0664132155081062,0.0037788206172176576,0.0480249814225389,-0.0013605659689558253
POMC,0.08698180804512474,0.09368138642920613,0.04082558051700327,,0.04355600975355588,0.08316285928685127,0.018030058783425708,0.061827573723123946,-0.03450721916430358,0.003015748461414143,-0.01182004062812733,0.002318143773794162,-0.036888414561801586,0.03522972233807987
CCL18,,0.047260727633226855,-0.031115723596115155,,,,,,-0.0293508319129247,0.01182576251646747,-0.011569508839332393,0.01390135352705332,,
CCL17,,,,,-0.018054782359879236,,,-0.0182896824178363,,-0.030002340896240882,-0.01161606335992867,,0.04741373648602115,
VEGFD,,-0.0079152193627808,-0.010824301377207732,,0.14310800775556626,-0.028332866215557993,,-0.013415703238395452,0.010372147605082998,,0.09182914465180568,,,
TNFSF13,,,-0.03704944971986461,,-0.012453784793883699,,-0.011844247495920108,,,0.043526382898003674,0.04357038633055607,0.0023250919694708275,0.05341679781503129,0.11304091917500478
