,UKF259,UKF269,UKF275,UKF313,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,-0.012644889243988993,,,,0.009779576608486206,
BMP1,-0.0004808084534550732,-0.01695647556513946,0.05162915434737847,0.08258971542676553,-0.04373451426891802,0.026572696322954413,0.033833445968092665
NDP,0.006728671086571503,-0.03611613930801774,0.004386501850364833,0.046153357043631146,0.03227824485550306,0.011365283269255526,-0.008755097383646679
TNFSF18,,0.061780911860548966,-0.01670528130953005,,,0.0368952515896371,0.01691769209877486
RTN4,0.05105053427886714,0.011981364829356097,0.026219037722295623,0.0006591275279501036,-0.03170072211705611,-0.006029809996726146,-0.09115099776570852
HEBP1,0.007676481574950626,-0.014147207043317967,0.053604237856824645,-0.005280117281819716,0.07504825855322497,0.025240907644462084,0.04997170284661878
WNT7B,0.01110533676620474,0.04283037496379321,-0.0006619561449700506,0.019553182265151813,-0.022281278990493248,-0.00793577242531325,0.0479244576590873
PTMA,-0.0024589225236386755,0.03610181107190195,0.04357661476030103,0.08558042940472714,-0.07333877816761485,-0.06087877883569533,0.047658154771567283
FASLG,,,,,,-0.01383717207674242,
CEACAM1,-0.029272743249915304,0.08147400592225588,-0.02627342773327817,,-0.020263572560702586,0.044792102875053266,
PDAP1,0.020627158844421956,-0.011669198756608927,0.02777948850584874,0.05139300225807356,-0.0565185595907747,-0.04402925912848495,-0.033112725609754125
QDPR,0.051610114677206546,-0.023696188024821388,-0.027133241366081987,0.10127843440633766,0.09444316569656876,-0.00563682916941781,-0.04341129427854884
POMC,0.004039737028670154,0.008759517707149212,0.03851615822123603,-0.03381804751583539,0.030669015906323285,-0.01088590186654444,0.17124777376771982
CCL18,,,,-0.026960972026568535,0.0008453052287568136,,
CCL17,-0.025028909312595302,,0.11181718772930085,,-0.029251739126988183,0.020830664386002975,
VEGFD,0.047527817898604975,-0.021183581396376047,0.0033815216978997226,-0.022848839943952787,-0.020263572560702586,,
TNFSF13,0.1004881537619889,,,,0.007811077672521398,0.06415721433082729,-0.026444425233954533
WNT5A,0.045286120111549644,0.007392945395221975,0.019165623070175036,0.064195360601249,0.006892531569123706,0.0038242787479248644,0.0357213626453629
CXCL8,0.00652375767049727,-0.006561437785288622,-0.0742755936232443,0.0076852270757486124,-0.12059613657993645,-0.03462261931239444,0.04595953121153408
GRN,-0.001506780013862129,0.004579188789221127,0.05343461004527337,-0.03516443096139912,-0.011825682738819478,0.014797469267789192,0.04020924976442893
MIA,-0.002329742927237501,-0.0361212931646069,-0.0061235336659711285,-0.01885503921993246,0.13420578760845642,0.04859266958517396,-0.028057672871140034
COL4A4,-0.012507760314062774,-0.012460599780933663,-0.021752111291774345,,-0.019839724001583774,-0.001047270875028992,0.14609451267264803
TAC1,-0.0267094408393952,0.03881909657729072,0.012950825591935741,,,-0.01648752701375141,-0.08199124188721225
RARRES2,0.008840167733005545,-0.025385007983980547,0.04302180686847427,-0.05714267878611727,-0.061536589758039516,-0.0031594894555302625,0.09444118820730944
FGF7,0.047078242816912655,-0.0026646558297333564,-0.043352595482983265,-0.01938900998170861,0.024494950665196434,-0.001473393284603473,0.02220478184451308
EFNA2,,,,,0.1342453878499304,,
HBEGF,0.013373696487932898,0.03128575017221952,0.006126335783433067,0.08041918633054564,-0.022129056427821887,-0.0031929688653067087,0.0581753444067596
CSF3,0.07577399423462544,-0.013183074731464291,,0.023978193334300242,-0.07332442733466829,0.050241733911370955,0.0038019022369352477
PI3,-0.02328668282098557,-0.014844316145381628,,,-0.1352944810066567,-0.028689263614150688,0.008470366262015517
PCSK1N,-0.039720123214923596,0.0362181996194003,-0.02675042055463861,0.038003891837404886,0.04748429975986104,0.042666235175586105,-0.1152170847428005
NTS,,0.07637951988100278,-0.024849258629900985,,0.13374046135115783,-0.019554249227838143,
SFRP1,0.01837824271523445,-0.031925329076642105,0.03130633807152398,0.05667828433699399,0.0004449183100005365,-0.01909985801533707,0.002722824530556474
CXCL13,,,,0.06051571526816618,-0.0068627506482567165,,0.09485168532107897
MICA,0.023161196669641806,0.05078714896894753,0.012582027370019917,-0.03689982137503995,0.0940671863318421,0.05656700783123167,-0.08781229657754147
TG,0.028202860171295703,-0.015910791737872024,-0.020990210288661958,-0.005989189040060089,0.013123717664909851,-0.009017416036140001,0.04259072858471993
ADA,-0.004232158905450247,0.013919898783588815,0.0011357209305400795,0.034181302059042136,0.013223200321866187,0.06105333065159206,0.008860888900717253
LAMC3,-0.021459768762957663,-0.027492838130623323,0.016186273974415855,0.03633601919301307,-0.005119480764405963,0.011143076805755558,-0.011901230530800595
CCL7,-0.017039197899243408,,,,,-0.013837167156409192,0.0180097660889772
NGF,0.008910989824568751,,,0.01998142801552563,-0.019000293977299885,-0.030806575476359857,0.024201146239103133
TNFSF15,0.0406679618275636,,,-0.021859733731920766,,-0.036560191299631714,-0.03440780139259124
HMGB1,-0.03612656512299458,-0.01081796531788156,-0.027469266942143803,0.052649831764730835,-0.0869742874343611,-0.04067495088592487,-0.02971240908961805
ITGB3BP,-0.029628621746177104,-0.044885650702856106,-0.05451370970309136,-0.009008312100556203,0.01075862551586565,-0.0016357804920704465,-0.03736650932868337
AANAT,-0.017264383322891652,-0.011891490167101977,-0.018876618779764445,,-0.010181530366695885,-0.014640299891491411,-0.01898300371343453
RELN,-0.02023732777773692,0.015528715648436628,-0.034071997333811714,,,,0.027409961236124776
IL15,-0.009268750871157165,0.01958880910034258,0.03026455163229454,-0.02022193845569249,0.021724119768322513,0.08983433318872681,0.005002861462110003
UTS2,,0.03523833775718946,,,,,
