,MGH258,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.04117619287140167,,,,,,,0.051951757138233336,,,,
BMP1,-0.047319427393928803,-0.03868052002467794,-0.049729095620436446,-0.022834211019951364,-0.07665972207704519,-0.011600199047320892,-0.4297262810142049,-0.11106338940151535,0.061727762563313825,0.0728677993050829,0.020591040787354194,-0.02286106990963904,-0.1398124991243426,-0.28459679125660264,-0.11072542013473238,0.009914752058918766,-0.05834700789404185,0.04599921621777125
NDP,-0.0024807741888662766,0.029122188592848573,0.045556244613083864,0.061215442376404444,0.18872107900464735,0.023095703205236986,-0.01712782870587156,0.0915962705268485,-0.06051735303584,0.22717018415926418,0.07204625149633871,-0.08712655673474767,-0.1343598235591581,-0.16599836760191305,0.14123158668123068,-0.11163403855055136,0.17399001348718032,0.06005331667147386
TNFSF18,0.12361323047206002,0.016254924937804158,0.040770982948612824,0.0072532292039967335,,0.053739821326579874,-0.12860491531753573,-0.040500559097592405,,,,-0.03562830602180482,,-0.09434866111367787,,0.01406008664160658,-0.053421432672313134,
IL36G,,,,,,,,,,,-0.004473883484538134,,,,,,,
RTN4,0.17429904167360719,0.23024521990209215,0.004432595691669817,0.12275083616116746,0.1664723054949081,-0.0716266437380367,0.46055204229075486,0.05594321842760751,-0.025221409018029273,-0.21739972494738827,0.1577764251329608,-0.025374299154083183,0.2519634915709567,0.4043081393592928,-0.05891275628868339,0.07297325157970357,0.09468806679444759,0.04747481431942126
HEBP1,0.026487229370924636,-0.09709314432823304,-0.0003542738092316401,0.04959236634253984,-0.008278504889887833,0.0556584866636348,-0.2004430639005281,0.028110825766372822,0.060254694890737995,0.27805605988321364,0.007198131856087869,-0.02724316254836279,-0.004007678864549296,0.00920816559437583,-0.03592635156409633,0.10518160155806802,0.04701970541048454,0.17410007751035883
WNT7B,0.08865741212808494,0.24747596129443025,0.07975597115435545,-0.04449101063826845,0.1284863299474625,-0.027074057955172263,0.09444603693113987,-0.052454945586537655,-0.03806889973551932,,-0.0053737999376595276,-0.018962437604578632,-0.02681260104892776,0.002295900278917818,-0.027464024615609137,-0.0018362678725940007,0.13773646885702484,0.009540628164115213
PTMA,0.20146305784055782,0.023090039551020538,0.039907926448105174,-0.05990588196510574,-0.1665567352090377,0.10100456808049858,0.41913750329319777,0.11715224569147725,0.20443640071793495,0.4178020244651711,0.09611619943778107,0.12861179467371342,0.28484474040973334,0.411448346390581,-0.17084622475450809,0.12665252233741597,-0.14094952718864562,0.049786347343225186
FASLG,0.0035264669427324245,,,,,,,,,,,,,,,,,
CEACAM1,-0.038010119093575385,,-0.0206387346359702,0.005430856716976356,-0.004604317525689314,,-0.09399778769565881,0.04406545805857634,,,,,-0.030299927994680877,-0.07371551630933414,-0.018228272565926865,,,
PDAP1,-0.1319329611710083,-0.11497767591974253,0.031952144823494455,-0.05827353907087024,-0.14062934497965116,-0.05745456378197345,-0.3972113124048473,-0.010112880712760104,0.06345003704193952,-0.07520656761138413,-0.0170252621402614,-0.03555455992465518,-0.09065720700651472,-0.05343313197004511,-0.08658891585578439,0.08213382941450076,-0.11283292469199661,0.016072031144805994
QDPR,0.45054473942963014,0.21104286085230342,0.1021217496968002,0.10861999258817005,0.2703390619771228,0.2716101651769594,0.604994655784823,0.25085072457936053,0.2515996816078996,0.7104268334223971,0.24394779278238574,0.021422692243113488,0.43466928258080273,0.39853737528296174,0.1315490962704282,0.22880559827270905,0.24794946398181375,0.1616072235987126
POMC,0.05361929456444814,0.10497583560722712,-0.037086157671858994,-0.004876225573561304,0.10884719485800609,0.024684830089676823,-0.05331243065392066,-0.017715292096478815,0.032533941523423676,0.10431286682604816,0.014980032403965763,0.029025760382278804,-0.06034413224574165,0.0257170554780906,-0.029819059349319048,,0.09842609668561322,-0.061832090251953936
