,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
IGFL3,,,,,,,,,0.055022849476250475,,,,,,,,,,,-0.06695485279700304,,,
BMP1,-0.0027822330702400575,-0.003174545142409266,0.06037453632684069,0.023232325323840442,0.04863907438266572,-0.03514014750745574,-0.042344075445966,0.050545810960116885,0.2212045418417947,-0.04187553684821895,0.026582319384507846,-0.04047564457983362,-0.01569650568606714,-0.060197682013383984,-0.06468320391294224,0.06543396917083172,-0.020921440077927452,0.02798555431800307,-0.020601539287413283,0.0235505853447116,-0.030924252652196237,0.06330623482605731,-0.022031815333938914
NDP,0.01886310097560772,0.06551818835571066,0.014872111613976677,0.05283788156306898,-0.04643888873889718,0.01102726514706118,-0.02666618372228713,0.0936421046327955,0.055465537476153716,0.06455318799774754,0.0009117921947423543,0.026478333535187748,0.04382354719049232,0.08139816697294008,0.0809758468477369,-0.07805651518993277,-0.01217059961002738,-0.012478075002259253,0.018515914626598563,-0.036702511919632794,0.013720064211045992,-0.06120351978080675,0.09113447020472856
TNFSF18,0.06394857899043446,-0.022076420212960232,0.017669874133873456,0.0064599677256310445,,,,0.010631498247984315,0.06314187133349221,0.03206440653887823,,,,-0.018524306116813154,,-0.008955580003851625,,,,-0.032828339993404065,,-0.03264743525256716,
IL36G,,,,,,,,,,,,,0.007402292250597496,,,,,,,,,,
RTN4,0.014518302601370986,0.08668425494702028,0.015837994938263655,-0.019051095595433845,-0.006959093114309433,0.06798753776363882,0.0598489723904042,0.03920267324093727,-0.341428532536822,0.009757063114154415,-0.017044000167978846,-0.09231309784069831,-0.020341513561108533,-0.013859329987283958,-0.0010134305898062137,-0.08173943281923439,0.07669025646132828,-0.07149575195451387,0.02487296448807879,-0.027607232893833586,0.01223396082603878,0.05731595440589907,0.07893200334504148
HEBP1,-0.00018494228441699325,-0.010471215456351183,0.034722164042109385,-0.009538771758808602,-0.02935357502933231,-0.01830259995830992,0.043544030490109256,-0.036243114563764556,0.14907600765226273,0.03525726766685934,0.02788227457660372,0.1360162223048643,-0.02015419311701231,0.0357435602150785,0.05346113881277083,0.04006901326279026,-0.02067253779839805,0.011801383075891285,0.03989588799240353,0.09801388125647978,-0.0694197489467149,0.04305703382192524,0.09670494370952185
WNT7B,-0.011405841063332502,0.066464811699693,0.03322252282995857,-0.04212085223832645,-0.030606262687098915,0.006379898321134225,0.10224457702336114,0.089668661125016,-0.06572236421759142,-0.02635008835581814,-0.01536475165623442,,-0.0010701795072357019,0.038730127491635354,0.007240620492765376,,-0.02745876917729881,-0.039978420634830834,-0.05300139070731515,-0.05964376827703336,-0.032029000773623244,-0.032647401399629274,-0.07303615861571168
PTMA,-0.041705728045885314,-0.12412159274182553,0.07663404957719384,0.009166870380271027,-0.02380413408323455,-0.03393484070980101,-0.029492242696449976,-0.016986459416517295,-0.04179364556022674,0.040536550457052324,0.028124644201801767,0.1332323048733364,-0.03005336636887056,0.09203764941157798,-0.07854418657145298,0.05959320275442944,0.03276150565769299,-0.01347684181198003,-0.02973333630509611,0.018392677018179832,-0.029970294576895342,0.05888329493020759,0.0019292191781745533
FASLG,-0.011475499994079014,,,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.049751726033797856,,-0.0199355252891139,-0.03232522069424419,,0.05726128734982348,0.040981112162318985,,0.08613362749829793,0.02425180164116207,,,,,-0.09055525169617747,0.028745106995024156,0.09226713633668113,0.0037293607349568607,-0.009110998412790297,0.042744916693750815,-0.021258113633646616,,
PDAP1,0.019914003089701555,-0.10353854366548933,0.05057633044783552,0.021719899482791936,0.08532830613161217,0.024944700996773466,-0.01923437581048463,-0.00643877349808651,0.22828099659605774,0.06763950639970041,0.010430844137900113,-0.04760621291281245,0.06619221826066034,-0.004327869117126782,0.11721794873316388,0.011203672115712266,0.00266678523720104,-0.00888396227957558,-0.05708712786639689,-0.004997370129935507,-0.003474334157295021,-0.0197873097163427,-0.02838362902900777
QDPR,-0.05322412993981618,0.11749731280760357,0.01959588954823845,-0.002699412747660001,0.05742731495651156,0.009535690698484948,0.12888337001408734,-0.02238840995031362,-0.2728868489915077,0.05415090332580318,-0.005812984242155755,0.16557907038206354,-0.0010989769120804758,-0.09351617221272483,0.05766410712578599,0.028414517119173813,0.10950897486432618,-0.019754721929689942,0.08402027762395048,0.024316685884255746,-0.0004010119593309677,0.11023574641750154,0.08273677248218744
POMC,0.012268037201883561,0.044284173143150016,0.0248168149547129,-0.008669391655485257,,0.0040584633014661255,-0.0010395827703654906,0.0085527191540437,0.025700232175065386,0.05315056274703957,0.00017940508299186264,0.011302608781673855,0.08157663496952393,0.044343406277817486,-0.009813278245880255,-0.010414058896741846,0.028108285562034804,0.06263169285575919,0.058383419626268085,0.01571726993172662,0.03859784044144602,,-0.058920770748008215
CCL18,,-0.029606294722157058,-0.017638784751990724,,,,,,,,,-0.03565329355160883,,,0.0069788167784774905,,0.05543401013347145,-0.01736739109174538,0.03681067006934844,,0.01882997151616406,,
CCL17,,,,,,-0.01880940630586847,,,,0.07547261276808621,0.0034248864632332654,,0.08570307224871683,,,,,0.06805274376019362,-0.03706593744363626,0.009836338247528826,,,
