,UKF260,UKF275,UKF304,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.0010136362733831237,-0.04400754259485795,0.0899885005568483,-0.034654596862917005,0.029539293628117018,-0.009485936215832677,0.018360987071220733
NDP,-0.021661177797238848,0.03199637913179358,-0.013349172269490762,0.15670766638410297,0.017929320092044967,0.051767571559143126,-0.03338080045390867
TNFSF18,,-0.011674763952453069,,-0.04161846088233258,,,
RTN4,-0.05331536702042024,0.004324818652742283,-0.05759263002616292,-0.06139993569063271,0.047674586984829674,0.047260982822363,0.042579240070667414
HEBP1,-0.030607630631493018,0.016204718655117235,0.0897887519274371,-0.11901352845986149,0.033750603951923315,0.11197888580663315,0.002419173878969681
WNT7B,0.018643707282043055,0.05742537256266873,,,0.039135532392710455,-0.047740900309551804,-0.037459581298017304
PTMA,0.014727003786893286,-0.03610296914511805,0.08777813177820466,-0.016123525152720565,-0.006511666935152142,0.005714505067425955,0.03624341075292901
CEACAM1,-0.0216374131013845,-0.01836162237105636,,-0.040885659340525494,-0.03704857545064149,-0.0302482377308742,-0.024862468908423353
PDAP1,-0.03651793110007444,0.008071879889606608,0.07527648369976758,0.09358823261894926,0.03407217661147922,-0.009253232900600943,0.0058902033805032115
QDPR,0.004767122569079627,-0.023474203072298243,-0.025451117533442303,-0.005358510878723019,0.06171232401663911,0.028825455688218607,-0.044853547977358264
POMC,0.009441508119450395,0.12781289516242442,-0.03057053229831491,0.022951701771697468,0.11352316778390356,0.045244350034219255,-0.011340168565073024
CCL18,,,-0.006034539134647228,,-0.0336382847466498,0.011831247975365021,-0.0500770360331073
CCL17,,-0.014560703655432758,,,-0.02628417108077271,-0.003916244793921922,
VEGFD,0.1414820020427151,-0.0155131981836042,0.11034797494211546,0.04983334706562289,,0.07036103902192709,
TNFSF13,,,,,0.02947554853107261,-0.013004470698895642,-0.02791888623846057
WNT5A,-0.008464830112835369,0.003575878661698402,0.047845929379023,0.07822562419775675,-0.011210396577116994,-0.029069736966752215,-0.003909829847684232
CXCL8,-0.06355985441111574,-0.06421829526120047,0.0774036854532709,-0.054227818959634515,-0.03799081879213715,-0.08969407664762968,-0.0528757451068498
GRN,-0.015575194007683793,0.05359443899964767,0.06376287504709578,0.034008469163542894,0.030574036472526666,0.010409300027818627,-0.03746356415770134
MIA,-0.0362335262571182,-0.028619255642412463,,0.0109103315597194,0.048981905147645444,0.002818542119019332,0.016240495018527378
COL4A4,0.08837939787903092,-0.015201825105098968,,-0.043522707312785194,0.01805469074518911,0.00302044133007685,0.0548050138323067
TAC1,-0.01731446438695829,0.013152679053596827,0.001958523151658997,,,,-0.04289484174913949
RARRES2,0.003046281750366145,-0.05883626777611861,0.11089634674236447,-0.03537415666848538,-0.03697411685143005,-0.009291218528191616,-0.01363886743142208
FGF7,0.006350586752494146,0.00034509032209678294,-0.01735171660915185,-0.09343253606360111,-0.00690639035998572,-0.022562190695029346,-0.010824618133393638
EFNA2,,,,,,0.07937894097811639,
HBEGF,0.0047897527059081214,-0.011801906214073144,0.03460596779421421,0.009329717901032077,0.011597159222770213,0.007614557635033142,-0.009074432091081079
CSF3,-0.06897178224571034,,,,0.01998620581553997,-0.017394713467558377,-0.035643745360308426
PI3,-0.06350371265083045,,,,-0.06108295057987585,-0.07416075975424713,-0.022114886911783
PCSK1N,-0.011022574619214706,-0.05877864668368521,-0.038918991663761025,0.08171771678589443,-0.00776083815272602,0.08069767040531446,0.0037585594456873866
NTS,0.11563423115820912,-0.017366318083614038,-0.003413318792124772,,-0.05325862417661364,-0.010049658231843787,-0.00541895493201102
SFRP1,0.03741961259508948,-0.03224560934951386,0.07220218734630887,0.03322781050269132,0.08949742449967579,-0.017524135300136245,0.028880952763332367
CXCL13,-0.007641359712413134,,,,-0.013215687955803752,-0.016358637231185885,-0.022156618748624075
MICA,0.07058879770831687,-0.057249545218113276,-0.023402414028587643,0.004989581591344204,-0.02483349812162952,0.03330244622562688,-0.038968706127787106
TG,-0.018159526880938668,-0.014669357904956706,,-0.07820467299994267,-0.021949566836767343,-0.04313725230183745,-0.029335350154027596
ADA,0.02771478678456374,0.03743800582912818,0.08026760469763027,-0.06523724396411662,0.03225156984198046,0.04974878101419629,0.03325967302976916
LAMC3,0.027611049753907064,-0.013777614440780486,0.03126052566540508,0.01617517460150005,0.03586841634131982,0.06961593230096949,-0.02481930627758121
