,UKF243,UKF248,UKF259,UKF304,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.01865693942876102,,,0.005863095193167202,,
BMP1,0.03520102305168982,0.024523350554474174,0.0059823818620851595,-0.05761946981994945,-0.020528793019734263,0.00863875611449759,-0.030238707823118417,0.12029253026781137,0.018580495029490225,0.05162573638335519,0.024232898717232484,0.011543842358202083,0.031924546477498095
NDP,0.005395926978431155,0.06406065046291358,-0.027997796304887378,-0.007506821258695106,-0.02714709239682836,-0.007860217596442632,-0.037061617441198125,0.010267509471905873,0.0034094804421718047,0.12285384432858755,0.056977217415233754,0.05203632307273818,0.03634127737278177
TNFSF18,0.10666422443976778,0.003368024564589742,,,-0.024507775343298555,,,-0.019240572318561324,,-0.03314018299682983,-0.0003415052106230521,-0.030335024083430067,
RTN4,-0.02890724579444109,0.04407412162412625,-0.0126424102380704,0.06339538969788472,0.04442159948102906,-0.022408233782943595,-0.03564839075480838,-0.1102306705264361,0.004471273165027681,-0.08723460922488284,0.025085819203542383,-0.023677946588542713,0.010776688959213396
HEBP1,-0.06587340761786843,0.006704920947071655,0.052280114074803374,-0.05714125841589828,-0.008429921548288522,-0.037598823472240646,-0.11349773882351573,-0.004443606977063497,0.02401658035717357,-0.005399474258137243,0.007787840484120248,0.00804680452833894,0.024694850424592952
WNT7B,-0.0068892912011225185,0.020425685563373853,0.0209562517475912,,0.0005793251777710469,0.07240225348343068,0.03391690123562553,0.016024729994963918,-0.02415945712353435,-0.0017841029201726916,0.046069300184031416,0.11018607860107842,0.07516213784066846
PTMA,-0.02289333100850653,0.023414278068372926,-0.009710768223717121,-0.03405347414403825,0.07218813681347708,-0.04302611359708463,0.030909961920159407,-0.09647736503736072,0.03148367680679144,0.03820178714120164,0.06381966851595501,0.04915414477501363,0.04967271111561029
FASLG,,,,,,,,,,,-0.014452421152899242,,
CEACAM1,,-0.02700471735677373,0.06307340185599308,,,-0.025323604389652258,0.07094244768524641,-0.02764669367883433,0.030610200359810002,,0.037486264989892985,,
PDAP1,0.05905316014859437,0.021864474272392173,0.02420134198789064,-0.021889408067412353,0.019948441858028135,0.006381414276381236,0.11806407776409156,-7.870197269502228e-05,0.01177692444500941,0.10127456432881053,-0.008802037118294592,0.03260590012217695,-0.060277060838208704
QDPR,0.057651025774012786,-0.027086254824731974,0.017603553067136207,-0.013397825690840146,-0.09763548490680993,0.010366951365337908,-0.021830256062177558,-0.09881708833260712,0.014922963395128153,-0.0591412060189609,0.04828541995605321,0.031017890559654808,0.0003652112513659779
POMC,-0.026646456040999744,0.0380882623843845,-0.03242054071892542,-0.0006827129133778967,-0.007143408298903338,-0.04476527955414575,-0.02325774688135404,-0.01660393469498489,-0.011825827911564515,,-0.014992567540783973,-0.0097649831420903,0.0394780099068046
