,MGH258,UKF243,UKF248,UKF251,UKF259,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,-0.032892798281372,,-0.02438092251666906,
BMP1,0.023543376297824273,-0.01186335662586188,-0.06893778655269321,-0.01919364734077194,-0.06054173498349881,0.016893346585533316,0.009914397840708938,-0.019266897599159023,0.015117098977822138,-0.02296251916303722,-0.02294560483104492,-0.03439617085525396,-0.0014091705661599078,0.009320313102171029,0.018141259732397882,-0.02733567289333351,-0.022485481422766115,0.04705758432772098
NDP,-0.039146843728296875,0.010288173942871674,0.00013060972813279953,0.03457665272125565,-0.018397328811532727,0.0332537747742725,-0.022903635995905575,-0.01648059716111338,-0.007733745715799865,0.0718917628175498,0.06792909754049659,0.06411312776677822,0.08460512824759753,0.06340320287761603,0.013507016593886862,-0.03527650578097526,0.049353481695027936,0.028639196126365927
TNFSF18,-0.019279987219288242,0.06846246828093981,0.1129702516811334,-0.025289796221949754,,-0.011674764661574738,,,,-0.027738344783965033,,-0.005483156980791147,,,0.07178529359714571,,0.04572655930887624,-0.01554253373145921
IL36G,,,,,,,,,-0.014899820256802731,,,,,,,,,
RTN4,0.03627698909393705,-0.03727010777177092,-0.017058265354945167,-0.01915726879496247,-0.02805702247017834,0.06274734998468814,0.016140303779595,-0.0030449511444282863,-0.07332617944044643,-0.0004906597445301757,-0.04644570820971078,-0.014542215421590628,-0.038515352728996574,-0.052779692930791586,-0.0632150682902748,0.057413907585597966,0.016970280893678396,-0.08536692146592978
HEBP1,-0.014653896114868366,0.0013027898464128536,-0.05068557631592877,-0.004901797692984859,0.03944305508324511,-0.030892981998476583,0.02797367769611833,0.004893981564195784,0.022645885170428256,0.05902947154398594,0.03373536304154229,-0.10006732352979013,-0.01694715993364326,0.03718484022812496,-0.03715260137629395,0.04834028913208473,0.0389253360116262,0.030949243444249736
WNT7B,-0.01698506487420097,-0.03710940062012162,-0.0038276439309409397,-0.01570923746084031,-0.02495040085018759,0.018691411225849306,-0.025337170311574175,-0.016587597864308093,-0.01637661953836467,0.06587312484842461,0.09632303081160479,,-0.003734283803448912,-0.03587916949593678,-0.023555127819198413,0.07212284963345571,0.06523414325160164,0.014269315953515087
PTMA,0.034631629719328344,-0.07664191904628098,-0.004413884856369245,0.014798200053511035,-0.012726015399252343,-0.005695028405410742,-0.0152471440008189,0.06617881906720718,0.0520971258930172,-0.04222755618237534,-0.14844327361774481,-0.13539405453271114,-0.06806172705047842,-0.04648648861951945,-0.07354201069461794,-0.013226697550500622,-0.06284414451636508,0.08758616863336732
FASLG,-0.0169850696758353,,,,,,,,,,,,,,,,-0.001259797291037584,
