,UKF243,UKF248,UKF259,UKF260,UKF313,ZH1019T1,ZH916T1
SCGB3A1,,-0.011989087382972285,,-0.018242347158963584,0.06164277203580954,-0.0478326505441366,0.04835569266548737
IGFBP4,-0.004487738947627054,0.025158529826639228,-0.05084451490743033,0.036605270466150766,0.022077120191472198,0.02653138568775869,0.01274578478703807
RSPO4,-0.025005149299091062,,-0.020205968402992536,0.047294044196125436,,-0.021804810335087424,0.036564010416180806
LEFTY2,-0.012376244634708438,0.02023827719998567,-0.01935019529311628,-0.03268004661195256,-0.016758578526983894,,0.04328115786006666
PF4,,0.09505190718711336,0.039200883687906224,,,,-0.01970362763546922
ANGPTL2,-0.02367442272708659,0.04290614503203187,-0.038194882264977074,-0.03467959881272998,0.05006836467549771,0.004745301229158858,-0.022564959169840807
LRIG2,-0.0614561188264882,-0.01945736396176423,0.016709182402544587,-0.0014238498762382164,-0.024963402445715356,0.045061822942336766,0.005744897326524338
ICOSLG,-0.05174615659516345,-0.017533439334381826,-0.01918640117959883,-0.00322658528190565,-0.05002854226551336,0.11876513983419305,0.03283085062618081
WIF1,-0.046230422359637965,-0.0223779195061699,,-0.005842402417567748,,,
NPPC,-0.05103187435296329,0.002384734885449675,0.1050576874284848,0.002889799193647918,,-0.03722965449427696,
LYZ,0.026619690273960325,0.052820096673453734,-0.027546122623117893,0.04722322137708075,0.03285154586687937,0.009272156028547083,-0.01237364404622468
EREG,,,,0.11444208975557309,0.07805618534002415,,0.05769714756068423
SPTAN1,-0.01811755474659802,-0.06300198013666213,-0.08337295767220863,-0.00014638598209280613,-0.030652735758468858,-0.0492924510273747,0.068486482311608
LIPC,-0.05244413607090546,-0.015225855378797918,0.0014023987110262683,-0.020384351115373258,0.07328361702254849,0.0355558818663384,0.04437563598964305
COL8A1,-0.12351310105715128,0.062798544111264,-0.029666181349914205,0.004696341242141181,0.0276317430368402,-0.01378782454813836,-0.06504583631413867
GSTM2,-0.05805168929286693,0.008971249000218298,0.010829319591797653,-0.00594829895009721,0.012048152784949244,0.03439546562642399,-0.023284419967916505
SPX,0.06148692177598891,-0.02462541556069024,0.02501902414402163,0.023649652336501015,,,0.07481295409061477
MFGE8,-0.1090243671863326,0.017595463186194187,-0.01400255413843011,0.0796050621306397,0.08385766650043174,-0.00522599832517081,-0.008342448512795237
TGFA,0.0189175716092476,0.07226878644743093,0.05715663970739347,-0.018345253930187294,0.11099937161073788,0.018949348940231973,0.0866181567619883
SLIT2,-0.012084261775102058,-0.015527868437883686,0.03256630604741724,0.06924843029882427,-0.03245701829050974,-0.036421399289224644,-0.03945434163841926
PLTP,-0.06706291279699345,-0.028985647177806394,0.025709112227319166,0.055317665079937094,0.032672764047655095,0.03367527042527416,0.029273181931915967
APOD,0.015759013193117597,0.023427054912603693,-0.03058515535184889,-0.028015430021334158,0.05403495271347236,0.012904176783037714,-0.046412033424003164
B2M,-0.07115932842485523,0.11682151651889619,0.020802155900760278,0.02349189753184982,-0.038776980838469,0.06484670359305061,-0.025776712325001342
OMG,0.031654792471597866,-0.03582997688159703,-0.01773158612725242,-0.01786551582854028,-0.012410597665207319,0.07579949775855586,0.0629675652466572
CXCL3,-0.004142983639905645,0.061998809186346066,0.003867732260479775,0.041634141578987205,-0.019050645352093935,,0.06187797292071233
CXCL10,0.00016128852959903416,0.08935095468888173,0.0058955712596958166,-0.003991622982083888,-0.016910710677454924,0.08196098772079356,0.019072861156254898
RSPO3,,-0.01628565187567488,-0.018733099995590554,-0.020384338547420843,,,-0.014042015294073212
CORT,-0.028035177982539194,-0.02573119854323459,0.014974666094545315,0.09604090737145374,,,
NCAN,-0.008259275484535316,0.014052840564085057,-0.011884788961197622,0.00954584218007071,,0.06762468513401235,0.12972047071149054
PRG4,-0.007650055296483148,0.13139981172308834,0.06107946755063538,0.08324193172247421,,,-0.018361707080708098
ZG16B,,0.004583371417632434,-0.007625252535399754,,0.06581153109270205,,-0.01750888187169165
TGM2,-0.009474383641682715,0.01736285678569099,0.036030348706575115,0.037233729346795495,0.03839202610193825,-0.02661070523130917,-0.012950927822989289
VEGFC,0.12473419314867946,-0.022892871813129455,0.01277006013788606,0.009944446185089786,-0.03658208419975472,-0.020880346356319548,0.02775819294473149
WNT6,-0.034818153910977055,-0.019344129384099164,0.020337674968923178,-0.020110660874309436,-0.0247208255444623,,-0.021145573342838953
NRG4,0.02128184348338299,-0.011042371491249153,-0.009137420064586144,-0.02078883013680563,,-0.03490648079857111,-0.014042016867848107
PMCH,,0.09329460550791216,-0.031178254498623475,,,,-0.016483446323023038
COL9A1,0.03284553156016375,0.12554403600630812,0.025536399529762437,0.07073559223940587,,0.06618995529368542,0.10738851225151153
GDF11,-0.0219023240024366,-0.001797649543491701,0.021120105661656268,-0.035037747274216685,-0.0030916388192497824,-0.06584969493361892,0.044813460598104184
RAET1E,,,,,,,-0.015403992732808245
IL24,,,,,-0.013940982365815204,,
SORBS1,-0.04217381120647493,0.027430789769833534,-0.03688738769919291,-0.04488480016355508,0.07531385075121934,-0.05669982025027829,0.026493900624519326
DLL1,0.00958400757450515,-0.012118108163389063,0.023140134951773774,0.016933290631209016,-0.04077831784623584,-0.06067173224799037,-0.0010344538285773528
TLN1,0.059373024055252056,0.02862618337882427,-0.021856259507016213,0.00920313455254221,-0.04018229572364764,-0.004740145439073686,0.015436988911606319
COL2A1,0.10604684378884918,0.08774112503547482,,-0.013035650207124909,,,-0.020435878322997213
SHH,,,-0.019212859139617542,0.09990028228614194,,,0.08316153692777724
PON2,-0.025427153994125113,-0.013317221690302488,-0.0371216359786788,-0.048309210873213534,0.013881398959436237,0.08394477242020314,0.026223905206493054
ICAM5,0.048862197980868376,-0.032313086136700704,0.010010016978658326,0.029107213428259233,-0.013196852719969055,,0.055058353737367574
HPX,-0.013913047810052348,0.028411301223979397,0.046672899254815416,0.030581042347158024,-0.0262038144747737,-0.04541005631244568,0.01831251398827128
SFRP2,0.03139259878084053,-0.01593952362586057,0.017479206253480768,,-0.013758518180506833,,-0.016013073841743743
CD70,,-0.005867474246533209,0.01999882646055075,,0.002913562515727774,-0.03788366626384085,-0.021423633931239063
HP,-0.0544650272364608,0.0011573196897569373,0.02722039694193018,0.005006482878117282,,0.06629740732207871,-0.0012141684002534253
CXCL2,-0.04748268012551018,-0.01686552848943388,0.025890224625318658,-0.001545793424715383,0.029974978373759963,0.07761314188843535,0.04608358563804869
NPPB,,-0.01546708308319781,0.07055602140216684,,,,-0.014244062249918303
CCK,-0.07130731643407669,-0.03725023623072831,-0.018768246066987567,0.021458921360906817,,,-0.01847839399976858
SEMA6A,0.019814011741284415,-0.002169289375821063,0.0011308454947939269,-0.03213888324730316,0.07420741124551117,-0.024053545275817247,0.07709800800523732
IRAK4,-0.018687206258438192,0.07231869558884801,-0.025293141992914395,-0.05432628631668177,-0.03746361522298262,0.04060590523652843,0.06031349757216652
GSTP1,0.0031198811281983505,0.014529617218631793,-0.013223120452831374,-0.04324993720360008,0.06678968669482994,0.0539223993780285,0.08297428154781825
VCAM1,0.016912545337065776,0.012455934382478344,0.024650630954862317,0.026435496771677978,-0.019999970785090634,-0.10734359292738441,0.005444741577072092
NXPH3,0.12428546408707195,-0.018719913441954464,-0.008119536407598492,-0.04735276716933857,-0.01058156636321121,0.008576394091919345,0.11985137716768211
MTMR4,0.1436056553549891,0.052257879032535745,-0.002801476044511803,-0.00729405392020088,-0.026113219765276426,-0.010525461075101357,0.02125428560212178
LAMC2,0.02545026850426119,-0.01214004293315878,0.008199462444514517,,-0.020249911568445546,-0.03490650172517363,-0.02713930670321713
IL10,0.1398985863374702,-0.025650576317609055,0.010264999138850376,-0.04040861435962739,-0.019896367838020058,-0.04445129039066605,-0.024521494290342817
SEMA4D,-0.05177769570207929,0.024738167804819803,0.004766935792832969,0.03503426280902011,0.07126879159393293,-0.041911853312130286,0.05478125731655514
TRH,-0.020499339684001427,-0.027595913355987017,0.03366954633662185,-0.012828068120192,,,0.08957987893155067
SEMA6D,-0.003475519965545144,-0.024618141304442964,0.015384929547057486,0.010918437646058887,-0.01878591336406121,-0.03835545340199156,0.07664464674178244
CEL,,,,0.031087199867530415,,-0.06178469552843628,0.027784775266896974
PDCD1LG2,-0.061208484718575436,0.031995686994497764,-0.042612877400582574,-0.028522097584571214,0.038712926341127864,0.11633735682729031,0.03192917014784727
SPINT1,-0.036687669324047247,0.028224393132452716,-0.03645854712637317,0.057268918489084185,0.05422209961720981,-0.01690683590264271,-0.016425166275981035
CTHRC1,-0.05986882124835666,0.0011090706842070857,0.02804406561967251,-0.008612399397499705,0.001209302015291328,-0.009008346082560376,0.008071846734012313
PODXL,-0.035739389188856836,0.048422313232564206,-0.0070326727121089744,0.03927479649973818,-0.04539239502812802,0.08336901926649584,0.03970876215059273
JAM3,-0.006641280184000897,0.018635599244105367,-0.01115136903334203,0.018678550235721507,0.0120961510609043,-0.01065280135046508,-0.0025231639622171386
TGFB2,-0.013654241104341968,-0.0034772866206763137,0.007167045474424184,-0.010581334204226875,0.061966206324247784,-0.0052308641774041174,-0.014737339704517047
COL18A1,-0.04443542199202075,0.030118384759679644,-0.02687962408093129,0.015458908481094956,-0.035417578974487024,0.08918739622596573,-0.021077030739348933
NODAL,,-0.024944388571086072,0.016475682063424795,-0.006439591465229515,,0.05692289580803039,-0.0023522538138224308
INHBB,-0.0109063903104296,-0.00461749338156682,0.01712161570792268,-0.03533826243814671,0.016249881487614817,0.0966725733425964,0.06046691951314228
LCN1,,-0.01214004566471787,,,,,0.009861327803421718
ARF4,0.017640762931666942,0.04771208481066805,0.04438541293144184,0.029900398226933928,0.016569885377457818,0.050956681506883324,-0.04503779283974246
CXCL14,-0.05172095335910532,-0.008610848469998458,0.04915471109408588,0.023299960651551196,0.07610663002681496,0.06559015921307833,0.044268219794309706
LIF,0.013284690720897475,-0.04737390551228507,0.029476755708754583,0.08087495211268034,0.03632011687037744,0.07507923653999898,-0.05522204386845921
IL17B,0.07405946376985735,,,,-0.033497907745379335,0.08405578877987513,-0.02725234962522919
MMP1,,-0.016737057655669112,,-0.012828065321785941,-0.021433667108950408,,-0.013999507015065532
MATN1,0.0037190282441054074,-0.015939525798003274,,,-0.013940984375244945,0.09154543929346201,-0.019403844049068163
ADAM28,0.043349596788475483,0.02693572387085394,-0.03988262713110267,0.0834854342325417,-0.03879199275666885,0.03747131994088736,0.002841496671644929
TCN2,-0.08231223515105789,0.01547376276805045,-0.0009719076072459342,0.022454878933423867,0.033875204874291,0.02322405354059264,-0.024641114269889148
THPO,,-0.020769862096071626,0.05527566484184382,,,0.07380235509893182,-0.02100532779317729
CUBN,0.02062999514593146,0.03678278076351256,-0.040619070573472145,0.09835329326702204,-0.03423721935500792,-0.021560045571057517,0.02429585296062076
TIMP3,-0.05311019479962981,-0.022407633198101514,0.0024004577864108617,0.02668321543403661,-0.015558911307978875,0.019989928017145307,0.010363772399314915
PIGF,0.017602350592123443,-0.009687409255660943,-0.03423795402059273,-0.0038094029706856004,-0.009276642943455586,0.03052162634524817,0.044222704357536315
CRH,,-0.014223508871934559,-0.021670889119981697,0.18003928027760624,,,-0.006294345919062052
BDNF,0.05950029305792762,-0.03341527539025726,0.024158345106961774,0.05989978988018362,-0.021503941973967895,,-0.013269992949333209
CCL5,-0.04591364978487195,0.011124028842014305,-0.010629219142353574,0.038574520235375144,0.01296700566250087,0.012066351146943518,0.049246240537243295
GAD1,0.0063637019752673255,0.03972142804499735,-5.980565398253334e-05,0.03204619930778501,0.1067723058229569,-0.03836042049630737,-0.05223012644261009
COL14A1,-0.034942213387061376,-0.01604797002071655,0.03401080947472289,-0.0015675717046520765,0.09396805385232526,0.0031989520202803626,-0.041916860342528645
HLA-A,0.014860898356888431,0.133008678376074,0.022578246253836278,0.034969123686125834,0.020620170357635706,0.026064228648832306,0.021791706308238287
CD5L,,-0.014223507226382923,,,,,
FGF18,,-0.012869703225951034,-0.017217359345932208,0.023022104747689943,-0.014475357582903841,,-0.015954306227721114
ADM,0.01771254918635915,-0.016596146839081505,0.024159416256271028,0.01832136112038027,-0.0321491803896318,-0.0847628150746277,-0.006955565788550424
CCL15,,-0.023730661905049112,,,,,-0.01383716855271792
GNAI2,-0.05953153245587314,-0.01655585136806331,-0.06738046931428418,0.01187304559507828,-0.004282148407303949,-0.040180405124018326,-0.006473178910597094
HDC,,,,,,-0.04156678672561597,0.0839854250837213
COL11A1,,0.06161685440629024,0.05832932113077229,-0.010791471556236583,0.02993688707949073,,0.013563466466468837
NUCB2,0.0322417010453748,0.04264666460894688,-0.015132712180073065,0.03593206527282532,-0.0112575276110449,0.1031788506011753,-0.011369553608204191
CXCL1,-0.04833841761685412,-0.009507463038723464,0.03519202328412585,0.10060831514105167,-0.016509916732310278,-0.04141449106052602,-0.03480905196626567
VCAN,-0.04507496751834741,0.02607175214673958,-0.0004906291608908263,-0.035321663597853464,-0.007601985479551853,-0.03808357121915498,-0.11759103074712406
MMP7,-0.046963505693332235,0.03001796950151421,0.05531847670014539,,0.04163878950051564,,-0.01808205381343311
PTPN6,0.06174980551185277,-0.004884271422625735,-0.03315142801361048,0.007979005431651986,0.006020038255185025,0.10505458775832122,0.056049582378276876
PTGS2,-0.05390520926577713,-0.005804645275183624,0.012808147457994615,0.04080330678976687,0.04466982531278324,-0.009536552168306725,-0.0468822045147176
XCL1,,-0.015586419901627893,-0.01873310314840922,-0.013640309905328192,-0.01051359537586958,,
CD58,-0.054227130659030426,-0.0068881597815787865,-0.017219642021865177,0.029378736198768515,0.007618461383009222,-0.010179820195461951,0.04067303540612751
TNFSF14,0.003414134581959418,-0.015704924863457353,-0.0016176959625008513,0.023625202957667436,,,-0.033188148811466193
CNTN4,-0.036915819332568725,0.035638926750888415,0.03657300628821961,0.01347373345688194,,,0.013059372168446378
NTF4,,,-0.011482435177422515,,,,
INSL3,,-0.013962555617389662,-0.017217355968847665,,,,-0.01894622237421546
BTLA,,,-0.02732917635379829,-0.014220477160861344,,,-0.018320049712259902
MFNG,-0.06765193763278639,0.07755830073223383,-0.026870602713550098,0.026956942100115663,0.04248547786463808,0.011306851922821824,0.01882529280064496
ICAM1,-0.07670238912269062,0.05130088478703878,-0.036818485299274124,0.04964778920038123,-0.0453467138713447,0.06679405569249984,0.03161685510515568
PROS1,-0.04594406598069102,0.03251395086719317,0.03708427973872609,0.07531794654914369,-0.01666138113268607,-0.05636204658745037,-0.04564346286551393
CLCF1,-0.047620731787429704,0.07145986906685722,0.03773061387250695,0.06023518534935216,0.03587437190735781,-0.014495599660351927,-0.03069534705948154
PSAP,-0.014426960003274395,0.04716348513183906,-0.004821536099761309,0.01853526641207722,0.051294373769655746,0.02011005082009279,-0.005080765718207463
EFEMP1,-0.059454493538106244,0.03905013505200548,-0.005112860104644501,0.02417384432411789,0.04824983765573442,0.08796226509393841,-0.06130174715760274
C1QTNF1,-0.04222783187145675,-0.013321182435568445,0.03271773854744122,0.05834030966716148,0.04406982692560095,0.014514583222534596,-0.004412029641599724
ALB,0.04640300476383389,-0.021586475336321923,0.007884740244990198,-0.03358999990014968,-0.013196857058582008,-0.003475480372382706,0.058067491118908895
CCL13,,,,,-0.025151869446269674,,
EFNA3,0.0007848953788803675,-0.022519585457193316,0.03227468296477096,-0.01476661858154527,0.029062771860842895,-0.05738368809467349,-0.040608412332137835
DRAXIN,0.04396888622657832,0.03418890182710748,-0.0277527551859176,0.008448319827320297,-0.02821544679396704,0.08430591594685176,0.04546387555583844
RAET1L,,-0.010876966428708681,,,,,
NPTX2,-0.012971580444717915,0.022980546142760648,-0.02080851092275602,-0.021198305912870412,-0.00580416322840223,,0.04996919531582295
FGF11,0.0018771375617263578,0.013522607655527048,0.06028062548784008,-0.0281444106104446,0.0025026520664847224,-0.012432375311921446,0.02708197170244194
CD59,-0.07020426902982797,0.016163651653128,-0.015231129272599632,0.05942427317757767,0.04441468339696926,0.02841180298188833,-0.032461174625903505
COL9A2,0.011790294735669442,0.004904021631778011,-0.03929785920865937,-0.04754781034797571,0.032121004682113485,0.0902764648048039,0.054790907022585836
DLL3,0.03215722368209437,-0.007302321754777136,-0.025929958294532512,-0.03735169717017449,0.0723734702386854,-0.0450897324673603,0.041891885982586134
FGF5,,,,,-0.005130085066558256,,-0.04853727404491845
LIN7C,-0.0744572444533469,-0.03375369911300344,-0.04699539835576959,-0.011173988330450234,0.015700676523795407,0.07431310279176162,0.06741880245603352
GDF7,-0.02231520388405399,-0.011639785536714475,-0.030720789668995933,,,,-0.027025879970404593
PSPN,-0.019460686126993334,-0.05779137218759625,-0.025645265174058064,0.04205256735436159,0.004427683965814877,-0.0848033120676967,0.03167413574961061
ANGPT1,0.08742769034075303,-0.007551861151665262,-0.014557647853397653,-0.043583672786014625,0.0020023595787692695,0.07596146625812096,-0.024704498780547236
PNOC,-0.042497677975772495,-0.007012714877209367,-0.026569695096381133,0.004759472808803169,-0.013196857058582008,,-0.01955426034201189
L1CAM,-0.027608919182104036,-0.011358997663719618,-0.02790841282822459,0.03863662499911852,0.016492412038900974,-0.049878763619300034,0.08168321617947
APOA1,0.027080637685441045,-0.047608242964603406,0.015482369368054303,-0.03977083903324569,0.020637857161609423,-0.053821111349888894,0.0418122352272326
