,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.06696485536780468,,,,,,,,,,0.043598949942846334,,,-0.022198079701396204,
BMP1,-0.010850694241791874,-0.014065421479034888,0.04108242427859596,-0.04211067949324085,-0.044195663788031636,-0.009960885789546256,0.0813155732896725,0.2925265846733915,-0.006641758034637381,0.01095787035271218,-0.0765460725304668,0.05112597786893797,-0.053317993925820976,0.013502968672090162,0.14276998528840246,-0.008087900659909032,-0.011266468720565581,-0.04403791316178403,-0.007485354145036966,0.1032964430096907,0.040353497837898614,0.014176498633550885
NDP,-0.06513540057752933,-0.011584972096209439,-0.0022522802792936006,0.015466346033270007,-0.0758922273493436,0.012965274097922187,0.000150885540575712,0.06583629405957363,0.059257266349633984,-0.024262774646376897,0.0005432321424690758,0.07106969006369064,-0.06014506737801996,0.03472076520813581,0.07766801650532741,0.07111387968994598,0.15537546877105468,0.13399551681827518,-0.006184883402536823,0.1073204726794413,-0.023414179018160366,-0.04396789385551612
TNFSF18,-0.001974018108512356,-0.021744753599180825,-0.009475780907912939,,,,0.015175395267416666,0.04830562462782018,-0.026301841135285393,,,,,0.10490965432331473,,,,-0.0035156191001452317,,0.021595291769872845,-0.026540496057231956,-0.010288865761840444
IL36G,,,,,,,,,,,,-0.011880842347870358,,,,,,,,,,
RTN4,0.06409012452132733,-0.062079069854074236,0.01849669328962059,0.025678868226195355,-0.05959281323947129,0.02672971842978988,-0.06751182973088858,-0.3738195663227319,0.0008151549657703813,-0.025815783696788473,0.034029895088422246,-0.07432651782488586,0.08217764436661477,-0.03980649426031155,-0.17961066214150134,0.04810715262556043,-0.05132022464458497,-0.03629978389907875,0.020306290485723397,0.026181620834567498,0.020309240910767128,-0.11633211819304395
HEBP1,-0.0423581709821343,0.0340684617488957,-0.03134366318172051,0.05117389091104101,0.06412294011856079,-0.05372632445219129,0.02315351229904622,0.11826044105953212,0.01197931194197119,0.002647269092129631,-0.03447071891946243,0.03496265143752032,0.041209269151524015,0.1344475262341773,0.05370075685855295,0.1418534008908324,0.08353889565108816,-0.0035473194182211064,0.04444232137080352,-0.023813126919367954,0.022879079882638785,0.011598688886679299
WNT7B,0.07808446231002983,-0.037094377680375504,0.00982158051033405,-0.041813768642722356,0.017550283741739985,-0.035105543257511515,-0.05231412229568248,-0.13892650900146097,0.051926187830837016,,-0.005337689337733688,0.05065693586256309,0.014930510212495814,,0.03179549872525074,-0.01184460144921903,0.016816903212076628,0.018649416577939292,0.08280531038737465,-0.035972907869670334,0.07961328550429926,0.006360826558184858
PTMA,0.05696203759979948,0.02198026984562251,0.004121071725481939,0.012544610948459742,0.06693070284756678,-0.030971853963188863,0.06692369429885134,-0.14364582873321094,0.08585967529625559,0.026699567827394178,-0.0202939221978949,0.07776147879238188,-0.04063282544527356,0.0400514105179135,-0.18112852308818436,-0.13311796937366852,-0.03384266170357921,-0.09374738610999112,0.041818116379613635,-0.021938322972645384,0.009952720083315228,0.12080160561778365
FASLG,,,,,,,,,,,,,,,,,,,,,-0.019252386952036606,
